contig	length	gc	case.fre	case.mean.depth	case.mean.cov	control.fre	control.mean.depth	control.mean.cov	annotation	human	Specy
k61_1344	693	0.568542568542569	2	0.905412525708597	0.0652082431587554	103	1.24021040967335	0.0506145611226902	N	N	Klebsiella pneumoniae
k61_465	221	0.506787330316742	4	0.605697443615909	0.156492910648585	398	0.725637539734765	0.260369443577723	N	N	NA
k61_58	444	0.576576576576577	2	0.372605180063523	0.079431329072649	47	0.835812340446801	0.0366059826637136	N	N	Klebsiella pneumoniae
k61_1680	347	0.547550432276657	2	0.912809429628682	0.0845588235294118	65	1.13791586616759	0.047522639826882	N	N	Klebsiella pneumoniae
k61_1127	240	0.558333333333333	1	0.568111455108359	0.0588235294117647	39	0.625659000682301	0.0352443126670624	N	N	Klebsiella pneumoniae
k61_227	200	0.44	4	0.727977342410014	0.155755728326637	226	0.377034044727176	0.131092477169796	N	N	NA
k61_105	367	0.37874659400545	5	0.619179280553693	0.185991076824886	424	0.374705665009807	0.18677855326768	N	N	NA
k61_1687	218	0.495412844036697	1	0.774443561208265	0.0588235294117647	59	1.22045718123672	0.0508044364137103	N	N	Klebsiella pneumoniae
k61_1321	218	0.481651376146789	1	0.183200398803589	0.0588235294117647	1	0.00353835813516861	0.00101095946719103	N	N	Caudoviricetes sp.
k61_1244	232	0.301724137931034	4	0.407763330636124	0.146671786225455	229	0.38390664594842	0.164596583293055	N	N	Bradybaena similaris
k61_1498	225	0.426666666666667	1	0.400830964356002	0.0588235294117647	29	0.403692876053647	0.0261189293310478	N	N	Klebsiella pneumoniae
k61_221	445	0.602247191011236	1	0.483744699358486	0.0588235294117647	44	0.652032409160053	0.034725088803331	N	N	Klebsiella pneumoniae
k61_258	525	0.419047619047619	1	1.22746648066341	0.0588235294117647	38	0.0402192533808143	0.00864739110790788	N	N	Lactobacillus acidophilus
k61_499	300	0.28	1	0.244317195904911	0.0588235294117647	3	0.00737564558398744	0.00242946940692074	N	N	Klebsiella pneumoniae
k61_1040	732	0.504098360655738	2	0.848802015279607	0.0703966797030888	77	0.932881331140276	0.0390226416247083	N	N	Klebsiella pneumoniae
k61_43	229	0.270742358078603	1	0.530663329161452	0.0588235294117647	4	0.0251170137392443	0.00442185232502124	N	N	Clostridium tyrobutyricum
k61_1509	259	0.583011583011583	2	0.536707137347011	0.0761113605747642	53	1.01838847715432	0.0447454026830416	N	N	Klebsiella pneumoniae
k61_123	269	0.587360594795539	1	0.551045950295012	0.0588235294117647	46	0.881980457164195	0.038099736101197	N	N	Klebsiella pneumoniae
k61_1173	205	0.370731707317073	4	1.46710978577169	0.204103206396059	352	0.565926179947082	0.210159935563321	N	N	NA
k61_144	362	0.588397790055249	2	0.33912965806638	0.0712328767123288	60	0.814481203830637	0.0402511708120802	N	N	Klebsiella pneumoniae
k61_1293	249	0.473895582329317	1	0.158779301194162	0.0559486952675807	1	0.00303931776488671	0.00111557340473003	N	N	Caudoviricetes sp.
k61_1513	225	0.568888888888889	2	0.470623416830847	0.0786893704850361	49	0.947338772636867	0.0409929291618107	N	N	Klebsiella pneumoniae
k61_434	211	0.540284360189573	4	1.17819956861796	0.168763305483726	349	0.716404169958668	0.222661157446284	N	N	NA
k61_1348	807	0.423791821561338	1	0.39290944593605	0.0588235294117647	15	0.0313391865529975	0.00762245286435079	N	N	Priceomyces carsonii
k61_587	287	0.393728222996516	1	1.05007292173068	0.0588235294117647	8	0.106270716270776	0.00897869003148851	N	N	parainfluenza virus 5
k61_1333	336	0.5625	2	0.38938492390347	0.0721846260628145	42	0.720031867130789	0.0351673924961455	N	N	Klebsiella pneumoniae
k61_664	249	0.385542168674699	1	0.840852845992765	0.0588235294117647	12	2.11428411631556	0.0107030882407866	N	N	Human respiratory syncytial virus B
k61_334	673	0.335809806835067	1	0.638123603871929	0.0588235294117647	2	0.0169362715346759	0.00240889276698251	N	N	Klebsiella pneumoniae
k61_295	322	0.506211180124224	2	0.867734232264147	0.0849073574383882	54	1.15709080906995	0.0460630900267534	N	N	Klebsiella pneumoniae
k61_1226	1647	0.558591378263509	2	0.699251614165523	0.0836968758795384	81	0.971894040633539	0.0409093285660837	N	N	Klebsiella pneumoniae
k61_470	414	0.601449275362319	1	0.510695187165776	0.0585910253429435	48	1.06763621036772	0.0392561254137582	N	N	NA
k61_1582	286	0.440559440559441	3	0.961033144514788	0.16486547183114	300	0.42981115770897	0.149095058791621	N	N	NA
k61_1279	288	0.559027777777778	1	0.318757591532188	0.0588235294117647	44	0.653595428317201	0.0347972544086793	N	N	Klebsiella pneumoniae
k61_328	1755	0.417094017094017	2	173.330531318668	0.115655486924898	56	12.44055505004	0.0427691346173363	N	N	Influenza A virus
k61_810	265	0.437735849056604	2	0.668814878892735	0.0929930795847751	53	1.27240064810799	0.0445469499886158	N	N	Klebsiella pneumoniae
k61_1096	626	0.5	3	1.7320920994032	0.0981575282532875	88	1.91147471556241	0.0564096199980136	N	N	Klebsiella pneumoniae
k61_1356	225	0.555555555555556	1	0.374890254609306	0.0588235294117647	46	0.947672225520855	0.0365957021146429	N	N	Klebsiella pneumoniae
k61_774	237	0.561181434599156	1	0.508578431372549	0.0588235294117647	57	1.13413127540848	0.0451533251214828	N	N	Klebsiella pneumoniae
k61_1239	227	0.431718061674009	3	0.699759147623218	0.167638840002927	369	0.438262120526509	0.200272337921638	N	N	NA
k61_1286	320	0.378125	1	1.23954040214812	0.0588235294117647	10	0.0573710494430447	0.00712479840276079	N	N	Medicago truncatula
k61_410	207	0.497584541062802	3	0.294732320059324	0.165108646735297	334	0.334253031845405	0.193387471575586	N	N	NA
k61_1484	200	0.455	1	0.248769111168696	0.0588235294117647	18	0.062966499654628	0.0124520847698052	N	N	Saccharomyces cerevisiae
k61_1144	413	0.498789346246973	1	0.300754815200416	0.0575221238938053	1	0.00391668566551505	0.00128315299041873	N	N	Escherichia phage vB_Eco_mar001J1
k61_1390	244	0.508196721311475	4	0.294523137259386	0.129837806116519	219	0.221373518342832	0.130928909602293	N	N	Escherichia coli
k61_850	438	0.513698630136986	5	0.810153473008837	0.169481651627747	501	0.6416389141048	0.264722996852368	N	N	NA
k61_955	212	0.452830188679245	4	1.68754069433013	0.171898116146002	460	1.15803207627099	0.302676717047959	N	N	NA
k61_431	2140	0.432710280373832	1	4.04791997511501	0.0588235294117647	8	0.492861422267456	0.0106876763318159	N	N	Morbillivirus canis
k61_1152	206	0.611650485436893	2	0.417934277139905	0.0822414273766379	40	0.78914412345751	0.0338426807446332	N	N	Klebsiella pneumoniae
k61_1177	269	0.561338289962825	1	0.309677419354839	0.0588235294117647	51	1.00773004723128	0.0423768338454831	N	N	Klebsiella pneumoniae
k61_1150	314	0.394904458598726	4	0.933677525656126	0.181269664027	459	0.557512693337166	0.25139821542041	N	N	NA
k61_242	249	0.542168674698795	2	0.182783382914234	0.0892070330040413	40	0.833492238046311	0.0374147711367609	N	N	Klebsiella pneumoniae
k61_1227	1366	0.404099560761347	1	0.764243225380041	0.0588235294117647	36	0.0556737557137025	0.00952859540597939	N	N	Saccharomyces cerevisiae
k61_712	230	0.573913043478261	1	0.657120743034053	0.0588235294117647	42	0.85287162655716	0.0358962371587793	N	N	Klebsiella pneumoniae
k61_478	247	0.437246963562753	4	0.348245516901187	0.153687184524645	403	0.328534616054447	0.218129633343393	N	N	Pongo abelii
k61_683	237	0.426160337552743	2	0.156209324572271	0.080943121050073	36	0.676101043721296	0.035261869595441	N	N	Klebsiella pneumoniae
k61_794	201	0.398009950248756	1	0.278240499739719	0.0588235294117647	9	0.0218699053076385	0.00628633316173181	N	N	Candidozyma auris
k61_523	249	0.34136546184739	1	0.612248696947135	0.0588235294117647	2	0.015526305660939	0.00232454365264676	N	N	Klebsiella pneumoniae
k61_344	487	0.57700205338809	2	0.496397749656355	0.0680672268907563	62	1.0362995265657	0.0430993017008141	N	N	Klebsiella pneumoniae
k61_1020	311	0.427652733118971	1	0.413043478260869	0.0588235294117647	20	0.0325434740237704	0.00810701156362912	N	N	Saccharomyces cerevisiae
k61_469	241	0.589211618257261	2	0.231050474681017	0.111369448965357	43	0.639818743380763	0.0347955797905675	N	N	Klebsiella pneumoniae
k61_184	459	0.296296296296296	1	0.976377217553688	0.0588235294117647	16	0.0801198862804949	0.00678052848517082	N	N	Palaemon carinicauda
k61_566	204	0.441176470588235	4	0.663900874405653	0.146153580494676	228	0.278568862719265	0.121691468467257	N	N	NA
k61_411	230	0.556521739130435	2	0.188524260278824	0.0690097878231752	44	0.836609887593393	0.0401537196952604	N	N	Klebsiella pneumoniae
k61_177	252	0.607142857142857	1	0.7858036831754	0.0588235294117647	49	0.876352938867615	0.0420151679351045	N	N	Klebsiella pneumoniae
k61_1429	222	0.527027027027027	2	0.406215003414301	0.0785152668032387	50	1.34613190335549	0.0439706708577638	N	N	Klebsiella pneumoniae
k61_1124	386	0.536269430051813	1	0.409277453053103	0.0588235294117647	53	1.16601503099655	0.0408153722467299	N	N	Klebsiella pneumoniae
k61_125	396	0.55050505050505	3	0.378169296045946	0.0729441716756593	54	0.91710656928763	0.03769027940675	N	N	Klebsiella pneumoniae
k61_715	411	0.48661800486618	3	0.672744406635872	0.139904893134832	253	0.381803384620092	0.136814007783744	N	N	Lampetra fluviatilis
k61_1346	1167	0.365038560411311	1	1.00627256482258	0.0588235294117647	24	0.0449132619989476	0.00672310230511559	N	N	Wickerhamomyces ciferrii
k61_880	213	0.666666666666667	1	0.398692810457516	0.0588235294117647	47	0.814915430816101	0.0381024315319467	N	N	Klebsiella pneumoniae
k61_1580	207	0.381642512077295	1	0.404381995713265	0.0588235294117647	17	0.0397756371275729	0.00950646013734755	N	N	Saccharomyces cerevisiae
k61_736	202	0.410891089108911	1	0.385159873077862	0.0588235294117647	14	0.0294338287910906	0.00832196125684448	N	N	Candidozyma auris
k61_1228	244	0.135245901639344	4	1.83132963241129	0.212282655922119	610	4.61314180255576	0.566666162582761	N	N	NA
k61_1744	490	0.353061224489796	1	1.19055157473755	0.0588235294117647	13	0.0480620090606643	0.00713514363207341	N	N	Candidozyma auris
k61_802	410	0.407317073170732	3	0.641797215154897	0.157286937218695	365	0.317422031519727	0.144746489277057	N	N	NA
k61_1714	588	0.42687074829932	1	0.789202256244965	0.0588235294117647	9	0.101750964154519	0.00882079758448799	N	N	parainfluenza virus 5
k61_273	444	0.466216216216216	1	3.77342047930283	0.0588235294117647	26	0.176044061298526	0.0140085425593572	N	N	Candida albicans
k61_240	268	0.619402985074627	2	0.304716405245149	0.0738007380073801	38	0.703769490757698	0.0343731503250952	N	N	Klebsiella pneumoniae
k61_1694	871	0.502870264064294	2	1.07262516041224	0.08428940911201	63	0.868031237529535	0.0347457564395096	N	N	Klebsiella pneumoniae
k61_1118	267	0.617977528089888	1	0.420247095703485	0.0588235294117647	58	0.842950434186943	0.0434100504605685	N	N	Klebsiella pneumoniae
k61_1238	209	0.574162679425837	2	0.431712421272214	0.080188679245283	41	0.921373828468371	0.03649247640323	N	N	Klebsiella pneumoniae
k61_1662	822	0.575425790754258	2	0.64265858257125	0.0675723735685326	73	1.00607811514855	0.0426902999645652	N	N	Klebsiella pneumoniae
k61_872	327	0.394495412844037	1	0.602152080344335	0.0588235294117647	17	0.050379780585731	0.00918347100056351	N	N	Saccharomyces cerevisiae
k61_444	225	0.4	1	0.577333636157166	0.0588235294117647	8	0.0557335073024713	0.00782047115488307	N	N	parainfluenza virus 5
k61_1623	303	0.504950495049505	2	0.344220680318158	0.0985762274673506	53	0.991147485628561	0.0431393687721315	N	N	Klebsiella pneumoniae
k61_707	511	0.596868884540117	2	0.54905251829208	0.0676356145571069	52	0.938490500311897	0.0379891931389695	N	N	Klebsiella pneumoniae
k61_1167	278	0.453237410071942	5	0.533264997667108	0.172889721728918	258	0.36042143815054	0.17329100958134	N	N	NA
k61_385	391	0.406649616368286	1	1.24365213711384	0.0588235294117647	10	0.0332403789467513	0.00493884975249524	N	N	Lactobacillus gasseri
k61_1719	265	0.558490566037736	2	0.339857245476209	0.0757243195785777	47	1.01360004558878	0.0386049968753744	N	N	Klebsiella pneumoniae
k61_897	217	0.580645161290323	1	0.177991886409736	0.0588235294117647	38	0.598281969655527	0.0345339263589725	N	N	Klebsiella pneumoniae
k61_1581	241	0.460580912863071	1	0.278219395866455	0.0588235294117647	33	2.43745082146223	0.0225804177815009	N	N	Klebsiella pneumoniae
k61_51	256	0.55859375	1	0.372227579556413	0.0584378013500482	45	0.864707576087268	0.0379004766296395	N	N	Klebsiella pneumoniae
k61_346	581	0.523235800344234	2	0.708406079226717	0.0742822726360169	53	0.992181993715763	0.0390957974751185	N	N	Klebsiella pneumoniae
k61_1234	6955	0.396693026599569	5	175.185386029864	0.223810803471874	0	0	0	Y	N	Severe acute respiratory syndrome coronavirus 2
k61_378	796	0.439698492462312	5	0.934893595944012	0.184740420233882	535	0.672538377884848	0.268002504584108	N	N	NA
k61_231	255	0.415686274509804	3	0.346964779539184	0.140848960748143	318	0.296312812929014	0.159151302715735	N	N	NA
k61_319	256	0.4609375	4	0.403788593107498	0.168260943009121	330	0.376217702893815	0.170885793986071	N	N	NA
k61_31	260	0.446153846153846	2	0.699346405228758	0.112902212166918	59	1.76459542294349	0.0496686475668933	N	N	NA
k61_445	249	0.538152610441767	2	0.220354928588408	0.0755098938002995	52	1.43279342735676	0.0430614055377046	N	N	Klebsiella pneumoniae
k61_1028	229	0.462882096069869	1	0.443108630313439	0.0588235294117647	13	0.0404421557669722	0.0080435835778726	N	N	Candida tropicalis MYA-3404
k61_772	697	0.506456241032999	2	0.866857523019157	0.0733211131478087	83	1.11971373457054	0.0471808188318623	N	N	Klebsiella pneumoniae
k61_208	205	0.375609756097561	3	0.606142826295244	0.136390557576783	68	0.0820460030433153	0.038980906729511	N	N	Malassezia furfur
k61_1449	480	0.595833333333333	2	0.590429886978467	0.0682011935208866	48	0.999847184606936	0.0371868580491122	N	N	Klebsiella pneumoniae
k61_44	224	0.535714285714286	1	0.637220741955318	0.0588235294117647	44	0.935002062574493	0.0387494374786979	N	N	Klebsiella pneumoniae
k61_60	203	0.458128078817734	1	0.590524147402153	0.0588235294117647	38	0.992017716666146	0.0379515370257594	N	N	Klebsiella pneumoniae
k61_1564	225	0.582222222222222	2	0.456966524043088	0.0786893704850361	53	1.04995894375997	0.0432062719143547	N	N	Klebsiella pneumoniae
k61_1031	278	0.503597122302158	2	0.789712956083063	0.0749424324890098	45	1.12174843823291	0.0398423353398428	N	N	Klebsiella pneumoniae
k61_201	224	0.589285714285714	1	0.398446170921199	0.0588235294117647	36	0.651023628988309	0.0348634523791637	N	N	Klebsiella pneumoniae
k61_167	223	0.493273542600897	1	0.201821314299778	0.0566084174255476	1	0.00336331552103732	0.00107316317612046	N	N	Caudoviricetes sp.
k61_927	250	0.516	2	0.481366856494938	0.100743745774172	60	1.30986001182331	0.0506782110043036	N	N	Klebsiella pneumoniae
k61_934	1031	0.511154219204656	3	4.23668797039951	0.0704689215327513	94	1.3132944266831	0.0485889106574049	N	N	Klebsiella pneumoniae
k61_1516	341	0.486803519061584	1	0.590038845726971	0.0588235294117647	12	0.04189233961146	0.00786330349006816	N	N	Candida dubliniensis CD36
k61_806	301	0.495016611295681	1	0.327508650519031	0.0588235294117647	1	0.00406459675560248	0.00123353433876493	N	N	Caudoviricetes sp.
k61_1387	238	0.571428571428571	2	0.463387033134932	0.100840336134454	42	0.574515946028117	0.0359655870639221	N	N	Klebsiella pneumoniae
k61_1153	215	0.558139534883721	2	0.330656577983891	0.1	43	0.739419222912119	0.037084594123478	N	N	Klebsiella pneumoniae
k61_1685	529	0.383742911153119	3	0.963563241310887	0.16462776708529	466	0.541171865029394	0.199877026690507	N	N	Rattus norvegicus
k61_1408	216	0.550925925925926	1	0.205513167610141	0.0588235294117647	52	1.17457115590097	0.0428536270987162	N	N	Klebsiella pneumoniae
k61_243	308	0.512987012987013	2	0.412300355271379	0.0733875543786646	56	1.10207769823332	0.0445692172870339	N	N	Klebsiella pneumoniae
k61_1643	290	0.389655172413793	1	0.525139664804469	0.0588235294117647	10	0.0341611621832945	0.00720207696308193	N	N	Saccharomyces cerevisiae
k61_1535	669	0.571001494768311	2	0.906958385465174	0.0789244691959624	72	1.28068228659819	0.0440757531619493	N	N	Klebsiella pneumoniae
k61_1091	510	0.525490196078431	3	1.38827694546754	0.0840526454979112	107	1.68602148587596	0.0548751134563868	N	N	Klebsiella pneumoniae
k61_318	346	0.335260115606936	1	0.369768445275421	0.0588235294117647	19	0.0617578414919182	0.00938692065894819	N	N	Saccharomyces cerevisiae
k61_118	237	0.367088607594937	1	0.287438052143935	0.0588235294117647	8	0.0239734020499578	0.00585033130150173	N	N	Candida albicans SC5314
k61_1324	204	0.431372549019608	5	0.210673689765761	0.155437749235703	223	0.248318404415167	0.156065950789651	N	N	Lampetra fluviatilis
k61_352	206	0.514563106796116	2	0.34333337232288	0.111050027487631	39	0.898509817350626	0.0353861497960109	N	N	Klebsiella pneumoniae
k61_66	414	0.557971014492754	2	0.834579575451357	0.091099622746961	51	1.08635295498739	0.0394708874451574	N	N	Klebsiella pneumoniae
k61_1259	242	0.56198347107438	3	1.24131989078817	0.0893157262905162	50	1.24365450179215	0.0459001421538762	N	N	Klebsiella pneumoniae
k61_984	248	0.330645161290323	1	0.421738245471199	0.0588235294117647	9	0.0311234463262518	0.00595927432680475	N	N	Candida albicans
k61_180	401	0.618453865336658	1	0.788541438880382	0.0588235294117647	46	0.689938442487425	0.0363276066483794	N	N	Klebsiella pneumoniae
k61_1636	225	0.617777777777778	1	0.457857769973661	0.0583845478489904	68	0.828752580493392	0.0473518196416166	N	N	Klebsiella pneumoniae
k61_373	205	0.502439024390244	2	0.285303134129188	0.0840889145357714	47	0.934965512331397	0.0410928335097172	N	N	Klebsiella pneumoniae
k61_458	433	0.471131639722864	4	0.705097317701326	0.183863942153412	242	0.364816811132656	0.132164756724431	N	N	NA
k61_1338	262	0.473282442748092	4	0.302487630580113	0.143364619912666	154	0.137609436908519	0.0810839898620278	N	N	NA
k61_1373	216	0.578703703703704	2	0.265159783351524	0.0795057749127048	47	1.03567937368632	0.0399076973365191	N	N	Klebsiella pneumoniae
k61_1325	228	0.517543859649123	1	0.171668667466987	0.058343337334934	1	0.00331459170013387	0.00109772423025435	N	N	Caudoviricetes sp.
k61_233	222	0.59009009009009	2	0.277122639063735	0.0976054138469547	40	0.819362382892822	0.0355833075532052	N	N	Klebsiella pneumoniae
k61_246	233	0.416309012875536	1	0.713632750397459	0.0588235294117647	14	0.043934933245302	0.00947552945638521	N	N	Zea mays
k61_1149	387	0.426356589147287	1	0.714039522058823	0.0588235294117647	19	0.0517801861833334	0.00907089336985845	N	N	Saccharomyces cerevisiae
k61_12	212	0.514150943396226	2	0.31708788414043	0.105327185083036	51	1.14074294035169	0.0439985195597729	N	N	Klebsiella pneumoniae
k61_1631	10108	0.434705184012663	1	3.82290047205811	0.0588235294117647	8	0.476285119188926	0.0107013084698608	N	N	NA
k61_1678	1144	0.369755244755245	1	0.568310528709024	0.0588235294117647	30	0.0570760386736935	0.0100503428493426	N	N	Candida albicans
k61_301	226	0.469026548672566	3	0.430646170961565	0.143124418343442	303	0.373804391199531	0.168420738973767	N	N	Gobiusculus flavescens
k61_1164	394	0.365482233502538	1	0.989186851211071	0.0588235294117647	17	0.0505986163167532	0.00713042174705791	N	N	Saccharomyces cerevisiae
k61_394	371	0.557951482479784	1	0.52664063484066	0.0588235294117647	46	0.935991555465493	0.0369599044536672	N	N	Klebsiella pneumoniae
k61_1583	211	0.327014218009479	1	0.6785479991253	0.0588235294117647	13	0.0539689147828689	0.00769440889031401	N	N	Pseudoalteromonas luteoviolacea
k61_527	210	0.428571428571429	4	0.141626404595713	0.110785637237345	411	0.364856470887179	0.252368336603953	N	N	NA
k61_965	306	0.591503267973856	2	0.246502347771669	0.0731368138748254	42	0.789849961348673	0.0358677184128826	N	N	Klebsiella pneumoniae
k61_819	599	0.555926544240401	2	0.481242656282815	0.0663474692202462	48	0.875014607729878	0.0357902064507643	N	N	Klebsiella pneumoniae
k61_196	234	0.337606837606838	1	0.213321126115816	0.0583657587548638	13	0.0378452041873388	0.0089124806007829	N	N	Saccharomyces cerevisiae
k61_257	2752	0.521438953488372	3	1.63886606147668	0.0819053246690614	133	1.86963972444334	0.0532786782476843	N	N	Klebsiella pneumoniae
k61_1223	204	0.617647058823529	2	0.268593770592628	0.0767888434935836	44	0.856196285943443	0.0379146669097181	N	N	Klebsiella pneumoniae
k61_908	220	0.127272727272727	4	8.96728970074893	0.15506605457094	498	23.9210327976835	0.416736207573732	N	N	NA
k61_332	556	0.535971223021583	2	0.689963224633859	0.0807148603874582	94	1.55755833347079	0.0536700936206971	N	N	Klebsiella pneumoniae
k61_755	288	0.586805555555556	2	0.724616758942839	0.0782975306163421	46	0.98324017861671	0.0369333317078573	N	N	Klebsiella pneumoniae
k61_900	238	0.457983193277311	1	0.263348416289593	0.0588235294117647	1	0.00228889413864609	0.00102895241095099	N	N	Caudoviricetes sp.
k61_341	307	0.547231270358306	1	0.328921568627451	0.0588235294117647	47	0.784965335440194	0.0378015147454135	N	N	Klebsiella pneumoniae
k61_350	316	0.439873417721519	3	0.599864486181616	0.173144255182874	452	0.642486379625525	0.263412348211024	N	N	NA
k61_1245	243	0.395061728395062	1	0.563509471585244	0.0588235294117647	11	0.0360632688710035	0.00584215868814038	N	N	Naumovozyma castellii
k61_363	311	0.565916398713826	2	0.48068549692044	0.0732484076433121	65	1.27469258808275	0.0513200559965485	N	N	Klebsiella pneumoniae
k61_812	573	0.490401396160558	1	0.203320683111955	0.0588235294117647	1	0.0030690823314695	0.0012310765032262	N	N	Caudoviricetes sp.
k61_1533	921	0.56786102062975	2	0.644565332888724	0.0734660243407708	56	1.14936014233781	0.0386303829225334	N	N	Klebsiella pneumoniae
k61_1271	233	0.493562231759657	3	0.420704452966889	0.143134697061559	344	0.369242846299284	0.185192362863935	N	N	NA
k61_1461	247	0.582995951417004	2	0.335640430820215	0.0769411764705882	58	1.01533460883068	0.0432275396164726	N	N	Klebsiella pneumoniae
k61_504	544	0.533088235294118	2	0.518025587700826	0.0671039896763093	54	0.961538007670254	0.0399289739737602	N	N	Klebsiella pneumoniae
k61_1202	295	0.525423728813559	2	0.467281324715996	0.0740228977497039	39	0.66390975425376	0.0329015005700429	N	N	Klebsiella pneumoniae
k61_1194	228	0.385964912280702	1	0.45427221983684	0.0588235294117647	16	0.0499605331561944	0.0110633111911096	N	N	Saccharomyces cerevisiae
k61_88	248	0.479838709677419	3	0.602952959530545	0.161017882797678	420	0.52153916823425	0.241592225823249	N	N	NA
k61_1721	722	0.286703601108033	1	3.37545321716544	0.0588235294117647	23	0.134835533648031	0.00803688399652386	N	N	Candida albicans
k61_1260	211	0.559241706161137	1	0.306423824760029	0.0588235294117647	33	0.666622819628918	0.0312620462164025	N	N	Klebsiella pneumoniae
k61_686	337	0.471810089020772	2	1.06874691910781	0.0789441253766345	60	0.956413116422312	0.0432269287983709	N	N	Klebsiella pneumoniae
k61_1354	286	0.594405594405594	2	0.27197522607659	0.0744962344799512	47	1.1664474985905	0.0390424232546007	N	N	Klebsiella pneumoniae
k61_969	252	0.623015873015873	2	0.323393462085057	0.0766558591940713	43	0.733496188625985	0.0362334777251883	N	N	Klebsiella pneumoniae
k61_156	672	0.583333333333333	3	0.841380524431996	0.0687308395580454	67	0.957100292599855	0.0402531075766746	N	N	Klebsiella pneumoniae
k61_608	267	0.352059925093633	1	0.526542324246772	0.0588235294117647	16	0.0524425956744431	0.00923612594893167	N	N	Saccharomyces cerevisiae
k61_1087	207	0.492753623188406	1	0.254726890756302	0.0588235294117647	1	0.00513548446660203	0.0012694455984859	N	N	Bacteriophage sp.
k61_529	285	0.470175438596491	1	0.279318096665418	0.0588235294117647	1	0.00306353619606632	0.00126145608073319	N	N	Caudoviricetes sp.
k61_1567	1374	0.518922852983988	3	2.43314645769735	0.101975652518335	124	1.72271028669349	0.0562542950115525	N	N	Klebsiella pneumoniae
k61_244	231	0.571428571428571	1	0.390238704177323	0.0583972719522592	68	0.971192914278405	0.0479618116771076	N	N	Klebsiella pneumoniae
k61_920	258	0.492248062015504	1	0.297845898922949	0.0528169014084507	1	0.00423529192262663	0.00111013158324354	N	N	NA
k61_1256	263	0.543726235741445	1	1.34954454222634	0.0588235294117647	51	0.906686138728757	0.0439719107566236	N	N	Klebsiella pneumoniae
k61_1627	252	0.587301587301587	2	0.303941922789877	0.0712938462582265	42	0.512084218506129	0.0332575792195688	N	N	Klebsiella pneumoniae
k61_820	230	0.38695652173913	1	0.389978213507625	0.0588235294117647	13	0.0360044814080537	0.00755562106452388	N	N	Arxiozyma heterogenica
k61_1385	2231	0.416853428955625	2	185.497940381179	0.116297590867863	103	14.5254674177856	0.0508128136162231	N	N	Influenza A virus
k61_152	303	0.531353135313531	3	0.455181380852737	0.135066180622447	425	0.41838883265681	0.214985390857934	N	N	NA
k61_1552	205	0.409756097560976	1	0.485671191553545	0.0588235294117647	3	0.0295196889581446	0.00370073476311309	N	N	Human respiratory syncytial virus B
k61_1425	1030	0.519417475728155	1	0.669281045751635	0.0588235294117647	79	1.08491333181889	0.0433651621149958	N	N	Klebsiella pneumoniae
k61_351	209	0.602870813397129	1	0.453984819734345	0.0588235294117647	37	1.03447496761022	0.0331315791521838	N	N	Klebsiella pneumoniae
k61_1225	202	0.648514851485149	2	0.273199661946465	0.102585961921	40	0.485932644954621	0.0334214135167117	N	N	Klebsiella pneumoniae
k61_1668	340	0.397058823529412	2	1.36725096115357	0.0945495843534438	63	0.249977351921197	0.0411975124872039	N	N	NA
