fragment	annotation	frquency	length	status
rand.1.k141_6183	Pseudomonas lundensis	3	319	Annotated
rand.1.k141_2534	Stenotrophomonas maltophilia	14	337	Annotated
rand.1.k141_985	Stenotrophomonas maltophilia	3	410	Annotated
rand.1.k141_5031	Pseudomonas chlororaphis	23	320	Annotated
rand.1.k141_2763	Anopheles gambiae	12	691	Annotated
rand.1.k141_931	Janibacter limosus	2	310	Annotated
rand.1.k141_4584	Stenotrophomonas maltophilia	42	331	Annotated
rand.1.k141_6129	Stenotrophomonas maltophilia	25	439	Annotated
rand.1.k141_7278	Stenotrophomonas maltophilia	20	344	Annotated
rand.1.k141_1159	Stenotrophomonas maltophilia	2	376	Annotated
rand.1.k141_2288	Ralstonia solanacearum	3	305	Annotated
rand.1.k141_2296	Delftia tsuruhatensis	2	436	Annotated
rand.1.k141_6801	Bradyrhizobium diazoefficiens	10	546	Annotated
rand.1.k141_3415	Achromobacter xylosoxidans	2	316	Annotated
rand.57.k141_3333	Burkholderia cepacia ATCC 25416	3	505	Annotated
rand.57.k141_820	Variovorax paradoxus	4	315	Annotated
rand.57.k141_2477	Serratia marcescens subsp. marcescens ATCC 13880	32	327	Annotated
rand.57.k141_5134	Variovorax sp. SCN45	1	459	Annotated
rand.57.k141_796	Serratia marcescens	16	362	Annotated
rand.57.k141_457	Comamonas thiooxydans	9	406	Annotated
rand.57.k141_4794	Stenotrophomonas maltophilia	2	598	Annotated
rand.57.k141_480	Stenotrophomonas maltophilia	2	368	Annotated
rand.57.k141_1829	NA	NA	564	Unannotated
rand.57.k141_5786	Achromobacter xylosoxidans	5	398	Annotated
rand.57.k141_813	NA	NA	349	Unannotated
rand.57.k141_5818	Pseudomonas brassicacearum	3	337	Annotated
rand.26.k141_1349	Stenotrophomonas maltophilia	2	312	Annotated
rand.26.k141_2417	Stenotrophomonas maltophilia	1	319	Annotated
rand.26.k141_1763	Pseudosulfitobacter pseudonitzschiae	46	395	Annotated
rand.57.k141_4490	Erebia alini	1	414	Annotated
rand.26.k141_478	Stenotrophomonas maltophilia	21	334	Annotated
rand.26.k141_1898	Tistrella mobilis	11	402	Annotated
rand.26.k141_2838	Escherichia coli	39	475	Annotated
rand.26.k141_2377	Streptococcus thermophilus	81	423	Annotated
rand.26.k141_256	Achromobacter xylosoxidans	2	381	Annotated
rand.26.k141_97	Ananas comosus var. bracteatus	2	344	Annotated
rand.26.k141_365	Vibrio campbellii	5	701	Annotated
rand.32.k141_678	Myroides odoratimimus	5	322	Annotated
rand.32.k141_5036	Stenotrophomonas maltophilia	20	322	Annotated
rand.32.k141_5892	Bordetella hinzii	11	420	Annotated
rand.32.k141_2225	Variovorax paradoxus	5	414	Annotated
rand.32.k141_550	Variovorax paradoxus	7	368	Annotated
rand.32.k141_845	Stenotrophomonas maltophilia	25	438	Annotated
rand.32.k141_4373	Variovorax paradoxus	9	346	Annotated
rand.32.k141_380	Serratia marcescens subsp. marcescens ATCC 13880	27	488	Annotated
rand.32.k141_4384	Burkholderia vietnamiensis	10	309	Annotated
rand.32.k141_4223	Roseibium aggregatum	5	337	Annotated
rand.32.k141_4898	Bordetella holmesii	37	313	Annotated
rand.32.k141_4547	Stenotrophomonas maltophilia	1	665	Annotated
rand.32.k141_318	Achromobacter xylosoxidans	13	354	Annotated
rand.32.k141_6183	NA	NA	313	Unannotated
rand.1.k141_3408	Streptococcus thermophilus	56	391	Annotated
rand.32.k141_2400	Stenotrophomonas maltophilia	2	428	Annotated
rand.32.k141_1103	Ralstonia insidiosa	2	332	Annotated
rand.32.k141_2430	Comamonas thiooxydans	9	317	Annotated
rand.32.k141_1139	Achromobacter xylosoxidans	30	312	Annotated
rand.32.k141_4984	NA	NA	395	Unannotated
rand.32.k141_4856	Achromobacter xylosoxidans	32	368	Annotated
rand.32.k141_1503	Xanthomonas sacchari	9	397	Annotated
rand.32.k141_5172	Purpureocillium takamizusanense	4	304	Annotated
rand.32.k141_1092	Stenotrophomonas maltophilia	1	494	Annotated
rand.32.k141_4918	Stenotrophomonas maltophilia	17	405	Annotated
rand.32.k141_2124	Staphylococcus aureus	1	347	Annotated
rand.32.k141_3152	Stenotrophomonas maltophilia	2	737	Annotated
rand.32.k141_3010	Burkholderia glumae	17	383	Annotated
rand.32.k141_5316	Stenotrophomonas maltophilia	6	303	Annotated
rand.32.k141_4506	Delftia tsuruhatensis	5	409	Annotated
rand.32.k141_1334	Ralstonia pseudosolanacearum	32	308	Annotated
rand.32.k141_2323	Variovorax paradoxus	9	335	Annotated
rand.32.k141_1485	Xanthomonas campestris pv. campestris	21	406	Annotated
rand.32.k141_6121	Cupriavidus taiwanensis	10	368	Annotated
rand.32.k141_3471	Stenotrophomonas maltophilia	15	445	Annotated
rand.32.k141_2387	Delftia tsuruhatensis	9	377	Annotated
rand.32.k141_3127	Variovorax paradoxus	1	353	Annotated
rand.32.k141_274	Xanthomonas translucens pv. undulosa	14	497	Annotated
rand.32.k141_1272	Bordetella hinzii	11	601	Annotated
rand.32.k141_6008	Gelria sp. Kuro-4	1	563	Annotated
rand.32.k141_4461	Sinorhizobium meliloti	29	312	Annotated
rand.32.k141_5513	Citrobacter freundii	4	313	Annotated
rand.32.k141_3825	Aedes aegypti Thai densovirus	50	3646	Annotated
rand.32.k141_1630	Delftia tsuruhatensis	3	318	Annotated
rand.32.k141_1398	Burkholderia vietnamiensis	1	359	Annotated
rand.32.k141_3434	Stenotrophomonas maltophilia	5	325	Annotated
rand.32.k141_4304	Achromobacter xylosoxidans	23	398	Annotated
rand.32.k141_812	Achromobacter xylosoxidans	33	560	Annotated
rand.32.k141_1784	Stenotrophomonas maltophilia	8	343	Annotated
rand.32.k141_3567	Stenotrophomonas maltophilia	5	531	Annotated
rand.32.k141_1981	Stenotrophomonas maltophilia	1	604	Annotated
rand.32.k141_5974	Stenotrophomonas maltophilia	2	644	Annotated
rand.32.k141_806	Caulobacter segnis	3	325	Annotated
rand.32.k141_1989	Ralstonia syzygii R24	2	341	Annotated
rand.32.k141_918	Rhodoferax ferrireducens T118	1	441	Annotated
rand.32.k141_3608	NA	NA	329	Unannotated
rand.32.k141_4749	Pseudomonas lundensis	3	319	Annotated
rand.32.k141_1588	Stenotrophomonas maltophilia	3	343	Annotated
rand.32.k141_6094	Stenotrophomonas maltophilia	17	376	Annotated
rand.32.k141_4758	Bradyrhizobium japonicum	14	379	Annotated
rand.32.k141_3761	Stenotrophomonas maltophilia	36	313	Annotated
rand.32.k141_5934	Achromobacter xylosoxidans	2	574	Annotated
rand.32.k141_6275	Stenotrophomonas maltophilia	12	560	Annotated
rand.32.k141_6493	Kerstersia gyiorum	2	397	Annotated
rand.32.k141_6508	Achromobacter xylosoxidans	1	314	Annotated
rand.32.k141_6283	Stenotrophomonas maltophilia	3	577	Annotated
rand.32.k141_779	Achromobacter xylosoxidans	4	361	Annotated
rand.32.k141_5045	Pseudomonas aeruginosa	75	427	Annotated
rand.32.k141_3086	NA	NA	478	Unannotated
rand.32.k141_4400	Rhopalosiphum padi	27	334	Annotated
rand.32.k141_3265	Stenotrophomonas maltophilia	24	502	Annotated
rand.32.k141_1380	Achromobacter xylosoxidans	6	376	Annotated
rand.32.k141_410	Achromobacter xylosoxidans	2	481	Annotated
rand.32.k141_2237	Escherichia coli	22	1213	Annotated
rand.32.k141_6443	Caudoviricetes sp.	3	333	Annotated
rand.32.k141_446	Burkholderia pseudomallei	24	390	Annotated
rand.32.k141_618	Stenotrophomonas maltophilia	13	404	Annotated
rand.32.k141_1766	Xanthomonas campestris pv. campestris	36	403	Annotated
rand.26.k141_1890	Mycoplasma feriruminatoris	15	614	Annotated
rand.26.k141_2250	Streptococcus dysgalactiae subsp. equisimilis	70	409	Annotated
rand.26.k141_2965	NA	NA	325	Unannotated
rand.26.k141_2698	Pseudomonas aeruginosa	46	347	Annotated
rand.26.k141_1515	Achromobacter xylosoxidans	4	341	Annotated
rand.26.k141_1612	Stenotrophomonas maltophilia	3	321	Annotated
rand.26.k141_2848	Agrobacterium tumefaciens	24	366	Annotated
rand.26.k141_1932	Ralstonia pseudosolanacearum	22	364	Annotated
rand.26.k141_442	Pseudomonas sp. 2hn	1	574	Annotated
rand.26.k141_508	NA	NA	327	Unannotated
rand.26.k141_310	Paracidovorax citrulli	12	417	Annotated
rand.26.k141_2071	synthetic construct	46	329	Annotated
rand.32.k141_4866	Variovorax paradoxus	1	342	Annotated
rand.32.k141_1013	Stenotrophomonas maltophilia	70	304	Annotated
rand.32.k141_367	Pseudomonas solani	3	360	Annotated
rand.26.k141_688	Bradyrhizobium septentrionale	4	353	Annotated
rand.26.k141_2583	Stenotrophomonas maltophilia	3	324	Annotated
rand.26.k141_708	Aeromonas veronii	3	348	Annotated
rand.26.k141_2819	Delftia tsuruhatensis	2	359	Annotated
rand.26.k141_1814	Achromobacter xylosoxidans	7	537	Annotated
rand.26.k141_1259	Anaerotruncus sp.	1	364	Annotated
rand.32.k141_1682	Stenotrophomonas maltophilia K279a	1	536	Annotated
rand.32.k141_3029	NA	NA	311	Unannotated
rand.57.k141_3916	Ralstonia pseudosolanacearum	27	308	Annotated
rand.57.k141_5324	Burkholderia multivorans	14	301	Annotated
rand.57.k141_3459	Ralstonia insidiosa	2	315	Annotated
rand.57.k141_1805	Agrobacterium tumefaciens	43	348	Annotated
rand.57.k141_3293	Delftia acidovorans	7	504	Annotated
rand.57.k141_1772	Paracidovorax citrulli	12	367	Annotated
rand.57.k141_1627	Ralstonia insidiosa	2	349	Annotated
rand.57.k141_5463	Paracidovorax avenae	17	312	Annotated
rand.57.k141_3428	Variovorax paradoxus	8	345	Annotated
rand.57.k141_6159	Burkholderia multivorans	34	387	Annotated
rand.57.k141_2797	Pleurocapsa sp. FMAR1	1	318	Annotated
rand.57.k141_3948	Burkholderia multivorans ATCC 17616	2	535	Annotated
rand.57.k141_571	Escherichia coli	22	417	Annotated
rand.57.k141_951	Pseudomonas aeruginosa	8	383	Annotated
rand.57.k141_3912	Stenotrophomonas maltophilia	6	759	Annotated
rand.57.k141_1749	Ralstonia insidiosa	2	347	Annotated
rand.57.k141_923	Stenotrophomonas maltophilia	1	356	Annotated
rand.57.k141_4159	Ralstonia insidiosa	2	371	Annotated
rand.57.k141_1434	Pseudomonas aeruginosa	12	431	Annotated
rand.57.k141_5720	Variovorax paradoxus	9	369	Annotated
rand.57.k141_2132	Variovorax paradoxus	2	381	Annotated
rand.57.k141_6141	Pseudosulfitobacter pseudonitzschiae	48	410	Annotated
rand.57.k141_292	Achromobacter spanius	1	324	Annotated
rand.57.k141_721	Stenotrophomonas maltophilia	3	367	Annotated
rand.57.k141_5988	NA	NA	453	Unannotated
rand.57.k141_4252	Ralstonia insidiosa	2	303	Annotated
rand.57.k141_4891	Variovorax paradoxus	9	364	Annotated
rand.57.k141_5388	Trueperella pyogenes	13	329	Annotated
rand.57.k141_1895	Achromobacter xylosoxidans	32	388	Annotated
rand.57.k141_1574	Klebsiella pneumoniae	33	508	Annotated
rand.57.k141_1252	Variovorax paradoxus	2	375	Annotated
rand.57.k141_5075	Achromobacter xylosoxidans	32	424	Annotated
rand.57.k141_564	Herbaspirillum huttiense	3	404	Annotated
rand.57.k141_1262	Pseudomonas chlororaphis	9	443	Annotated
rand.57.k141_4589	uncultured prokaryote	4	1478	Annotated
rand.57.k141_3081	Variovorax paradoxus	1	365	Annotated
rand.57.k141_2068	Stenotrophomonas maltophilia	43	323	Annotated
rand.57.k141_205	Stenotrophomonas maltophilia	3	394	Annotated
rand.57.k141_6222	Cupriavidus taiwanensis	9	398	Annotated
rand.57.k141_3345	Xanthomonas campestris pv. campestris	18	370	Annotated
rand.57.k141_5548	Stenotrophomonas maltophilia	6	337	Annotated
rand.57.k141_1224	Achromobacter mucicolens	2	318	Annotated
rand.57.k141_5283	Escherichia coli	12	443	Annotated
rand.57.k141_6379	NA	NA	282	Unannotated
rand.57.k141_3225	uncultured Caudovirales phage	8	326	Annotated
rand.57.k141_4846	Azospirillum brasilense	8	582	Annotated
rand.57.k141_4554	Apiospora aurea	2	365	Annotated
rand.57.k141_5357	Citrobacter freundii	24	431	Annotated
rand.57.k141_75	Bordetella trematum	5	320	Annotated
rand.57.k141_1004	Vibrio campbellii	3	420	Annotated
rand.57.k141_35	Achromobacter xylosoxidans	13	538	Annotated
rand.57.k141_4545	Stenotrophomonas maltophilia	2	423	Annotated
rand.57.k141_3052	Variovorax paradoxus	4	319	Annotated
rand.57.k141_4871	Burkholderia cepacia ATCC 25416	3	358	Annotated
rand.57.k141_6207	Ralstonia insidiosa	2	555	Annotated
rand.57.k141_4374	Stenotrophomonas maltophilia	12	475	Annotated
rand.57.k141_5205	Burkholderia gladioli	9	366	Annotated
rand.13.k141_7111	Stenotrophomonas maltophilia	25	510	Annotated
rand.57.k141_4357	Xanthomonas citri pv. malvacearum	15	315	Annotated
rand.57.k141_2025	Pseudomonas fulva	13	385	Annotated
rand.57.k141_6201	Stenotrophomonas maltophilia	71	314	Annotated
rand.13.k141_3437	Rhizobium phaseoli	14	468	Annotated
rand.13.k141_1970	Stenotrophomonas maltophilia	2	401	Annotated
rand.13.k141_1689	Stenotrophomonas maltophilia	10	419	Annotated
rand.13.k141_5372	Cupriavidus gilardii	4	346	Annotated
rand.13.k141_7868	Ralstonia solanacearum	41	359	Annotated
rand.13.k141_5420	Stenotrophomonas maltophilia	13	306	Annotated
rand.57.k141_2344	Achromobacter xylosoxidans	8	375	Annotated
rand.57.k141_2672	Ralstonia solanacearum	23	329	Annotated
rand.13.k141_6598	Variovorax paradoxus	6	315	Annotated
rand.13.k141_9354	Providencia stuartii	5	482	Annotated
rand.13.k141_2460	Pseudomonas fulva	2	617	Annotated
rand.13.k141_7062	Paracidovorax avenae	13	316	Annotated
rand.13.k141_3415	Bordetella parapertussis	40	322	Annotated
rand.13.k141_8067	Acinetobacter baumannii	89	417	Annotated
rand.13.k141_5327	Stenotrophomonas maltophilia	2	773	Annotated
rand.13.k141_7336	Stenotrophomonas maltophilia	71	355	Annotated
rand.13.k141_5876	Streptomyces californicus	6	301	Annotated
rand.13.k141_2449	Delftia tsuruhatensis	10	312	Annotated
rand.13.k141_4902	Anaerotruncus sp.	1	364	Annotated
rand.13.k141_3369	Burkholderia gladioli	6	363	Annotated
rand.13.k141_4406	Burkholderia gladioli	8	404	Annotated
rand.13.k141_1635	Escherichia coli	22	457	Annotated
rand.13.k141_5296	Shewanella putrefaciens	2	406	Annotated
rand.13.k141_3096	Paracidovorax avenae	9	437	Annotated
rand.13.k141_8037	Variovorax paradoxus	1	349	Annotated
rand.13.k141_8043	Suinzona borowieci	3	348	Annotated
rand.13.k141_6341	Stenotrophomonas maltophilia	78	329	Annotated
rand.13.k141_1885	Pseudomonas aeruginosa	48	337	Annotated
rand.13.k141_7045	Pochonia chlamydosporia 170	7	453	Annotated
rand.13.k141_3386	Stenotrophomonas maltophilia	3	360	Annotated
rand.13.k141_4095	Delftia acidovorans	7	504	Annotated
rand.13.k141_5117	NA	NA	348	Unannotated
rand.13.k141_3621	Variovorax paradoxus	4	338	Annotated
rand.13.k141_6296	Delftia lacustris	3	308	Annotated
rand.13.k141_2817	Bordetella parapertussis	85	311	Annotated
rand.13.k141_8526	Achromobacter xylosoxidans	11	428	Annotated
rand.13.k141_8543	Xanthomonas sacchari	10	328	Annotated
rand.13.k141_8023	Pseudomonas synxantha	4	365	Annotated
rand.13.k141_8260	Variovorax paradoxus	2	337	Annotated
rand.13.k141_1377	Delftia lacustris	1	462	Annotated
rand.13.k141_1607	Pseudomonas aeruginosa	87	498	Annotated
rand.13.k141_1118	Variovorax sp. SCN45	1	396	Annotated
rand.13.k141_7004	Variovorax paradoxus	9	344	Annotated
rand.13.k141_5051	Citrobacter koseri	9	309	Annotated
rand.13.k141_1134	Achromobacter xylosoxidans	4	354	Annotated
rand.13.k141_4618	Bradyrhizobium sp. PSBB068	1	312	Annotated
rand.13.k141_2612	Citrobacter freundii	24	393	Annotated
rand.13.k141_3822	Xanthomonas citri pv. malvacearum	15	871	Annotated
rand.13.k141_4833	Variovorax paradoxus	1	486	Annotated
rand.13.k141_7573	Purpureocillium takamizusanense	2	397	Annotated
rand.13.k141_4652	Stenotrophomonas maltophilia	10	661	Annotated
rand.13.k141_2762	Variovorax paradoxus	10	357	Annotated
rand.13.k141_4067	Stenotrophomonas maltophilia	8	313	Annotated
rand.13.k141_6745	Ralstonia solanacearum	6	493	Annotated
rand.13.k141_4270	Rhodanobacter sp. Root179	4	442	Annotated
rand.13.k141_7976	Aphis gossypii	25	450	Annotated
rand.13.k141_8197	Xanthomonas citri pv. fuscans	13	383	Annotated
rand.13.k141_6522	Stenotrophomonas maltophilia	1	623	Annotated
rand.13.k141_5018	Burkholderia mallei	30	355	Annotated
rand.13.k141_8493	NA	NA	537	Unannotated
rand.13.k141_4791	Stenotrophomonas maltophilia	3	437	Annotated
rand.13.k141_8510	Pseudomonas aeruginosa	42	2452	Annotated
rand.13.k141_6680	Streptococcus salivarius	27	313	Annotated
rand.13.k141_4256	Achromobacter xylosoxidans	3	379	Annotated
rand.13.k141_6706	Burkholderia pseudomallei	51	604	Annotated
rand.13.k141_2758	Stenotrophomonas maltophilia	5	328	Annotated
rand.13.k141_4740	Klebsiella michiganensis	12	372	Annotated
rand.13.k141_6483	Stenotrophomonas maltophilia	5	699	Annotated
rand.13.k141_539	Roseibium aggregatum	4	311	Annotated
rand.13.k141_9444	Stenotrophomonas maltophilia	74	698	Annotated
rand.13.k141_8942	Ralstonia mannitolilytica	3	309	Annotated
rand.13.k141_4005	Stenotrophomonas maltophilia	3	797	Annotated
rand.13.k141_6232	Burkholderia gladioli	15	325	Annotated
rand.13.k141_8138	Stenotrophomonas maltophilia	2	398	Annotated
rand.13.k141_8655	Chikungunya virus	100	11773	Annotated
rand.13.k141_1000	Stenotrophomonas maltophilia	80	374	Annotated
rand.13.k141_1015	Achromobacter xylosoxidans	10	312	Annotated
rand.13.k141_2273	Stenotrophomonas maltophilia K279a	1	313	Annotated
rand.13.k141_4515	Stenotrophomonas maltophilia	2	414	Annotated
rand.13.k141_3511	bacterium	9	425	Annotated
rand.13.k141_5941	Variovorax paradoxus	3	388	Annotated
rand.13.k141_3767	Stenotrophomonas maltophilia	2	303	Annotated
rand.13.k141_2009	NA	NA	489	Unannotated
rand.12.k141_2340	Achromobacter denitrificans	2	513	Annotated
rand.13.k141_4463	Pseudomonas citronellolis	1	546	Annotated
rand.13.k141_1244	Burkholderia pseudomallei	50	360	Annotated
rand.13.k141_8387	Delftia tsuruhatensis	9	347	Annotated
rand.12.k141_818	Stenotrophomonas maltophilia	3	547	Annotated
rand.12.k141_1429	Aeromonas veronii	3	516	Annotated
rand.12.k141_2510	Vandammella animalimorsus	2	568	Annotated
rand.12.k141_1443	Delftia acidovorans	1	315	Annotated
rand.12.k141_1484	Bradyrhizobium diazoefficiens	11	316	Annotated
rand.13.k141_5423	Pseudomonas aeruginosa	73	512	Annotated
rand.13.k141_7154	NA	NA	322	Unannotated
rand.13.k141_7642	Ralstonia solanacearum	8	349	Annotated
rand.12.k141_1629	Caudoviricetes sp.	1	478	Annotated
rand.12.k141_2490	Achromobacter xylosoxidans	4	415	Annotated
rand.12.k141_5856	Agrobacterium tumefaciens	28	389	Annotated
rand.12.k141_1641	Salmonella enterica subsp. enterica serovar Infantis	41	405	Annotated
rand.12.k141_3166	Variovorax paradoxus	4	356	Annotated
rand.12.k141_2303	Ralstonia pseudosolanacearum	14	430	Annotated
rand.12.k141_929	Pseudomonas chlororaphis	30	511	Annotated
rand.12.k141_4003	Variovorax paradoxus	6	329	Annotated
rand.12.k141_1651	Ralstonia solanacearum	9	416	Annotated
rand.12.k141_4657	NA	NA	304	Unannotated
rand.12.k141_3563	NA	NA	439	Unannotated
rand.12.k141_5946	Escherichia coli	12	574	Annotated
rand.12.k141_2599	Paracidovorax avenae	17	395	Annotated
rand.12.k141_203	Ralstonia insidiosa	2	468	Annotated
rand.12.k141_3578	NA	NA	322	Unannotated
rand.12.k141_1882	Stenotrophomonas maltophilia	1	352	Annotated
rand.12.k141_2723	Aeromonas salmonicida	6	309	Annotated
rand.12.k141_5759	Stenotrophomonas maltophilia	5	415	Annotated
rand.12.k141_3586	Delftia acidovorans	3	342	Annotated
rand.12.k141_6227	Achromobacter xylosoxidans	34	313	Annotated
rand.12.k141_3709	Ralstonia insidiosa	2	375	Annotated
rand.12.k141_3215	Ralstonia solanacearum	4	368	Annotated
rand.12.k141_5370	Achromobacter xylosoxidans	9	336	Annotated
rand.12.k141_5712	Burkholderia cenocepacia	3	395	Annotated
rand.12.k141_511	Stenotrophomonas maltophilia	7	589	Annotated
rand.12.k141_520	Burkholderia pseudomallei	2	713	Annotated
rand.12.k141_2571	Achromobacter xylosoxidans	4	326	Annotated
rand.12.k141_6247	Variovorax paradoxus	6	416	Annotated
rand.12.k141_5547	Delftia tsuruhatensis	8	428	Annotated
rand.12.k141_1353	Stenotrophomonas maltophilia	21	306	Annotated
rand.55.k141_8065	Variovorax sp. SCN45	1	301	Annotated
rand.12.k141_5209	Stenotrophomonas maltophilia	2	302	Annotated
rand.55.k141_2420	Ralstonia insidiosa	2	427	Annotated
rand.55.k141_8295	NA	NA	333	Unannotated
rand.55.k141_6534	Bordetella hinzii	11	313	Annotated
rand.55.k141_6572	Achromobacter xylosoxidans	2	913	Annotated
rand.55.k141_7813	Variovorax paradoxus	1	328	Annotated
rand.12.k141_4031	Agrobacterium tumefaciens	16	382	Annotated
rand.12.k141_6381	NA	NA	379	Unannotated
rand.12.k141_5033	Stenotrophomonas maltophilia	3	571	Annotated
rand.55.k141_2337	Stenotrophomonas maltophilia	2	506	Annotated
rand.55.k141_3362	Pseudomonas aeruginosa	38	460	Annotated
rand.55.k141_1701	Sphingomonas paucimobilis	5	311	Annotated
rand.55.k141_9768	NA	NA	282	Unannotated
rand.55.k141_5612	Pseudomonas putida	14	629	Annotated
rand.55.k141_8756	Stenotrophomonas maltophilia	56	398	Annotated
rand.55.k141_6091	Stenotrophomonas maltophilia	4	323	Annotated
rand.55.k141_6338	Toxorhynchites rutilus septentrionalis	74	418	Annotated
rand.55.k141_2176	Purpureocillium lilacinum	5	301	Annotated
rand.55.k141_1893	Stenotrophomonas maltophilia	14	942	Annotated
rand.55.k141_2353	Stenotrophomonas maltophilia	16	324	Annotated
rand.55.k141_579	Bradyrhizobium elkanii	7	379	Annotated
rand.55.k141_1377	Variovorax sp. PMC12	1	324	Annotated
rand.55.k141_3309	Stenotrophomonas maltophilia	3	334	Annotated
rand.55.k141_8434	Roseomonas mucosa	10	331	Annotated
rand.55.k141_9677	Venturia canescens	1	282	Annotated
rand.55.k141_6999	Achromobacter xylosoxidans	35	352	Annotated
rand.55.k141_7932	Variovorax sp. SCN45	1	304	Annotated
rand.55.k141_5810	Stenotrophomonas maltophilia	17	462	Annotated
rand.55.k141_7185	Paraburkholderia hospita	2	358	Annotated
rand.55.k141_2660	NA	NA	342	Unannotated
rand.55.k141_8470	Variovorax paradoxus	1	313	Annotated
rand.55.k141_8388	Pseudomonas aeruginosa	68	524	Annotated
rand.55.k141_5310	Burkholderia contaminans	3	407	Annotated
rand.55.k141_5026	Stenotrophomonas maltophilia	4	366	Annotated
rand.55.k141_4516	Xanthomonas oryzae pv. oryzae	17	627	Annotated
rand.55.k141_6763	Variovorax paradoxus	9	341	Annotated
rand.55.k141_553	Stenotrophomonas maltophilia	3	905	Annotated
rand.55.k141_7394	Burkholderia multivorans	40	343	Annotated
rand.55.k141_1105	Stenotrophomonas acidaminiphila	5	366	Annotated
rand.55.k141_6222	Rhizobium leguminosarum	8	529	Annotated
rand.55.k141_6438	Rhodopseudomonas palustris	3	738	Annotated
rand.55.k141_5477	Delftia tsuruhatensis	10	422	Annotated
rand.55.k141_841	Delftia tsuruhatensis	10	313	Annotated
rand.55.k141_3017	Rhizobium leguminosarum	13	393	Annotated
rand.55.k141_804	Stenotrophomonas maltophilia	2	365	Annotated
rand.55.k141_6919	Variovorax paradoxus	4	346	Annotated
rand.55.k141_4509	Stenotrophomonas maltophilia	65	342	Annotated
rand.55.k141_4694	Stenotrophomonas maltophilia	3	302	Annotated
rand.55.k141_5727	Ralstonia pseudosolanacearum	24	313	Annotated
rand.55.k141_3511	Ralstonia insidiosa	2	429	Annotated
