fragment	annotation	frquency	length	status
k141_100	Achromobacter xylosoxidans	35	2474	Annotated
k141_365	NA	NA	413	Unannotated
k141_85	NA	NA	2894	Unannotated
k141_170	Bacillus phage vB_BspM_AgentSmith	1	956	Annotated
k141_390	Caudoviricetes sp.	9	4198	Annotated
k141_289	NA	NA	1059	Unannotated
k141_444	Bacillus phage vB_BspM_AgentSmith	1	3788	Annotated
k141_277	Bacillus phage vB_BspM_AgentSmith	1	1209	Annotated
k141_292	NA	NA	348	Unannotated
k141_185	Porphyromonas gingivalis	28	559	Annotated
k141_205	Bacillus phage vB_BspM_AgentSmith	1	4467	Annotated
k141_410	Caudoviricetes sp.	10	4840	Annotated
k141_166	uncultured bacterium	1	497	Annotated
k141_244	Streptococcus pneumoniae	35	861	Annotated
k141_307	Pseudomonas aeruginosa	96	1637	Annotated
k141_434	Ralstonia phage RP12	2	5425	Annotated
k141_332	NA	NA	581	Unannotated
k141_150	Siphoviridae sp. ctxjx4	1	1184	Annotated
k141_423	Paraburkholderia bryophila	1	2680	Annotated
k141_313	NA	NA	353	Unannotated
k141_439	Bdellovibrio bacteriovorus	14	7405	Annotated
k141_376	Pseudomonas phage vB_PaeM_PS119XW	2	7504	Annotated
k141_405	Cupriavidus taiwanensis	5	323	Annotated
k141_224	NA	NA	305	Unannotated
k141_430	Bacillus phage vB_BspM_AgentSmith	1	5005	Annotated
k141_401	Bordetella holmesii	33	6252	Annotated
