contig	length	gc	stage1_fre	stage1_mean_depth	stage1_mean_cov	stage2_fre	stage2_mean_depth	stage2_mean_cov	control.fre	control.mean.depth	contro.mean.cov	annotation
k141_2716	408	0.429	4	5.750	0.681	6	4.833	0.674	6	0.000301155097686061	0.000301155097686061	Homo sapiens
k141_1800	418	0.411	4	49.000	0.988	11	22.273	0.881	6	0.000292324668641354	0.000292324668641354	Homo sapiens
k141_10105	479	0.608	4	72.750	0.806	8	6.375	0.536	6	0.000288029327580887	0.000288029327580887	Homo sapiens
k141_677	726	0.577	5	70.800	0.983	12	11.000	0.866	6	0.000280516667950095	0.000257091168289765	Homo sapiens
k141_3306	721	0.365	2	32.000	0.748	4	12.250	0.721	6	0.00020255953943443	0.000176655663088273	Plasmodium falciparum 3D7
k141_7777	361	0.438	4	13.500	0.698	9	5.889	0.599	7	0.00135155270940695	0.000450810756026363	Homo sapiens
k141_2293	365	0.356	5	5.000	0.875	6	14.833	0.742	7	0.000432160759358668	0.000381056916349674	Homo sapiens
k141_9884	334	0.551	4	23.000	0.998	6	22.333	0.697	7	0.000420962220157175	0.000420962220157175	Homo sapiens
k141_4467	362	0.575	4	197.500	0.990	10	16.400	0.773	7	0.00039987007022928	0.00039987007022928	Homo sapiens
k141_10377	488	0.568	5	11.000	0.915	12	3.333	0.809	8	0.000539106757438283	0.000539106757438283	Homo sapiens
k141_9912	643	0.582	5	36.600	0.979	11	9.091	0.923	8	0.00040552811339292	0.000405528113392919	Homo sapiens
k141_9869	475	0.429	2	5.000	0.971	4	2.250	0.627	8	0.000385374293954437	0.000385374293954437	Homo sapiens
k141_10240	590	0.402	3	4.667	0.567	7	27.571	0.510	9	0.000786233740314369	0.000329563431010278	Plasmodium falciparum 3D7
k141_3769	382	0.382	5	9.800	0.962	12	6.667	0.600	9	0.000755917742359773	0.00048336391297847	Homo sapiens
k141_8400	368	0.470	4	5.250	0.695	4	6.500	0.931	9	0.000728401945637633	0.000503600134881086	Plasmodium falciparum 3D7
k141_1346	315	0.368	4	1.500	0.846	2	3.500	0.962	9	0.000644149477776578	0.000644149477776578	Homo sapiens
k141_3036	385	0.569	4	81.000	0.992	13	34.385	0.692	9	0.000536548474271329	0.000536548474271329	Homo sapiens
k141_9449	531	0.512	4	131.500	0.976	11	11.000	0.646	9	0.00042924485677486	0.000389582172648476	Equus asinus
k141_10059	649	0.593	5	29.600	0.992	10	8.200	0.865	9	0.000317315155664515	0.000317315155664515	Homo sapiens
k141_8689	349	0.421	4	6.500	0.793	10	3.500	0.630	10	0.00213289379504342	0.00052660709319253	Homo sapiens
k141_4478	456	0.382	4	43.500	1.000	11	21.364	0.922	10	0.000548445971266125	0.000541381941130973	Homo sapiens
k141_5885	488	0.496	5	129.800	0.840	10	9.700	0.648	10	0.000465890013178455	0.000462572928033855	Equus asinus
k141_685	335	0.343	3	3.000	0.910	4	6.000	0.669	11	0.0006277608170809	0.0006277608170809	Homo sapiens
k141_9478	694	0.406	2	8.000	0.769	6	11.167	0.498	11	0.00038988635563804	0.000333067455689033	Plasmodium falciparum 3D7
k141_10188	324	0.525	4	6.250	0.882	5	2.000	0.809	12	0.000772846406162179	0.000772846406162179	Equus asinus
k141_10431	330	0.512	4	14.250	0.977	6	2.833	0.776	12	0.000737859691252986	0.000737859691252986	Equus asinus
k141_10202	484	0.403	4	32.500	0.988	11	16.000	0.818	12	0.000727391381643671	0.00051419743534848	Homo sapiens
k141_9565	388	0.407	4	121.750	0.977	13	45.846	0.887	13	0.00100356915627597	0.000721737066764118	Homo sapiens
k141_10375	306	0.513	4	38.500	0.998	9	3.333	0.666	13	0.000860438136513229	0.000860438136513229	Equus asinus
k141_9169	422	0.524	4	26.250	0.943	6	63.333	0.695	13	0.000693569332884422	0.000603145591842626	Equus asinus
k141_9237	419	0.430	4	3.000	0.707	5	2.400	0.693	13	0.000659277482530666	0.000614171743161226	Homo sapiens
k141_9971	413	0.429	4	2.500	0.685	5	4.000	0.710	13	0.000630456280389576	0.000630456280389576	Homo sapiens
k141_4786	533	0.328	3	1.333	0.583	4	4.250	0.489	13	0.000616149646887558	0.000499449826284929	Homo sapiens
k141_8323	362	0.390	4	97.750	1.000	14	39.214	0.943	14	0.0024365571524683	0.000845722069709406	Homo sapiens
k141_10130	388	0.405	3	4.333	0.796	7	3.143	0.609	14	0.00106109617305565	0.000795824316215071	Homo sapiens
k141_7952	370	0.443	5	2.800	0.828	5	2.200	0.762	14	0.000802029431335548	0.000750652305743618	Homo sapiens
k141_9209	348	0.405	3	1.667	0.714	5	1.800	0.579	14	0.000801833291253493	0.000801833291253493	Homo sapiens
k141_8181	306	0.363	5	8.600	0.947	9	9.889	0.779	15	0.00144467630630206	0.00123567254488114	Homo sapiens
k141_6489	366	0.363	3	1.333	0.665	2	4.000	0.690	15	0.00104687117754274	0.000827011805236722	Homo sapiens
k141_10109	369	0.425	4	2.250	0.760	5	1.600	0.715	15	0.000833720825653148	0.000833720825653148	Homo sapiens
k141_9630	361	0.432	3	2.000	0.951	3	2.000	0.725	15	0.000833385747531291	0.000833385747531291	Homo sapiens
k141_10428	407	0.381	4	12.000	0.970	7	10.857	0.945	16	0.00100812651381048	0.000914068214136031	Homo sapiens
k141_9628	350	0.403	4	1.250	0.455	2	3.500	0.621	16	0.00099711503030375	0.000942988143060421	Homo sapiens
k141_5866	421	0.385	4	8.250	0.809	7	5.000	0.602	16	0.000969684509010453	0.000841686098483252	Homo sapiens
k141_6059	354	0.347	3	4.667	0.955	5	8.000	0.952	16	0.000912198194769974	0.000912198194769974	Homo sapiens
k141_9405	504	0.599	5	53.200	0.874	13	4.462	0.593	16	0.000896272463367616	0.000686210919795185	Homo sapiens
k141_6104	311	0.347	4	3.500	0.952	8	7.250	0.586	17	0.00127055214555606	0.00115171083971712	Homo sapiens
k141_8643	380	0.389	4	20.500	1.000	8	14.500	0.980	17	0.0012461640703956	0.000920940468078692	Homo sapiens
k141_3043	541	0.486	5	67.200	0.735	13	43.077	0.629	17	0.000729993740683287	0.00070695055329014	Eulemur rufifrons
k141_9181	339	0.404	3	2.667	0.854	8	3.000	0.762	18	0.00142868732348303	0.00119644438954876	Homo sapiens
k141_9960	385	0.403	4	27.500	1.000	11	15.091	0.856	19	0.00116912366297314	0.00116912366297314	Homo sapiens
k141_5870	373	0.416	4	33.750	0.967	12	14.250	0.839	20	0.00422803642195345	0.00131772363765678	Homo sapiens
k141_5441	410	0.400	4	7.500	0.928	6	4.833	0.885	20	0.0015167024643977	0.00103490124574187	Homo sapiens
k141_4843	536	0.392	5	8.400	0.819	8	7.250	0.746	20	0.00147808207589878	0.00100117804368385	Homo sapiens
k141_8644	503	0.384	5	277.000	0.864	17	89.353	0.854	20	0.00103017812478795	0.000834300471132112	Homo sapiens
k141_5753	526	0.549	4	134.000	0.759	11	34.364	0.593	20	0.000879690883287422	0.000840276199076326	Macaca fascicularis
k141_639	376	0.436	4	27.750	0.691	7	4.000	0.613	21	0.00405524684751233	0.00116565700345476	Plasmodium falciparum 3D7
k141_1065	386	0.420	5	6.800	0.844	7	6.571	0.819	21	0.00120862290508952	0.00120862290508952	Homo sapiens
k141_10374	613	0.605	5	48.200	0.592	11	13.455	0.508	21	0.000717779925858898	0.000717779925858898	Homo sapiens
k141_7531	415	0.390	5	129.200	0.851	15	54.000	0.862	22	0.00146423178417106	0.00113800856120338	Homo sapiens
k141_7755	304	0.414	5	4.000	0.899	6	3.833	0.885	22	0.0014364520288668	0.0014364520288668	Homo sapiens
k141_5281	765	0.393	2	16.500	0.710	5	6.400	0.517	22	0.00117645999682404	0.000595062065507404	Plasmodium falciparum 3D7
k141_6254	501	0.395	4	60.250	1.000	10	25.500	0.909	22	0.00102577400541043	0.000947630499920676	Homo sapiens
k141_5450	386	0.425	2	3.000	0.641	3	2.333	0.680	23	0.00349500171193477	0.0012428398352552	Plasmodium falciparum 3D7
k141_1803	342	0.398	5	7.600	0.829	10	7.700	0.749	23	0.00172823588772351	0.00148824842823522	Homo sapiens
k141_9990	359	0.379	5	9.200	0.986	11	10.727	0.825	23	0.00154960280297396	0.0014097412866629	Homo sapiens
k141_8771	348	0.379	5	5.000	0.859	5	6.200	0.792	23	0.00143661820904344	0.0013178126936721	Homo sapiens
k141_7012	466	0.376	3	2.000	0.579	3	3.333	0.747	23	0.00120927976163227	0.00103027303503736	Homo sapiens
k141_10368	436	0.378	5	16.400	0.900	12	17.083	0.887	24	0.00151153277996708	0.00116242204189906	Homo sapiens
k141_3340	429	0.375	2	1.000	0.676	4	1.250	0.471	25	0.00178019946020632	0.00121667588403766	Homo sapiens
k141_9344	388	0.348	5	4.600	0.962	8	5.125	0.734	25	0.00160956894807641	0.00140518417256371	Homo sapiens
k141_7142	375	0.352	5	2.200	0.777	4	5.000	0.644	25	0.00153899557652194	0.00139160133458021	Homo sapiens
k141_7556	343	0.423	4	3.500	0.848	7	3.429	0.651	25	0.00148289764107024	0.00148289764107024	Homo sapiens
k141_10079	420	0.388	4	4.500	0.947	8	4.875	0.596	25	0.00137299343520872	0.00128426164284493	Homo sapiens
k141_9124	409	0.616	5	64.600	0.825	9	6.111	0.479	25	0.00131730036486625	0.00131730036486625	Homo sapiens
k141_5548	574	0.415	4	187.250	0.622	9	19.000	0.567	26	0.00262234029616697	0.000938753012667479	Plasmodium falciparum 3D7
k141_10158	566	0.424	4	16.750	0.738	10	9.800	0.497	26	0.00126027918422549	0.00108962616239368	Homo sapiens
k141_5772	465	0.389	5	9.200	0.905	10	7.000	0.689	26	0.00117902143847932	0.00117902143847932	Homo sapiens
k141_9763	520	0.419	5	7.000	0.635	8	8.500	0.667	26	0.0011341336335669	0.00109426677324631	Homo sapiens
k141_9845	475	0.429	4	1.250	0.647	6	2.167	0.499	26	0.00112843985170335	0.00108738571840742	Homo sapiens
k141_9756	561	0.512	4	25.500	0.903	8	9.250	0.516	26	0.0010581740530594	0.0009997453174079	Equus asinus
k141_7138	326	0.380	4	12.500	0.987	11	3.636	0.805	27	0.00231551583872863	0.00182914078996699	Homo sapiens
k141_2634	304	0.395	4	2.500	0.710	8	2.375	0.558	27	0.00206100334512885	0.00180868330548387	Homo sapiens
k141_10186	343	0.385	2	1.500	0.615	4	1.250	0.707	27	0.00167562487829508	0.00167562487829508	Homo sapiens
k141_10190	422	0.424	4	2.000	0.947	6	2.833	0.527	27	0.00156687528639926	0.00148261977005656	Homo sapiens
k141_8859	357	0.412	5	10.000	0.997	10	7.600	0.858	27	0.0015605382780767	0.00150375623028893	Homo sapiens
k141_7480	417	0.405	4	5.000	0.789	5	3.800	0.695	28	0.00361923856655723	0.00157804240819538	Homo sapiens
k141_3324	348	0.391	5	2.200	0.710	5	2.200	0.803	28	0.00222198631720158	0.00196417480663633	Homo sapiens
k141_7108	628	0.393	5	3.600	0.457	6	4.833	0.386	28	0.0009388317791505	0.000916226603727881	Homo sapiens
k141_10070	370	0.589	5	9.000	0.763	4	6.250	0.653	29	0.00349286652422849	0.00169697554333491	Homo sapiens
k141_7545	379	0.348	2	1.000	0.864	4	2.250	0.482	29	0.00202679694190153	0.0017789232710118	Homo sapiens
k141_2554	637	0.344	5	11.400	0.900	7	18.286	0.704	29	0.0013899965175069	0.00129555788924231	Homo sapiens
k141_10320	473	0.440	5	12.000	0.746	12	11.000	0.673	29	0.00138587792793957	0.00132174999104471	Homo sapiens
k141_5821	701	0.392	4	138.000	0.997	13	50.000	0.884	29	0.0011052490649518	0.000882860639493756	Homo sapiens
k141_1738	311	0.566	4	221.750	0.958	7	24.143	0.845	30	0.00217526076644401	0.00205364655776438	Homo sapiens
k141_7471	357	0.373	3	1.333	0.907	6	2.000	0.567	30	0.00180765805988856	0.00171137327476689	Homo sapiens
k141_1919	902	0.421	5	33.000	0.882	14	17.786	0.619	30	0.000697445072696625	0.000675761232127063	Homo sapiens
k141_1007	437	0.382	3	4.000	0.683	5	2.800	0.513	31	0.00567121583009775	0.00167104462727248	Homo sapiens
k141_9160	361	0.368	4	64.500	1.000	13	26.538	0.845	31	0.00359150607691087	0.00190098155507327	Homo sapiens
k141_2992	406	0.409	5	59.800	0.906	13	31.769	0.834	31	0.0031273036979206	0.00169770089766727	Homo sapiens
k141_5413	458	0.402	4	19.750	0.994	10	8.100	0.713	31	0.00269820720661486	0.00216366339426859	Homo sapiens
k141_682	388	0.345	5	6.000	0.999	8	10.375	0.922	31	0.00194814922455631	0.00179458815122519	Homo sapiens
k141_1726	475	0.411	4	3.500	0.565	6	1.667	0.334	31	0.00161968890660299	0.00141424718123461	Homo sapiens
k141_5869	411	0.392	5	29.000	0.768	11	5.182	0.692	32	0.0117785003009314	0.00214257332560979	Homo sapiens
k141_8276	336	0.396	4	1.500	0.727	4	1.750	0.737	32	0.00202315675561479	0.00202315675561479	Homo sapiens
k141_6846	418	0.421	4	1.750	0.606	4	2.750	0.656	32	0.00155911846648776	0.0015134770295011	Homo sapiens
k141_3544	520	0.419	4	39.000	0.856	10	6.000	0.698	33	0.00625178680173762	0.00148429094085196	Homo sapiens
k141_7505	418	0.380	5	68.800	0.949	14	22.643	0.859	33	0.00287691280240077	0.00198590717146495	Homo sapiens
k141_2283	402	0.507	4	32.500	0.909	9	9.778	0.709	33	0.00184225712536992	0.00169408992896069	Equus asinus
k141_9276	421	0.344	4	6.250	0.854	6	8.833	0.686	33	0.00181007266641984	0.00172071475311183	Homo sapiens
k141_9879	554	0.424	5	4.200	0.761	8	5.125	0.636	34	0.00142973703289834	0.00130136021651791	Homo sapiens
k141_6422	390	0.385	5	2.400	0.519	10	2.600	0.531	35	0.00188521973161204	0.00183320564203545	Homo sapiens
k141_3452	415	0.395	5	72.600	0.898	12	37.750	0.901	35	0.00185888977256193	0.00176349593227848	Homo sapiens
k141_4074	586	0.360	4	3.750	0.702	8	5.125	0.559	35	0.0013505720778709	0.00129638142555263	Homo sapiens
k141_8087	370	0.384	5	28.000	0.925	13	15.846	0.722	36	0.00213223307784706	0.00196592780456172	Homo sapiens
k141_9848	374	0.396	4	6.000	0.999	7	4.571	0.895	37	0.00745163856570853	0.00237467544899816	Homo sapiens
k141_5179	325	0.618	3	4.000	0.775	3	2.667	0.684	37	0.002847342281781	0.00239371002616135	Homo sapiens
k141_10132	328	0.372	5	2.000	0.777	6	6.167	0.917	37	0.00250126900665121	0.00243827695847094	Homo sapiens
k141_8727	329	0.374	2	1.500	0.933	2	2.500	0.804	37	0.00241437153072428	0.00239138992085041	Homo sapiens
k141_7872	413	0.370	4	1.500	0.704	3	3.333	0.805	37	0.00199652482582185	0.00180488541453812	Homo sapiens
k141_1703	382	0.393	4	1.500	0.717	3	1.000	0.609	38	0.00303285381926216	0.00247948975872128	Homo sapiens
k141_9477	303	0.432	4	1.750	0.738	4	1.500	0.666	38	0.00279545525685683	0.00253353775911614	Homo sapiens
k141_10358	305	0.364	4	2.500	0.807	6	3.333	0.900	38	0.00261402472715215	0.00248394221767471	Homo sapiens
k141_10281	328	0.409	2	1.000	0.637	3	2.333	0.718	38	0.00246247982116149	0.00233649572480095	Macaca mulatta
k141_4312	393	0.433	5	5.000	0.811	10	5.500	0.747	38	0.00230212953067824	0.00221046374699966	Homo sapiens
k141_9210	354	0.407	2	1.000	0.952	2	2.000	0.657	38	0.00221428534106414	0.00219606447224756	Homo sapiens
k141_7156	371	0.402	4	5.750	0.942	7	6.429	0.802	38	0.00214396616129618	0.00214396616129618	Homo sapiens
k141_3841	382	0.403	5	3.400	0.771	8	8.000	0.750	38	0.00200054730279682	0.00200054730279682	Homo sapiens
k141_7590	396	0.389	5	7.600	0.751	7	7.571	0.585	38	0.00199619570905229	0.00199619570905229	Homo sapiens
k141_6815	553	0.389	4	7.500	0.946	9	9.222	0.768	38	0.00190437601626426	0.00160864851218818	Homo sapiens
k141_10094	668	0.412	4	5.250	0.762	8	6.125	0.653	38	0.00125394902046124	0.00115918290445051	Homo sapiens
k141_9936	363	0.391	5	7.200	0.999	10	9.700	0.961	39	0.0024404935366867	0.00234727609133908	Homo sapiens
k141_4178	546	0.390	5	9.400	0.826	9	7.333	0.654	39	0.00153231756086679	0.00145710461887906	Homo sapiens
k141_10369	841	0.389	4	31.000	0.473	10	27.600	0.611	40	0.00174226541457851	0.00103623925939473	Plasmodium falciparum 3D7
k141_9665	556	0.379	4	12.250	0.891	11	9.818	0.689	40	0.00160807359024835	0.00147217343723435	Homo sapiens
k141_10238	365	0.359	5	2.200	0.961	8	2.750	0.761	41	0.00297875211165679	0.00255657191482232	Homo sapiens
k141_5602	309	0.417	5	6.800	0.887	7	7.286	0.869	41	0.00278670633265995	0.0026571821417158	Homo sapiens
k141_1517	480	0.388	3	1.333	0.656	4	2.250	0.671	41	0.00187664174238388	0.00182943654306836	Homo sapiens
k141_10073	545	0.433	5	11.600	0.940	12	7.000	0.666	41	0.00154911584586728	0.00151343607183919	Homo sapiens
k141_992	336	0.396	3	2.000	0.739	5	1.400	0.504	42	0.0101625840946714	0.00324309826535887	Homo sapiens
k141_9444	374	0.439	4	3.250	0.988	6	2.667	0.638	42	0.00245775318789343	0.00234530420346542	Homo sapiens
k141_1441	733	0.443	5	17.600	0.678	10	42.100	0.471	42	0.00153113574645114	0.00119244558389094	Lonchura striata
k141_2633	462	0.387	5	43.800	0.950	12	22.000	0.682	43	0.00264604885540587	0.00199993433174654	Homo sapiens
k141_8534	437	0.350	5	8.400	0.913	7	12.286	0.872	43	0.00207588813475976	0.00198411563906249	Homo sapiens
k141_9806	409	0.411	4	188.000	1.000	16	55.812	0.900	44	0.0036317224745191	0.00252113686023277	Homo sapiens
k141_10218	435	0.411	4	7.000	0.905	4	5.500	0.697	44	0.0028224345428302	0.00224804350021431	Homo sapiens
k141_9981	354	0.410	2	1.500	0.674	3	1.667	0.675	44	0.00267379766142422	0.00256333364422372	Homo sapiens
k141_1579	403	0.352	5	1.400	0.766	3	7.667	0.873	45	0.00316321569111043	0.00278445026871855	Homo sapiens
k141_10388	488	0.400	5	33.800	0.966	11	18.545	0.748	45	0.00193902542869703	0.00189656032086063	Homo sapiens
k141_3318	567	0.409	2	59.000	0.849	4	25.750	0.567	46	0.00297495775360299	0.00185567949404755	Plasmodium falciparum 3D7
k141_10224	380	0.400	5	9.200	0.972	8	6.375	0.775	46	0.00263453409562888	0.00247228272983531	Homo sapiens
k141_5852	279	0.373	4	1.250	0.616	4	3.000	0.746	47	0.00396066114566137	0.00345278767238549	Homo sapiens
k141_9071	357	0.412	5	11.800	0.995	11	8.455	0.831	47	0.0028660859796822	0.00272441209872037	Homo sapiens
k141_5847	459	0.364	4	3.250	0.830	5	5.000	0.654	47	0.00230146517645938	0.00209491236203594	Homo sapiens
k141_7328	679	0.406	5	12.400	0.880	12	6.500	0.552	47	0.00161898990363876	0.00147356413110617	Homo sapiens
k141_5893	367	0.384	5	2.400	0.783	7	5.143	0.672	48	0.00289404104631988	0.00278514108796465	Homo sapiens
k141_9122	418	0.404	4	3.250	0.705	9	4.000	0.506	48	0.00234916000953904	0.00234916000953904	Homo sapiens
k141_10394	628	0.395	3	3.000	0.632	8	2.000	0.392	49	0.00181035230371788	0.0016888258161504	Homo sapiens
k141_5901	397	0.559	4	24.250	0.945	7	5.000	0.545	50	0.00453640605442325	0.00278135434248558	Homo sapiens
k141_7697	443	0.357	3	2.000	0.592	4	2.250	0.546	50	0.00280943753742102	0.00250644194972457	Homo sapiens
k141_9876	550	0.531	5	21.400	0.975	9	9.556	0.794	50	0.00279297211864194	0.00193307386830336	Equus asinus
k141_878	332	0.395	2	1.000	0.663	2	1.000	0.346	51	0.00317744724555197	0.00312285560316848	Homo sapiens
k141_1560	463	0.393	4	8.500	0.778	12	6.917	0.672	51	0.00235338624062967	0.00231390687693174	Homo sapiens
k141_4248	423	0.383	5	68.400	0.841	12	28.083	0.756	52	0.00780764838680968	0.00261583143334079	Homo sapiens
k141_10265	302	0.397	3	1.667	0.947	6	1.833	0.765	52	0.00349487029373981	0.00349487029373981	Homo sapiens
k141_3119	403	0.367	4	4.500	0.699	11	5.364	0.654	52	0.00279180850697075	0.0026207663680637	Homo sapiens
k141_9712	535	0.404	4	36.000	0.892	11	14.091	0.660	53	0.00518562810158382	0.0025223716003249	Homo sapiens
k141_6989	389	0.386	4	15.250	1.000	8	7.125	0.957	53	0.00394861174230875	0.00300845858196005	Homo sapiens
k141_1760	365	0.416	5	16.200	0.759	11	9.909	0.588	53	0.00305945076399944	0.00296663513561554	Homo sapiens
k141_9758	504	0.409	4	17.500	1.000	8	8.375	0.718	54	0.00432114982536775	0.00241674722409111	Homo sapiens
k141_5392	652	0.371	5	10.200	0.900	13	11.308	0.760	54	0.00208389930966233	0.0018568713073288	Homo sapiens
k141_4373	321	0.386	4	2.750	0.781	7	3.000	0.652	55	0.00360814110423254	0.00353415026404774	Homo sapiens
k141_10490	469	0.343	5	10.200	0.780	6	24.167	0.773	55	0.0032799215049927	0.00256882473838895	Homo sapiens
k141_9194	454	0.355	5	15.000	0.961	11	14.182	0.810	55	0.00279096036421568	0.00254788507780355	Homo sapiens
k141_10163	548	0.365	5	19.800	0.918	15	17.933	0.764	55	0.00262202645935349	0.00240646503124518	Homo sapiens
k141_963	332	0.380	2	1.500	0.664	5	2.600	0.427	56	0.00387695670255183	0.00363200590437856	Homo sapiens
k141_1700	765	0.393	3	30.000	0.573	8	54.250	0.749	56	0.0037312029975207	0.00166298954202188	Toxoplasma gondii ME49
k141_9919	527	0.361	4	3.500	0.753	7	5.000	0.564	56	0.00268620919647192	0.00245829577138434	Homo sapiens
k141_8641	597	0.357	5	19.200	0.986	11	23.000	0.765	56	0.00260511938086237	0.00233173115529958	Homo sapiens
k141_6393	525	0.406	4	6.250	0.783	7	4.571	0.566	57	0.00542143214170127	0.0024306546662348	Homo sapiens
k141_2762	367	0.351	4	2.000	0.675	5	2.200	0.461	57	0.00381773922651567	0.00321278056953078	Homo sapiens
k141_4187	461	0.386	2	2.500	0.869	8	2.625	0.553	57	0.00339537477493901	0.00285697503343818	Homo sapiens
k141_7657	454	0.399	5	2.000	0.507	9	3.778	0.603	58	0.00299579346357376	0.00290862090835829	Homo sapiens
k141_10465	572	0.409	5	17.000	0.913	13	10.000	0.582	58	0.00228328687509084	0.00217663537663729	Homo sapiens
k141_1340	508	0.400	5	32.800	0.996	14	19.714	0.775	59	0.00251514051311947	0.00245696381854393	Homo sapiens
k141_4291	467	0.390	4	21.250	1.000	10	10.700	0.853	60	0.00605981701537992	0.00321148020290227	Homo sapiens
k141_1887	453	0.413	4	55.500	0.986	11	24.273	0.843	60	0.00372603688169742	0.00282348314376267	Homo sapiens
k141_4224	414	0.399	5	4.800	0.707	8	6.500	0.692	60	0.00313348924323991	0.00292153594979675	Homo sapiens
k141_8669	461	0.401	4	4.500	0.746	10	5.200	0.513	60	0.00304597292354363	0.00286369050090398	Homo sapiens
k141_5557	741	0.391	3	85.000	0.616	8	71.000	0.795	60	0.00292511910441867	0.00181016404083457	Toxoplasma gondii ME49
k141_7813	482	0.386	5	2.800	0.788	12	6.000	0.646	60	0.00285713551343441	0.00265827217531144	Homo sapiens
k141_4169	342	0.602	4	5.750	0.826	4	2.000	0.529	61	0.00462408474664809	0.00385068944520071	Homo sapiens
k141_10093	427	0.407	5	9.200	0.864	11	8.636	0.751	61	0.00317288204693887	0.00299065423020357	Homo sapiens
k141_7336	391	0.384	3	3.667	0.834	5	3.000	0.728	62	0.0107296979235794	0.00688421129590968	Homo sapiens
k141_2706	368	0.337	3	2.333	0.553	2	1.000	0.980	62	0.00354324269933742	0.00344213329005218	Homo sapiens
k141_9258	444	0.390	3	1.667	0.703	5	1.400	0.557	62	0.00296125105536134	0.00282223031017356	Homo sapiens
k141_8173	442	0.387	5	9.600	0.998	10	10.300	0.898	62	0.00288748867414458	0.00284063391471161	Homo sapiens
k141_10243	454	0.381	4	5.500	0.890	9	5.222	0.728	63	0.00424779922264639	0.00370103194795783	Homo sapiens
k141_2614	429	0.389	2	1.000	0.562	2	1.000	0.696	64	0.00350145356886359	0.00329721184223369	Homo sapiens
k141_4084	493	0.398	2	396.000	0.642	4	43.500	0.810	65	0.00667968518637986	0.00291596564519711	Plasmodium falciparum 3D7
k141_10200	409	0.396	4	11.000	0.999	11	6.182	0.912	65	0.00353519148877854	0.00330142671026465	Homo sapiens
k141_4189	403	0.404	4	7.000	0.980	9	7.333	0.902	65	0.00340539470262792	0.00325572879697344	Homo sapiens
k141_9995	566	0.359	5	8.400	0.771	9	13.111	0.718	65	0.00309488222278327	0.00265943777623583	Homo sapiens
k141_10156	445	0.378	2	1.500	0.751	7	3.000	0.674	67	0.00428575629650295	0.0038980951493204	Homo sapiens
k141_5023	411	0.377	4	2.500	0.653	6	4.667	0.700	68	0.00369948334793333	0.00339730410231493	Homo sapiens
k141_7796	290	0.410	4	7.000	0.815	8	7.875	0.856	70	0.00824175640444248	0.00576805247637301	Homo sapiens
k141_6699	473	0.421	4	18.500	0.942	9	5.444	0.854	71	0.0122169809218193	0.00367858101500073	Homo sapiens
k141_7444	610	0.397	2	7.000	0.796	5	104.600	0.631	71	0.00572301446544874	0.00267977061536892	Toxoplasma gondii ME49
