fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	gatk_length	gatk_cov	gatk_Depth	gatk_Segments	gatk_Reads	sampleType	raw	clean	Host
0	0	0	0	0	0	0	0	29903	0.008524437	0.010229324	5	6	BALF	33044180	248772	32519868
0	0	0	0	0	0	0	0	29903	0.005115346	0.005115346	3	3	BALF	15641481	67163	15548391
45	45	23693	90	79.2329	112	53	99.9748	29903	0.991516865	22.41229045	18	12238	BALF	21882178	76100	21521629
0	0	0	0	0	0	0	0	29903	0.557144244	0.910005499	198	533	BALF	13593561	55147	13530375
0	0	0	0	0	0	0	0	29903	0.336344227	6.715552636	146	3909	nasopharyngeal	28603205	960270	25577514
0	0	0	0	0	0	0	0	29903	0.001705343	0.001705343	1	1	BALF	19578362	83696	19488452
0	0	0	0	0	0	0	0	29903	0.005115346	0.005115346	3	3	BALF	35310482	118665	34930152
0	0	0	0	0	0	0	0	29903	0.133703531	0.151758994	73	89	BALF	22885742	1949	22879352
0	0	0	0	0	0	0	0	29903	0.158394791	0.173676168	85	102	BALF	25619401	125486	25466861
0	0	0	0	0	0	0	0	29903	0.035928944	0.037531722	21	22	BALF	31283055	579879	27671879
9	1	29840	2	99.7893	144	59	91.9564	29903	0.999610374	2668.069387	2	1587366	BALF	24905140	1802970	22910294
86	26	8717	52	29.1509	48	18	29.3193	29903	0.919063758	8.172040207	85	4481	BALF	52704300	226244	51551597
0	0	0	0	0	0	0	0	29903	0.002574734	0.005149468	1	2	BALF	33672684	2058751	29013073
4	2	403	4	1.3477	0	0	45.434	29903	0.846550235	2.697019255	169	1579	BALF	20327085	10865	20268440
426	2	29865	4	99.8729	155	56	18.4154	29903	0.999746891	4526.463578	1	1780017	BALF	22367615	6854421	12978250
33	33	27790	66	92.9338	68	0	99.6192	29903	0.995751666	70.52080718	11	41725	BALF	17809608	46468	17748197
48	33	28271	66	94.5424	74	0	87.4685	29903	0.996868033	231.2538309	8	137573	BALF	19204220	165595	18961432
26	25	28675	50	95.8934	63	0	98.9713	29903	0.99787624	612.3784575	6	365163	BALF	20719789	373984	20298863
90	1	29860	2	99.8562	173	56	54.5202	29903	0.99916931	170.2698233	2	65722	BALF	13182350	1183615	10737357
11	2	29845	4	99.806	155	56	93.4458	29903	0.998817545	95.9485163	2	56454	BALF	20220420	577406	18829572
0	0	0	0	0	0	0	0	29903	0.042860004	0.04609787	25	27	BALF	17096273	331177	15986665
105	2	29782	4	99.5954	163	56	52.5046	29903	0.997848877	28.31512709	2	10472	BALF	13766907	1027726	12099595
42	34	27995	68	93.6194	152	56	92.2273	29903	0.996737564	12.80984295	7	7424	BALF	32935097	625857	30019616
14	5	29809	10	99.6857	156	56	93.7055	29903	0.998557188	31.13433456	2	17933	BALF	25928306	545273	24120008
0	0	0	0	0	0	0	0	29903	0.522144901	0.749382154	202	440	sputum	24052946	607166	22287208
867	1	29833	2	99.7659	164	56	8.2192	29903	0.998400666	29.48950574	2	17167	BALF	35749428	1312452	29639092
0	0	0	0	0	0	0	0	29903	0.460065681	1.266108374	112	490	BALF	22508487	1763095	18763124
1063	2	29816	4	99.7091	155	56	4.9272	29903	0.999138688	439.0427727	2	261805	BALF	18806830	930089	9870404
33	23	9482	46	31.7092	66	9	79.9261	29903	0.968851938	4.855344823	42	2833	BALF	26643881	636109	24714878
0	0	0	0	0	0	0	0	29903	0.197288158	0.223445166	101	131	BALF	21981658	622561	20543156
16	16	29106	32	97.3347	64	0	99.7573	29903	0.998900523	1607.513524	6	964677	BALF	50000001	968942	49005776
0	0	0	0	0	0	0	0	29903	0.601597732	1.009277155	217	591	BALF	22947896	70808	22730223
142	30	26271	64	87.8541	152	55	46.2468	29903	0.985169312	11.51349141	18	4281	BALF	19237489	2163904	15325666
30	30	28085	60	93.9203	70	0	99.7247	29903	0.995801273	62.32004062	9	36721	BALF	16412374	40237	16359043
42	36	27362	72	91.5025	66	0	93.8474	29903	0.994121623	40.17559347	10	23612	BALF	10316221	53914	10123953
2	2	457	4	1.5283	0	0	100	29903	0.741756345	1.847206099	195	1065	BALF	39144776	4474	39118850
4	1	29824	2	99.7358	155	56	97.5904	29903	0.999344879	4565.303858	2	2728492	BALF	11320856	3213314	7867417
0	0	0	0	0	0	0	0	29903	0.02052139	0.02309492	8	9	sputum	22737062	1913992	18871692
38	1	29862	2	99.8629	161	56	73.8851	29903	0.999626899	405.6277516	1	157850	BALF	8904367	720252	7737104
803	17	5281	34	17.6604	6	0	1.5178	29903	0.930770355	4.466218389	93	2537	BALF	29537948	276403	28763381
32	32	28099	64	93.9672	76	0	99.7567	29903	0.996140318	80.01549577	10	47399	BALF	24467422	51919	24405071
33	33	27637	66	92.4222	67	0	99.7849	29903	0.996255898	82.5398957	10	48649	BALF	11109214	54367	11034272
138	37	17105	74	57.2016	99	45	36.4212	29903	0.934086054	4.461550198	61	1710	BALF	27233346	3603679	20160291
4	1	258	2	0.8628	0	0	23.8447	29903	0.626843752	1.596481706	204	914	Lung	17008146	15623	16896453
15	15	29028	30	97.0739	72	0	99.7801	29903	0.998085622	1461.87665	6	877729	BALF	50000001	881164	49117132
22	1	29845	2	99.806	159	56	82.129	29903	0.999178112	224.7112434	2	87672	BALF	7085701	817887	5328621
58	32	28132	64	94.0775	67	0	79.2826	29903	0.996269216	89.97834646	8	53401	BALF	9629588	97784	9430689
11	2	29854	4	99.8361	167	56	93.0712	29903	0.998563943	66.18105958	2	39031	BALF	22579204	706794	21038932
0	0	0	0	0	0	0	0	29903	0.088264727	0.092567883	33	36	BALF	12871490	1333079	9694510
552	43	23359	86	78.1159	41	0	11.5831	29903	0.989712772	11.02238236	16	6380	BALF	26006454	249649	25668019
33	13	29675	28	99.2375	159	56	79.5345	29903	0.998909019	189.8415038	2	112398	BALF	17828852	826388	16287761
65	1	29829	2	99.7525	171	56	59.1086	29903	0.998283863	29.43207967	2	11077	BALF	15098503	1390078	11792282
163	47	21831	94	73.0061	138	30	22.2154	29903	0.990856325	10.10076595	19	5746	BALF	14942988	1203434	13291314
1635	23	7045	46	23.5595	5	0	1.0546	29903	0.953269418	5.090734256	72	2896	BALF	36313601	527468	35762768
61	47	23615	94	78.972	31	2	86.0512	29903	0.990385098	12.55773962	20	7311	BALF	10326315	50154	10142642
506	5	1261	10	4.217	9	0	0.9478	29903	0.547914833	1.022270045	135	395	BALF	23312571	1961871	19048743
2374	38	26027	76	87.0381	59	0	1.4413	29903	0.992113827	15.88004466	11	9259	BALF	39439450	912282	38361404
272	24	10811	48	36.1536	65	27	13.3	29903	0.885337061	3.5036968	80	1341	BALF	27601522	3642404	20569698
37	24	7949	50	26.5826	55	21	71.6893	29903	0.944632602	4.1128847	78	2381	BALF	36864482	1063053	34434383
38	38	26548	76	88.7804	60	0	99.8166	29903	0.990229142	19.39995842	12	11229	BALF	18904441	12641	18879697
0	0	0	0	0	0	0	0	29903	0.006820005	0.006820005	4	4	sputum	20664144	747233	4713975
0	0	0	0	0	0	0	0	29903	0.032776478	0.035349148	13	14	BALF	23063192	2093848	18641283
515	2	29881	4	99.9264	165	56	18.5806	29903	0.999814886	4767.015953	1	1879973	BALF	24143962	5397265	15464703
0	0	0	0	0	0	0	0	29903	0.077644311	0.084617951	31	33	BALF	13395106	1472374	10731275
50	35	27079	70	90.5561	53	0	85.158	29903	0.994722384	27.81366124	10	16266	BALF	26645916	48369	26486851
0	0	0	0	0	0	0	0	29903	0.129681461	0.146341463	47	57	BALF	11496212	520669	10344220
34	34	27985	68	93.5859	70	0	99.7806	29903	0.996165687	119.1701292	10	70216	BALF	10380024	80975	10269306
32	28	27744	56	92.78	81	0	95.878	29903	0.997136411	344.9927976	7	205174	BALF	20103346	224438	19832355
2933	2	29825	4	99.7392	165	56	2.0859	29903	0.999475696	1380.507679	2	824649	sputum	20587900	2559379	7583903
5	1	29842	2	99.796	171	56	96.9786	29903	0.998731052	492.3466973	3	293875	sputum	21222685	621495	19262302
12	3	29759	6	99.5184	161	58	93.1571	29903	0.999363281	11430.42736	2	6833629	BALF	27331933	7996791	18206010
0	0	0	0	0	0	0	0	29903	0.293820892	0.38617779	139	226	BALF	27461610	458514	25681108
0	0	0	0	0	0	0	0	29903	0.008524437	0.008524437	5	5	BALF	33290675	576375	31174052
0	0	0	0	0	0	0	0	29903	0.469671331	0.905434429	195	527	BALF	16682545	22314	16607004
103	5	1396	10	4.6684	4	9	3.9574	29903	0.88258377	2.634078298	138	1525	BALF	26223869	486098	22711244
2232	31	27766	62	92.8536	78	0	3.2014	29903	0.995744919	98.06819327	9	58211	BALF	22748568	728279	21578222
0	0	0	0	0	0	0	0	29903	0.173526288	0.199747743	90	117	BALF	29558886	468854	27266645
40	33	27720	66	92.6997	81	0	93.0621	29903	0.99621132	243.6256784	9	144639	BALF	50000001	204345	49730468
0	0	0	0	0	0	0	0	29903	0.081676231	0.095088749	30	37	sputum	8309321	359820	7622113
65	33	27906	66	93.3217	78	0	52.4301	29903	0.996465432	247.3527322	9	146978	BALF	44346885	163977	44178009
0	0	0	0	0	0	0	0	29903	0.024786211	0.027458578	14	16	sputum	61148945	373106	59921351
49	49	19165	98	64.0906	17	0	99.8239	29903	0.983343776	10.3550282	31	5950	BALF	3394936	12517	3363033
0	0	0	0	0	0	0	0	29903	0.573855623	1.970412873	196	1134	BALF	2350920.768	6738	2342554.768
28	1	29866	2	99.8763	175	56	75.7079	29903	0.999200584	399.693563	2	237619	BALF	30744098	486557	29418631
0	0	0	0	0	0	0	0	29903	0.197197562	0.276666225	98	161	BALF	4568647	14985	4463430
29	18	29030	36	97.0806	70	18	88.46	29903	0.998301919	1034.033435	4	617980	BALF	32643031	630821	31962607
171	32	27482	64	91.9038	86	0	34.087	29903	0.996226415	171.0322911	9	101571	BALF	5472406	156260	5230519
47	24	8097	48	27.0776	63	47	54.9013	29903	0.920006951	6.513322521	93	3591	BALF	77779025	1167133	76440050
41	37	26853	74	89.8004	66	0	95.8109	29903	0.994125149	37.89216199	11	22096	BALF	10026383	29664	9948075
22	5	29675	10	99.2375	190	56	86.6078	29903	0.996121823	78.7138475	4	29417	BALF	31341856	139928	30932246
0	0	0	0	0	0	0	0	29903	0.483976966	0.791521619	199	462	BALF	39203531	140753	38850253
0	0	0	0	0	0	0	0	29903	0.198494795	0.249817651	105	147	sputum	9902669	2676	9870948
35	24	8259	48	27.6193	49	21	68.5182	29903	0.953964783	6.492519277	81	3668	BALF	50699052	273323	49708344
0	0	0	0	0	0	0	0	29903	0.003410459	0.003410459	2	2	BALF	15702138	459738	15174616
0	0	0	0	0	0	0	0	29903	0.503778338	1.244590842	171	716	BALF	33208818	425843	32560524
1522	1	228	2	0.7625	0	0	0.047	29903	0.4473112	0.9784182	162	559	BALF	18158683	453896	17172480
60	34	27975	68	93.5525	87	0	44.4814	29903	0.995159782	112.2433126	12	66582	BALF	20890633	160283	20664480
0	0	0	0	0	0	0	0	29903	0.762199529	2.132443048	191	1246	BALF	22254511	42033	22005807
2907	39	26968	78	90.1849	67	0	2.0506	29903	0.993046597	27.36783067	11	15912	BALF	25494284	961907	23995884
0	0	0	0	0	0	0	0	29903	0.123050318	0.155841564	62	91	BALF	66689086	965970	65531445
112	3	675	6	2.2573	5	9	1.6628	29903	0.618670735	1.850449763	183	1046	BALF	61553999	515611	60334713
0	0	0	0	0	0	0	0	29903	0.001705343	0.003410687	1	2	BALF	31063979	320111	30691758
3	2	439	4	1.4681	0	0	64.3695	29903	0.466198191	0.833528531	176	483	BALF	48426879	152280	47841464
0	0	0	0	0	0	0	0	29903	0.121702977	0.21051056	63	123	BALF	25053841	836685	24174409
41	40	26407	80	88.3089	148	56	99.1562	29903	0.995814663	27.9628736	10	15561	BALF	32739826	121204	32298515
50	33	10872	66	36.3576	67	44	72.9053	29903	0.931068069	13.29671064	71	6920	BALF	53441903	525918	52668030
20	2	655	4	2.1904	4	9	5.8177	29903	0.494367598	1.786032928	163	963	BALF	27610115	300727	27251759
0	0	0	0	0	0	0	0	29903	0.696166603	1.339711698	214	784	BALF	21723655	239447	20960390
29	27	8707	54	29.1175	46	9	94.7682	29903	0.927228553	6.190432117	83	3473	BALF	27337210	148952	27125702
34	30	26723	60	89.3656	152	47	92.8171	29903	0.991561181	32.44320675	11	17573	BALF	27543279	413196	27016119
157	4	29733	8	99.4315	174	56	39.0518	29903	0.998380279	147.4608304	4	82534	BALF	44779951	829625	41853229
24	24	8241	48	27.5591	59	44	99.9149	29903	0.899570309	12.63192631	108	6259	BALF	22998172	288765	22666281
0	0	0	0	0	0	0	0	29903	0.025456003	0.025456003	15	15	nasopharyngeal	24601620	270017	23719919
189	1	279	2	0.933	3	0	0.4077	29903	0.587241247	1.611167902	184	919	BALF	35189099	529281	34455789
42	32	13757	64	46.0054	113	53	49.3852	29903	0.98024907	7.226952553	38	4051	BALF	30501515	168211	29663661
0	0	0	0	0	0	0	0	29903	0.730903928	1.932954725	187	1116	BALF	22963640	59164	22743402
0	0	0	0	0	0	0	0	29903	0.073814763	0.083516703	40	49	BALF	30621213	357780	30153891
390	37	27147	74	90.7835	83	0	13.6797	29903	0.994192589	47.11594727	10	27828	BALF	23555527	142476	23175398
19	13	3362	26	11.243	21	9	56.2018	29903	0.884183519	4.27591307	123	2449	BALF	27952174	300071	27531364
0	0	0	0	0	0	0	0	29903	0.197202241	0.257599364	106	151	sputum	22291037	319167	21863403
1	1	29820	2	99.7224	187	56	100	29903	0.999024526	561.981135	3	331862	BALF	27073230	588253	26400362
92	17	29214	34	97.6959	178	59	59.4421	29903	0.9963591	27.07195234	5	9961	BALF	37748330	403432	37230443
0	0	0	0	0	0	0	0	29903	0.06159952	0.082310566	34	48	BALF	49569901	1086524	48359968
44	40	24287	80	81.2193	181	70	93.9778	29903	0.990491827	74.13387409	19	34041	BALF	47979297	279153	47320746
0	0	0	0	0	0	0	0	29903	0.003410459	0.003410459	2	2	BALF	40292678	4677225	11122649
1	1	220	2	0.7357	0	0	100	29903	0.763168564	3.92156557	193	2264	BALF	11294954	5045	11259456
24	2	29860	4	99.8562	191	70	82.87	29903	0.998620121	507.5358948	4	294412	BALF	64231049	2330394	61580010
12	4	29487	8	98.6088	186	70	91.7807	29903	0.998501678	133.5270897	3	74396	BALF	18644322	317357	18118502
8	4	29795	8	99.6388	192	70	95.6807	29903	0.998258682	237.4516204	6	130110	BALF	33785120	282572	33326728
8	1	29813	2	99.699	195	70	93.1566	29903	0.998763519	874.8996186	3	512919	BALF	31256630	793273	30270181
0	0	0	0	0	0	0	0	29903	0.237816571	0.315016862	113	184	BALF	24621465	144202	24049284
0	0	0	0	0	0	0	0	29903	0.034595605	0.039237294	20	23	BALF	34557039	130625	34255192
18	7	1906	14	6.3739	15	9	34.9549	29903	0.751546616	2.573724625	171	1455	sputum	30366844	727633	29374846
0	0	0	0	0	0	0	0	29903	0.338097115	0.520172153	156	302	BALF	76006381	720320	75019234
11	3	774	6	2.5884	0	26	21.7379	29903	0.657179983	1.823756854	178	1029	BALF	19851092	453687	19239961
6	1	29816	2	99.7091	198	90	95.5103	29903	0.998288165	2935.198776	4	1742684	BALF	58735034	2227907	56107429
17	16	29111	32	97.3514	192	70	99.227	29903	0.997679205	50.43309104	5	28055	BALF	46185669	367623	45611119
108	1	29815	2	99.7057	204	70	49.82	29903	0.99954501	5598.293772	2	2227707	BALF	37661519	2564638	34734012
0	0	0	0	0	0	0	0	29903	0.033829816	0.039306706	18	23	BALF	46331408	1754364	44431969
103	39	20521	78	68.6252	161	41	47.0109	29903	0.990986316	7.775859714	21	4494	BALF	21082182	303531	20069635
0	0	0	0	0	0	0	0	29903	0.060877977	0.071919408	33	42	BALF	46881595	431793	46104012
0	0	0	0	0	0	0	0	29903	0.197045966	0.292654656	102	170	BALF	75316023	460288	74379815
153	5	29312	12	98.0236	196	70	40.7709	29903	0.991634066	138.8310964	7	78313	BALF	29159086	493565	23646117
38	35	26385	70	88.2353	182	70	96.7587	29903	0.994699428	21.00232829	12	11691	BALF	25384556	237655	24872613
6	6	29565	12	98.8697	199	70	99.9966	29903	0.99828437	170.9250713	4	97728	BALF	17654693	252738	17326842
2166	1	29592	2	98.96	196	44	2.7445	29903	0.998748372	1439.968405	4	859131	BALF	26897655	1899171	21319930
0	0	0	0	0	0	0	0	29903	0.038083784	0.038083784	15	15	BALF	41732114	227605	41162399
36	1	29827	2	99.7458	200	70	73.476	29903	0.998862015	1033.444103	4	615869	BALF	20669521	940155	19380403
0	0	0	0	0	0	0	0	29903	0.017075453	0.018779656	11	11	BALF	40395516	384571	39727142
14	14	28390	28	94.9403	45	14	99.8733	29903	0.998492522	1850.870899	5	1103638	BALF	50000001	1108036	48881069
0	0	0	0	0	0	0	0	29903	0.181368973	0.22932281	92	134	sputum	58143849	194362	57545522
0	0	0	0	0	0	0	0	29903	0.022151687	0.022151687	13	13	Lung	18545825	716612	11584016
0	0	0	0	0	0	0	0	29903	0.01022864	0.011933414	6	7	BALF	48899330	602131	48006486
0	0	0	0	0	0	0	0	29903	0.008491008	0.008491008	5	5	BALF	19578601	129742	19373944
0	0	0	0	0	0	0	0	29903	0.042565267	0.045970488	25	27	BALF	43272627	449060	42393606
0	0	0	0	0	0	0	0	29903	0.01022864	0.01022864	6	6	nasopharyngeal	13006737	341420	10045148
0	0	0	0	0	0	0	0	29903	0.022151687	0.022151687	13	13	BALF	34929095	259121	34191699
0	0	0	0	0	0	0	0	29903	0.022317252	0.027328612	13	16	BALF	12222669	246546	11938138
0	0	0	0	0	0	0	0	29903	0.001705343	0.001705343	1	1	BALF	53747764	318921	53188457
4	1	29821	2	99.7258	194	70	97.7504	29903	0.999135168	1895.437435	4	1127415	BALF	52598352	1273659	50994474
5548	7	2217	14	7.414	17	9	0.0994	29903	0.879306668	3.023364913	136	1739	BALF	12709355	1402551	5160047
27	5	29752	10	99.495	190	70	83.2959	29903	0.998777364	133.4717823	3	76655	BALF	65073574	893497	63438959
0	0	0	0	0	0	0	0	29903	0.001705343	0.001705343	1	1	BALF	48622364	119968	48146026
0	0	0	0	0	0	0	0	29903	0.027258151	0.035776323	16	21	BALF	35155121	124798	34786412
0	0	0	0	0	0	0	0	29903	0.001705343	0.001705343	1	1	BALF	23728224	244744	23424771
0	0	0	0	0	0	0	0	29903	0.050293686	0.052796689	29	31	BALF	23106580	190170	22576965
21	1	29862	2	99.8629	192	70	84.1906	29903	0.99914441	12067.26035	3	7208985	BALF	50040091	7737379	41740458
189	43	19160	86	64.0738	115	38	34.316	29903	0.965150134	8.205423051	43	3091	BALF	57588047	489482	56957813
25	8	29738	16	99.4482	195	72	76.741	29903	0.997367675	228.3775159	5	128537	BALF	41671840	973578	40240159
0	0	0	0	0	0	0	0	29903	0.036558494	0.041199252	19	24	sputum	51099271	970261	49670526
109	3	29778	6	99.582	201	70	38.9572	29903	0.998373834	268.6200499	5	155063	BALF	33016767	587334	32277583
3	1	29824	2	99.7358	200	70	65.3753	29903	0.998736813	2080.221775	4	1230798	BALF	21234086	1880691	19293984
