sample	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio
R3.Test77	1119	1	29833	2	99.7659	164	56	6.1241
R3.Test163	34	20	29224	40	97.7293	88	27	89.6654
R3.Test8	1940	24	7248	48	24.2384	5	0	0.9414
R3.Test100	50	16	4467	32	14.9383	26	9	23.4805
R3.Test155	141	4	29487	8	98.6088	186	70	44.1205
R3.Test50	11585	23	29071	46	97.2177	117	30	0.2597
R3.Test185	179	3	29818	10	99.7157	162	56	36.0518
R3.Test116	137	44	20893	88	69.8692	102	50	41.4277
R3.Test131	984	3	2439	6	8.1564	15	35	0.7433
R3.Test121	35	4	29738	8	99.4482	191	56	77.3231
R3.Test48	145	1	314	2	1.0501	2	0	0.7976
R3.Test161	194	1	29823	2	99.7325	170	56	23.0163
R3.Test79	259	1	29871	2	99.8930	136	59	28.7464
R3.Test102	76	28	28956	56	96.8331	166	56	52.0993
R3.Test122	815	1	29830	2	99.7559	142	59	7.4219
R3.Test123	10	1	29819	2	99.7191	200	70	62.7131
R3.Test180	23	1	29824	2	99.7358	155	56	44.9444
R3.Test60	1552	1	239	2	0.7993	0	0	0.0486
R3.Test172	262	14	28390	28	94.9403	45	14	24.0476
R3.Test30	8612	37	28146	74	94.1243	49	26	0.5258
R3.Test126	360	8	2323	16	7.7685	15	26	2.2178
R3.Test37	145	2	29852	8	99.8294	131	61	41.9242
R3.Test72	58	3	29818	6	99.7157	188	70	66.9679
R3.Test36	90	44	16019	88	53.5699	103	12	50.1277
R3.Test174	299	21	29092	42	97.2879	137	56	26.6638
R3.Test137	124	3	29817	6	99.7124	186	62	39.2408
R3.Test73	2085	2	29878	4	99.9164	155	56	2.7127
R3.Test95	19	15	29028	30	97.0739	74	0	96.2315
R3.Test54	126	1	29860	2	99.8562	169	56	46.0443
R3.Test138	739	4	2867	8	9.5877	17	35	1.2320
R3.Test24	1415	1	29860	2	99.8562	153	56	4.5633
R3.Test183	28	4	29809	8	99.6857	156	56	82.0264
R3.Test29	221	1	29812	2	99.6957	140	62	31.8710
R3.Test127	21	1	29859	2	99.8529	149	56	80.0188
R3.Test69	70	46	21087	92	70.5180	127	56	71.0571
R3.Test97	125	32	26279	64	87.8808	169	30	46.1495
R3.Test124	285	2	29860	4	99.8562	191	70	18.4770
R3.Test45	1662	1	29866	2	99.8763	175	56	4.2285
R3.Test26	1550	1	29845	2	99.8060	144	59	5.7181
R3.Test74	1451	24	28484	48	95.2547	64	0	5.6475
R3.Test57	168	1	391	2	1.3076	0	0	0.7808
R3.Test15	30	23	28575	46	95.5590	51	0	93.4720
R3.Test129	36	28	27744	56	92.7800	81	0	92.6250
R3.Test167	28	7	29738	14	99.4482	195	72	74.9087
R3.Test166	74	32	28132	64	94.0775	67	0	70.2776
R3.Test61	5851	5	29688	12	99.2810	198	70	1.2758
R3.Test27	108	6	29539	12	98.7827	114	27	45.8320
R3.Test38	11542	32	26778	64	89.5495	61	0	0.2403
R3.Test70	154	3	29775	6	99.5719	198	70	40.7450
R3.Test19	48	25	27885	50	93.2515	78	0	79.4156
R3.Test160	82	2	29813	4	99.6990	136	59	58.4991
R3.Test198	39	36	27542	72	92.1045	118	53	97.1535
R3.Test158	657	33	27629	66	92.3954	83	18	8.2308
R3.Test1	92	3	29721	6	99.3914	141	59	54.7114
