fragment	annotation	frquency	length	status
k141_306 flag=1 multi=127.0000 len=517	Rhodococcus qingshengii	25	517	Annotated
k141_1156 flag=1 multi=617.0000 len=3993	Rhodococcus qingshengii	24	3993	Annotated
k141_1453 flag=1 multi=216.0000 len=324	Rhodococcus qingshengii	25	324	Annotated
k141_311 flag=1 multi=486.0000 len=4336	Actinoplanes sp. SE50/110	2	4336	Target
k141_606 flag=1 multi=706.0000 len=5373	Rhodococcus qingshengii	27	5373	Annotated
k141_609 flag=1 multi=920.0000 len=918	Rhodococcus qingshengii	25	918	Annotated
k141_614 flag=1 multi=255.0000 len=401	Rhodococcus erythropolis	10	401	Annotated
k141_1892 flag=1 multi=708.0000 len=12098	Rhodococcus qingshengii	23	12098	Annotated
k141_274 flag=1 multi=231.0000 len=434	NA	NA	434	Unannotated
k141_280 flag=1 multi=240.0000 len=417	Variovorax sp. 278MFTsu5.1	1	417	Target
k141_287 flag=1 multi=96.3023 len=356	Cepola macrophthalma	7	356	Target
k141_1805 flag=1 multi=677.0000 len=4474	Rhodococcus qingshengii	25	4474	Annotated
k141_942 flag=1 multi=699.0000 len=13425	Rhodococcus qingshengii	25	13425	Annotated
k141_113 flag=1 multi=476.0000 len=420	Rhodococcus qingshengii	12	420	Annotated
k141_1127 flag=1 multi=334.0000 len=356	Rhodococcus qingshengii	24	356	Annotated
k141_2341 flag=1 multi=688.0000 len=7267	Rhodococcus qingshengii	25	7267	Annotated
k141_147 flag=1 multi=330.0000 len=334	Triticum dicoccoides	12	334	Annotated
k141_561 flag=1 multi=221.0000 len=327	Zea mays	6	327	Target
k141_1634 flag=1 multi=1830.0000 len=327	Rhodococcus qingshengii	6	327	Annotated
k141_1529 flag=1 multi=747.0000 len=6045	Rhodococcus qingshengii	22	6045	Annotated
k141_530 flag=1 multi=472.0000 len=443	Rhodococcus qingshengii	25	443	Annotated
k141_471 flag=1 multi=704.0000 len=1490	Rhodococcus qingshengii	25	1490	Annotated
k141_2309 flag=1 multi=380.0000 len=495	Rhodococcus qingshengii	25	495	Annotated
k141_2203 flag=1 multi=673.0000 len=2171	Rhodococcus qingshengii	26	2171	Annotated
k141_1090 flag=1 multi=216.0000 len=416	Rhodococcus qingshengii	20	416	Annotated
k141_1095 flag=1 multi=846.0000 len=5694	Rhodococcus qingshengii	25	5694	Annotated
k141_15 flag=1 multi=577.0000 len=1278	Rhodococcus qingshengii	18	1278	Annotated
k141_1821 flag=1 multi=478.0000 len=430	Rhodococcus qingshengii	26	430	Annotated
k141_25 flag=1 multi=754.0000 len=617	Rhodococcus qingshengii	25	617	Annotated
k141_1035 flag=1 multi=228.0000 len=528	Rhodococcus qingshengii	25	528	Annotated
k141_356 flag=1 multi=733.0000 len=15033	Rhodococcus qingshengii	26	15033	Annotated
k141_37 flag=1 multi=27.0000 len=372	Janibacter indicus	2	372	Target
k141_362 flag=1 multi=380.0000 len=1215	Rhodococcus qingshengii	15	1215	Annotated
k141_363 flag=1 multi=806.0000 len=4514	Rhodococcus qingshengii	24	4514	Annotated
k141_1353 flag=1 multi=592.0000 len=1366	Rhodococcus erythropolis	6	1366	Annotated
k141_1579 flag=1 multi=669.0000 len=6195	Rhodococcus qingshengii	25	6195	Annotated
k141_1759 flag=1 multi=122.0000 len=335	Prescottella equi	26	335	Target
k141_194 flag=1 multi=264.0000 len=428	Rhodococcus qingshengii	25	428	Annotated
k141_866 flag=1 multi=838.0000 len=870	Rhodococcus qingshengii	26	870	Annotated
k141_1763 flag=1 multi=384.0000 len=318	Rhodococcus qingshengii	25	318	Annotated
k141_1311 flag=1 multi=114.0000 len=401	Rhodococcus qingshengii	25	401	Annotated
k141_869 flag=1 multi=275.0000 len=1241	Rhodococcus qingshengii	25	1241	Annotated
k141_584 flag=1 multi=618.0000 len=452	Rhodococcus qingshengii	25	452	Annotated
k141_650 flag=1 multi=118.0000 len=333	NA	NA	333	Unannotated
k141_394 flag=1 multi=720.0000 len=1462	Rhodococcus qingshengii	25	1462	Annotated
k141_1361 flag=1 multi=193.0000 len=315	Novosphingobium sp.	2	315	Annotated
k141_1701 flag=1 multi=678.0000 len=4920	Rhodococcus qingshengii	25	4920	Annotated
k141_2244 flag=1 multi=513.0000 len=718	Rhodococcus qingshengii	25	718	Annotated
k141_846 flag=1 multi=284.0000 len=2382	Rhodococcus qingshengii	28	2382	Annotated
k141_2087 flag=1 multi=212.0000 len=310	Sphingobacterium multivorum	5	310	Target
k141_2093 flag=1 multi=624.0000 len=3183	Rhodococcus qingshengii	26	3183	Annotated
k141_497 flag=1 multi=93.0000 len=312	Acetobacteraceae bacterium	2	312	Target
k141_380 flag=1 multi=551.0000 len=317	Lichina confinis	2	317	Target
k141_1049 flag=1 multi=236.0000 len=315	Rhodococcus qingshengii	25	315	Annotated
k141_1052 flag=1 multi=115.0000 len=351	Escherichia coli	96	351	Target
k141_2040 flag=1 multi=191.0000 len=934	Rhodococcus qingshengii	15	934	Annotated
k141_1380 flag=1 multi=705.0000 len=8630	Rhodococcus qingshengii	25	8630	Annotated
k141_2047 flag=1 multi=635.0000 len=326	Rhodococcus qingshengii	25	326	Annotated
k141_1383 flag=1 multi=778.0000 len=411	Rhodococcus qingshengii	21	411	Annotated
k141_475 flag=1 multi=530.0000 len=362	Rhodococcus qingshengii	28	362	Annotated
k141_1898 flag=1 multi=281.0000 len=371	Sphingomonas sp. MM-1	2	371	Target
k141_1905 flag=1 multi=284.0000 len=339	Rhodococcus qingshengii	15	339	Annotated
k141_1909 flag=1 multi=638.0000 len=376	Rhodococcus qingshengii	25	376	Annotated
k141_2181 flag=1 multi=251.0000 len=477	Rhodococcus qingshengii	25	477	Annotated
k141_537 flag=1 multi=683.0000 len=349	Ogataea corticis	1	349	Target
k141_1808 flag=1 multi=120.0000 len=431	NA	NA	431	Unannotated
k141_2141 flag=1 multi=683.0000 len=667	Rhodococcus qingshengii	10	667	Annotated
k141_681 flag=1 multi=246.0000 len=515	Rhodococcus qingshengii	25	515	Annotated
k141_325 flag=1 multi=481.0000 len=325	Rhodococcus qingshengii	7	325	Annotated
k141_652 flag=1 multi=381.0000 len=367	Prescottella equi	25	367	Target
k141_1651 flag=1 multi=520.0000 len=2678	Rhodococcus qingshengii	26	2678	Annotated
k141_1741 flag=1 multi=361.0000 len=619	Rhodococcus qingshengii	25	619	Annotated
k141_850 flag=1 multi=696.0000 len=7210	Rhodococcus qingshengii	25	7210	Annotated
k141_1827 flag=1 multi=697.0000 len=13061	Rhodococcus qingshengii	25	13061	Annotated
k141_871 flag=1 multi=590.0000 len=3267	Rhodococcus qingshengii	25	3267	Annotated
k141_1439 flag=1 multi=324.0000 len=806	Rhodococcus qingshengii	24	806	Annotated
k141_2270 flag=1 multi=650.0000 len=8135	Rhodococcus qingshengii	25	8135	Annotated
k141_1770 flag=1 multi=639.0000 len=372	Rhodococcus qingshengii	25	372	Annotated
k141_1319 flag=1 multi=417.0000 len=501	Rhodococcus qingshengii	25	501	Annotated
k141_1107 flag=1 multi=652.0000 len=2539	Rhodococcus qingshengii	25	2539	Annotated
k141_1326 flag=1 multi=699.0000 len=4114	Rhodococcus qingshengii	25	4114	Annotated
k141_946 flag=1 multi=683.0000 len=9352	Rhodococcus ruber	5	9352	Annotated
k141_450 flag=1 multi=270.0000 len=318	Knufia obscura	1	318	Target
k141_956 flag=1 multi=595.0000 len=1463	Rhodococcus qingshengii	25	1463	Annotated
k141_434 flag=1 multi=271.0000 len=396	NA	NA	396	Unannotated
k141_959 flag=1 multi=135.0000 len=550	Rhodococcus qingshengii	25	550	Annotated
k141_1393 flag=1 multi=327.0000 len=3161	Rhodococcus qingshengii	25	3161	Annotated
k141_1280 flag=1 multi=479.0000 len=3515	Rhodococcus qingshengii	25	3515	Annotated
k141_1285 flag=1 multi=26.0000 len=307	Stutzerimonas stutzeri	25	307	Target
k141_754 flag=1 multi=630.0000 len=1471	Mycobacterium avium subsp. hominissuis	22	1471	Target
k141_1815 flag=1 multi=656.0000 len=5779	Rhodococcus qingshengii	25	5779	Annotated
k141_1295 flag=1 multi=265.0000 len=4760	Rhodococcus qingshengii	23	4760	Annotated
k141_210 flag=1 multi=253.0000 len=464	Rhodococcus qingshengii	25	464	Annotated
k141_590 flag=1 multi=720.0000 len=14121	Rhodococcus qingshengii	25	14121	Annotated
k141_550 flag=1 multi=676.0000 len=2516	Rhodococcus qingshengii	25	2516	Annotated
k141_248 flag=1 multi=177.0000 len=394	Rhodococcus qingshengii	25	394	Annotated
k141_2184 flag=1 multi=629.0000 len=3305	Rhodococcus qingshengii	25	3305	Annotated
k141_1835 flag=1 multi=65.0000 len=329	NA	NA	329	Unannotated
k141_220 flag=1 multi=185.0000 len=819	Rhodococcus qingshengii	25	819	Annotated
k141_225 flag=1 multi=245.0000 len=810	Prescottella equi	25	810	Target
k141_2273 flag=1 multi=749.0000 len=5596	Rhodococcus qingshengii	25	5596	Annotated
k141_1946 flag=1 multi=110.0000 len=346	Nocardia cyriacigeorgica	5	346	Target
k141_2247 flag=1 multi=198.0000 len=527	Rhodococcus qingshengii	25	527	Annotated
k141_2317 flag=1 multi=176.0000 len=380	Rhodococcus qingshengii	25	380	Annotated
k141_1952 flag=1 multi=677.0000 len=3736	Rhodococcus qingshengii	25	3736	Annotated
k141_1837 flag=1 multi=61.0000 len=317	Novosphingobium sp.	1	317	Annotated
k141_1844 flag=1 multi=691.0000 len=1214	Rhodococcus qingshengii	22	1214	Annotated
k141_1138 flag=1 multi=531.0000 len=877	Rhodococcus qingshengii	17	877	Annotated
k141_2228 flag=1 multi=750.0000 len=372	Rhodococcus qingshengii	7	372	Annotated
k141_634 flag=1 multi=675.0000 len=12103	Rhodococcus qingshengii	25	12103	Annotated
k141_1238 flag=1 multi=645.0000 len=5473	Rhodococcus qingshengii	25	5473	Annotated
k141_408 flag=1 multi=692.0000 len=3790	Rhodococcus qingshengii	25	3790	Annotated
k141_410 flag=1 multi=731.0000 len=13902	Rhodococcus qingshengii	25	13902	Annotated
k141_965 flag=1 multi=247.0000 len=1169	Rhodococcus qingshengii	25	1169	Annotated
k141_2322 flag=1 multi=701.0000 len=12541	Rhodococcus qingshengii	25	12541	Annotated
k141_2323 flag=1 multi=688.0000 len=10289	Rhodococcus qingshengii	25	10289	Annotated
k141_1925 flag=1 multi=366.0000 len=2374	Rhodococcus qingshengii	24	2374	Annotated
k141_766 flag=1 multi=922.0000 len=1224	Rhodococcus qingshengii	24	1224	Annotated
k141_2220 flag=1 multi=784.0000 len=364	Streptococcus pneumoniae	91	364	Target
k141_259 flag=1 multi=264.0000 len=1353	Rhodococcus qingshengii	25	1353	Annotated
k141_694 flag=1 multi=287.0000 len=317	Rhodococcus qingshengii	9	317	Annotated
k141_1185 flag=1 multi=737.0000 len=2410	Rhodococcus qingshengii	25	2410	Annotated
k141_1961 flag=1 multi=624.0000 len=5687	Prescottella equi	26	5687	Target
k141_660 flag=1 multi=289.0000 len=1569	Rhodococcus qingshengii	27	1569	Annotated
k141_2028 flag=1 multi=70.0000 len=321	Rhodococcus qingshengii	25	321	Annotated
k141_880 flag=1 multi=637.0000 len=4179	Rhodococcus qingshengii	25	4179	Annotated
k141_1853 flag=1 multi=699.0000 len=32753	Rhodococcus qingshengii	25	32753	Annotated
k141_1619 flag=1 multi=661.0000 len=9650	Rhodococcus qingshengii	25	9650	Annotated
k141_1626 flag=1 multi=1493.0000 len=384	Rhodococcus qingshengii	21	384	Annotated
k141_2354 flag=1 multi=680.0000 len=36426	Rhodococcus qingshengii	27	36426	Annotated
k141_2233 flag=1 multi=662.0000 len=17751	Prescottella equi	26	17751	Target
k141_1484 flag=1 multi=353.0000 len=2947	Rhodococcus qingshengii	25	2947	Annotated
k141_2097 flag=1 multi=167.0000 len=455	Alphaproteobacteria bacterium	4	455	Target
k141_517 flag=1 multi=342.0000 len=5129	Rhodococcus qingshengii	25	5129	Annotated
k141_1963 flag=1 multi=320.0000 len=576	Rhodococcus qingshengii	26	576	Annotated
k141_2284 flag=1 multi=663.0000 len=2952	Rhodococcus qingshengii	26	2952	Annotated
k141_815 flag=1 multi=172.0000 len=385	Acetobacteraceae bacterium	2	385	Target
k141_1250 flag=1 multi=63.0000 len=383	Pararoseomonas sp. SCSIO 73927	1	383	Target
k141_1258 flag=1 multi=734.0000 len=397	Rhodococcus qingshengii	20	397	Annotated
k141_2296 flag=1 multi=412.0000 len=428	Rhodococcus qingshengii	10	428	Annotated
k141_2357 flag=1 multi=486.0000 len=12393	Rhodococcus qingshengii	25	12393	Annotated
k141_2359 flag=1 multi=688.0000 len=13955	Rhodococcus qingshengii	25	13955	Annotated
k141_2075 flag=1 multi=382.0000 len=21532	Rhodococcus qingshengii	5	21532	Annotated
k141_2110 flag=1 multi=398.0000 len=512	Rhodococcus qingshengii	26	512	Annotated
k141_717 flag=1 multi=261.0000 len=369	Rhodococcus qingshengii	25	369	Annotated
k141_721 flag=1 multi=662.0000 len=493	Rhodococcus qingshengii	23	493	Annotated
k141_158 flag=1 multi=364.0000 len=394	Ralstonia pseudosolanacearum	78	394	Target
k141_164 flag=1 multi=106.0000 len=325	Rhodococcus qingshengii	25	325	Annotated
k141_170 flag=1 multi=137.0000 len=324	Rhodococcus qingshengii	25	324	Annotated
k141_1536 flag=1 multi=675.0000 len=23345	Rhodococcus qingshengii	25	23345	Annotated
k141_707 flag=1 multi=719.0000 len=5669	Rhodococcus qingshengii	25	5669	Annotated
k141_1499 flag=1 multi=712.0000 len=10774	Rhodococcus qingshengii	25	10774	Annotated
k141_1505 flag=1 multi=857.0000 len=341	Rhodococcus qingshengii	25	341	Annotated
k141_39 flag=1 multi=357.0000 len=1447	Rhodococcus qingshengii	12	1447	Annotated
k141_82 flag=1 multi=347.0000 len=801	Rhodococcus qingshengii	25	801	Annotated
k141_83 flag=1 multi=678.0000 len=7227	Rhodococcus qingshengii	25	7227	Annotated
k141_91 flag=1 multi=371.0000 len=591	Rhodococcus qingshengii	25	591	Annotated
k141_413 flag=1 multi=1063.8101 len=615	NA	NA	615	Unannotated
k141_1499 flag=1 multi=712.0000 len=10774	Rhodococcus qingshengii	25	10774	Annotated
k141_1505 flag=1 multi=857.0000 len=341	Rhodococcus qingshengii	25	341	Annotated
k141_39 flag=1 multi=357.0000 len=1447	Rhodococcus qingshengii	12	1447	Annotated
k141_82 flag=1 multi=347.0000 len=801	Rhodococcus qingshengii	25	801	Annotated
k141_83 flag=1 multi=678.0000 len=7227	Rhodococcus qingshengii	25	7227	Annotated
k141_91 flag=1 multi=371.0000 len=591	Rhodococcus qingshengii	25	591	Annotated
k141_413 flag=1 multi=1063.8101 len=615	NA	NA	615	Unannotated
k141_54 flag=1 multi=648.0000 len=4063	Rhodococcus qingshengii	30	4063	Annotated
k141_896 flag=1 multi=70.0000 len=309	Triticum aestivum	6	309	Target
k141_424 flag=1 multi=255.2637 len=323	NA	NA	323	Unannotated
k141_2301 flag=1 multi=474.0000 len=520	Rhodococcus globerulus	2	520	Annotated
k141_1511 flag=1 multi=244.0000 len=337	Rhodococcus qingshengii	25	337	Annotated
k141_1598 flag=1 multi=752.0000 len=1730	Prescottella equi	26	1730	Target
k141_1375 flag=1 multi=285.0000 len=6954	Rhodococcus qingshengii	25	6954	Annotated
k141_1541 flag=1 multi=211.0000 len=470	Rhodococcus qingshengii	24	470	Annotated
k141_1546 flag=1 multi=237.0000 len=384	Rhodococcus qingshengii	24	384	Annotated
k141_1080 flag=1 multi=124.0000 len=333	Rhodococcus qingshengii	25	333	Annotated
k141_744 flag=1 multi=678.0000 len=13621	Rhodococcus qingshengii	25	13621	Annotated
k141_1009 flag=1 multi=252.0000 len=500	Agrobacterium tumefaciens	57	500	Target
k141_524 flag=1 multi=56.0000 len=361	Pedobacter panaciterrae	2	361	Target
k141_340 flag=1 multi=32.1129 len=327	NA	NA	327	Unannotated
k141_671 flag=1 multi=653.0000 len=4725	Rhodococcus qingshengii	25	4725	Annotated
k141_836 flag=1 multi=364.0000 len=423	Rhodococcus qingshengii	25	423	Annotated
k141_1016 flag=1 multi=78.0000 len=361	uncultured Desulfobacter sp.	1	361	Target
k141_1119 flag=1 multi=626.0000 len=2924	Rhodococcus qingshengii	25	2924	Annotated
k141_2262 flag=1 multi=687.0000 len=21129	Rhodococcus qingshengii	25	21129	Annotated
k141_64 flag=1 multi=1047.0000 len=2201	Rhodococcus qingshengii	10	2201	Annotated
k141_857 flag=1 multi=288.0000 len=655	Rhodococcus qingshengii	21	655	Annotated
k141_859 flag=1 multi=635.0000 len=7136	Rhodococcus qingshengii	25	7136	Annotated
k141_2124 flag=1 multi=490.0000 len=488	Rhodococcus qingshengii	8	488	Annotated
k141_728 flag=1 multi=23.0000 len=358	Roseomonas mucosa	19	358	Target
k141_101 flag=1 multi=372.0000 len=2669	Rhodococcus qingshengii	19	2669	Annotated
k141_189 flag=1 multi=714.0000 len=16135	Rhodococcus qingshengii	25	16135	Annotated
k141_1746 flag=1 multi=315.0000 len=1910	Rhodococcus qingshengii	25	1910	Annotated
k141_1210 flag=1 multi=489.0000 len=563	Rhodococcus qingshengii	24	563	Annotated
k141_2302 flag=1 multi=697.0000 len=14552	Rhodococcus qingshengii	25	14552	Annotated
k141_1212 flag=1 multi=552.0000 len=317	Metschnikowia hamakuensis	3	317	Target
k141_1347 flag=1 multi=1008.0000 len=3247	Prescottella equi	15	3247	Target
k141_1561 flag=1 multi=457.0000 len=19312	Rhodococcus qingshengii	25	19312	Annotated
k141_56 flag=1 multi=249.0000 len=617	Rhodococcus qingshengii	25	617	Annotated
k141_62 flag=1 multi=645.0000 len=1666	Rhodococcus qingshengii	25	1666	Annotated
k141_2158 flag=1 multi=430.0000 len=493	Meyerozyma guilliermondii	4	493	Target
k141_824 flag=1 multi=1133.0000 len=3734	Rhodococcus qingshengii	29	3734	Annotated
k141_125 flag=1 multi=251.0000 len=646	Rhodococcus qingshengii	25	646	Annotated
k141_128 flag=1 multi=652.0000 len=3649	Prescottella equi	26	3649	Target
k141_1935 flag=1 multi=255.0000 len=598	Rhodococcus qingshengii	25	598	Annotated
k141_596 flag=1 multi=308.0000 len=408	Rhodococcus qingshengii	25	408	Annotated
k141_136 flag=1 multi=695.0000 len=2396	Rhodococcus qingshengii	25	2396	Annotated
k141_1349 flag=1 multi=133.0000 len=301	Rhodococcus qingshengii	25	301	Annotated
k141_1268 flag=1 multi=638.0000 len=2541	Rhodococcus qingshengii	25	2541	Annotated
k141_1269 flag=1 multi=566.0000 len=9503	Rhodococcus qingshengii	27	9503	Annotated
k141_1637 flag=1 multi=706.0000 len=10254	Rhodococcus qingshengii	25	10254	Annotated
k141_1425 flag=1 multi=84.0000 len=408	Variovorax paradoxus	12	408	Target
k141_1087 flag=1 multi=71.0000 len=328	Paracidovorax citrulli	14	328	Target
k141_1726 flag=1 multi=233.0000 len=542	Rhodococcus qingshengii	25	542	Annotated
k141_1215 flag=1 multi=709.0000 len=8014	Rhodococcus qingshengii	25	8014	Annotated
k141_570 flag=1 multi=275.0000 len=325	NA	NA	325	Unannotated
k141_989 flag=1 multi=83.0000 len=304	Bradyrhizobium japonicum	16	304	Target
k141_1158 flag=1 multi=712.0000 len=7509	Rhodococcus qingshengii	25	7509	Annotated
k141_303 flag=1 multi=703.0000 len=23634	Rhodococcus qingshengii	25	23634	Annotated
k141_307 flag=1 multi=218.0000 len=345	Rhodococcus qingshengii	25	345	Annotated
k141_67 flag=1 multi=699.0000 len=17691	Rhodococcus qingshengii	25	17691	Annotated
k141_1157 flag=1 multi=378.0000 len=331	Rhodococcus globerulus	2	331	Annotated
k141_233 flag=1 multi=169.0000 len=1124	Rhodococcus qingshengii	25	1124	Annotated
k141_2131 flag=1 multi=772.0000 len=2309	Rhodococcus qingshengii	25	2309	Annotated
k141_312 flag=1 multi=255.0000 len=335	NA	NA	335	Unannotated
k141_2135 flag=1 multi=614.0000 len=1816	Rhodococcus qingshengii	25	1816	Annotated
k141_1435 flag=1 multi=256.0000 len=388	Rhodococcus qingshengii	17	388	Annotated
k141_610 flag=1 multi=1440.0000 len=478	Escherichia coli	94	478	Target
k141_615 flag=1 multi=263.0000 len=478	Rhodococcus qingshengii	24	478	Annotated
k141_268 flag=1 multi=445.0000 len=1153	Rhodococcus qingshengii	25	1153	Annotated
k141_1064 flag=1 multi=633.0000 len=4402	Rhodococcus ruber	6	4402	Annotated
k141_1893 flag=1 multi=683.0000 len=10378	Rhodococcus qingshengii	25	10378	Annotated
k141_281 flag=1 multi=277.0000 len=317	Rhizobium leguminosarum	17	317	Target
k141_1804 flag=1 multi=1019.0000 len=403	Rhodococcus qingshengii	23	403	Annotated
k141_1684 flag=1 multi=281.0000 len=396	Rhodococcus qingshengii	25	396	Annotated
k141_1023 flag=1 multi=491.0000 len=1202	Rhodococcus qingshengii	25	1202	Annotated
k141_943 flag=1 multi=145.0000 len=312	Brevundimonas diminuta	14	312	Target
k141_458 flag=1 multi=692.0000 len=20361	Rhodococcus qingshengii	25	20361	Annotated
k141_459 flag=1 multi=252.0000 len=609	Rhodococcus qingshengii	25	609	Annotated
k141_1217 flag=1 multi=647.0000 len=6512	Rhodococcus qingshengii	26	6512	Annotated
k141_466 flag=1 multi=559.0000 len=607	NA	NA	607	Unannotated
k141_229 flag=1 multi=520.0000 len=448	Rhodococcus qingshengii	25	448	Annotated
k141_148 flag=1 multi=481.0000 len=303	NA	NA	303	Unannotated
k141_562 flag=1 multi=24.0000 len=393	Acetobacteraceae bacterium	7	393	Target
k141_1527 flag=1 multi=631.0000 len=608	Rhodococcus qingshengii	7	608	Annotated
k141_1530 flag=1 multi=212.0000 len=329	Rhodococcus qingshengii	25	329	Annotated
k141_2238 flag=1 multi=685.0000 len=30062	Rhodococcus qingshengii	25	30062	Annotated
k141_732 flag=1 multi=104.0000 len=307	Rhodococcus qingshengii	25	307	Annotated
k141_531 flag=1 multi=832.0000 len=2821	Rhodococcus qingshengii	25	2821	Annotated
k141_1965 flag=1 multi=1026.0000 len=5481	Rhodococcus qingshengii	22	5481	Annotated
k141_1971 flag=1 multi=273.0000 len=2059	Rhodococcus qingshengii	20	2059	Annotated
k141_904 flag=1 multi=693.0000 len=2208	Rhodococcus qingshengii	25	2208	Annotated
k141_1091 flag=1 multi=152.0000 len=331	NA	NA	331	Unannotated
k141_1096 flag=1 multi=164.0000 len=328	Rhodococcus qingshengii	25	328	Annotated
k141_10 flag=1 multi=150.0000 len=801	Rhodococcus qingshengii	25	801	Annotated
k141_16 flag=1 multi=118.0000 len=312	Limnobacter profundi	1	312	Target
k141_1098 flag=1 multi=696.0000 len=6988	Rhodococcus qingshengii	25	6988	Annotated
k141_1031 flag=1 multi=899.0000 len=3629	Rhodococcus qingshengii	29	3629	Annotated
k141_1036 flag=1 multi=852.0000 len=1663	Rhodococcus qingshengii	25	1663	Annotated
k141_1068 flag=1 multi=544.0000 len=844	Rhodococcus qingshengii	27	844	Annotated
k141_501 flag=1 multi=614.0000 len=3268	Rhodococcus qingshengii	25	3268	Annotated
k141_1223 flag=1 multi=336.0000 len=5774	Rhodococcus qingshengii	29	5774	Annotated
