query	subject	cov	similarity
NC_001468.1	NC_055127.1	99.118943	91.323641
NC_001469.1	NC_001339.1	78.664114	81.886504
NC_001471.1	NC_001462.1	67.716535	73.988000
NC_001472.1	NC_038307.1	100.000000	80.871000
NC_001474.2	NC_001475.2	94.376574	71.182091
NC_001475.2	NC_001477.1	100.000000	72.680000
NC_001477.1	NC_001475.2	100.000000	72.680000
NC_001478.1	NC_001647.1	74.527953	67.945392
NC_001479.1	NC_075977.1	48.972559	67.000208
NC_001480.1	NC_077008.1	96.066972	71.049891
NC_001481.2	NC_075569.1	100.000000	79.576000
NC_001482.1	NC_038669.1	46.136795	70.347300
NC_001483.1	NC_040644.1	64.005853	68.944031
NC_001484.1	NC_004107.1	99.788584	83.871645
NC_001486.1	NC_005950.1	99.438388	78.123000
NC_001488.1	NC_001815.1	97.698838	74.938000
NC_001489.1	NC_038315.1	84.461086	70.805675
NC_001490.1	NC_038312.1	99.889074	79.019000
NC_001491.2	NC_075566.1	99.496752	90.500751
NC_001492.1	NC_003534.1	68.721533	69.309429
NC_001493.2	NC_036579.1	35.680122	68.654077
NC_001494.1	NC_007015.1	98.834093	89.352000
NC_001495.1	NC_022250.1	21.075741	66.617063
NC_001497.2	NC_018858.1	74.015454	72.651489
NC_001498.1	NC_006296.2	88.914056	72.077985
NC_001499.1	NC_001501.1	43.586698	99.124211
NC_001500.1	NC_007815.2	99.952351	86.305350
NC_001501.1	NC_001362.1	100.000000	86.831568
NC_001502.1	NC_001501.1	80.078862	95.908895
NC_001503.1	NC_031326.1	11.834185	69.094295
NC_001504.1	NC_004995.1	35.091421	68.796786
NC_001505.2	NC_074971.1	99.873790	96.219317
NC_001506.1	NC_038858.1	100.000000	99.947858
NC_001507.1	NC_028140.1	99.806801	78.790924
NC_001508.1	NC_010950.1	74.960128	75.729671
NC_001510.1	NC_038545.1	87.259662	75.104499
NC_001511.1	NC_001452.1	99.546240	80.857000
NC_001512.1	NC_075006.1	100.000000	96.359000
NC_001513.1	NC_011537.1	86.990823	69.739444
NC_001514.1	NC_027117.1	83.938532	71.888635
NC_001515.2	NC_055595.1	88.675334	70.391095
NC_001517.1	NC_020105.1	83.215768	70.741979
NC_001522.1	NC_030795.1	99.911894	87.240000
NC_001523.1	NC_001524.1	76.725579	70.779202
NC_001524.1	NC_001523.1	79.110562	70.788470
NC_001526.4	NC_001587.1	70.351632	69.869598
NC_001531.1	NC_015692.1	84.456494	73.027547
NC_001538.1	NC_025896.1	99.087910	80.494000
NC_001539.1	NC_001510.1	76.066128	69.794237
NC_001540.1	NC_038895.1	100.000000	98.478000
NC_001541.1	NC_002232.1	56.863244	67.461962
NC_001542.1	NC_009528.2	94.552464	72.878757
NC_001543.1	NC_011704.1	99.932769	78.425000
NC_001544.1	NC_075016.1	99.982843	95.599298
NC_001545.2	NC_076948.1	100.000000	91.723000
NC_001546.1	NC_018451.1	100.000000	81.230000
NC_001547.1	NC_016961.1	94.360420	73.364854
NC_001549.1	NC_001722.1	50.483217	68.932985
NC_001550.1	NC_014474.1	98.679444	78.385205
NC_001552.1	NC_075392.1	100.000000	88.808000
NC_001553.1	NC_001464.1	100.000000	78.723000
NC_001554.1	NC_001339.1	99.979062	87.404000
NC_001555.1	NC_026615.1	56.298715	67.969062
NC_001556.1	NC_002692.1	95.531078	67.397000
NC_001557.1	NC_038701.1	61.662631	70.214082
NC_001558.1	NC_001553.1	95.833333	75.272000
NC_001560.1	NC_038236.1	100.000000	97.662000
NC_001563.2	NC_009942.1	100.000000	79.395000
NC_001564.2	NC_005064.1	79.133121	70.574277
NC_001574.1	NC_076048.1	99.608993	78.758980
NC_001575.2	NC_011536.1	26.882445	68.523159
NC_001576.1	NC_040827.1	64.970325	69.650514
NC_001583.1	NC_038889.1	83.182686	67.746089
NC_001586.1	NC_040727.1	56.764226	66.646185
NC_001587.1	NC_001526.4	72.549527	69.993238
NC_001591.1	NC_001596.1	83.386243	68.041090
NC_001593.1	NC_038889.1	99.987271	81.640000
NC_001595.1	NC_001355.1	77.089822	67.382839
NC_001596.1	NC_001591.1	84.638149	68.049011
NC_001598.1	NC_022978.1	73.404393	71.964512
NC_001600.1	NC_003821.3	78.767632	69.944919
NC_001604.1	NC_048079.1	93.249368	88.366653
NC_001605.1	NC_028492.1	72.941330	68.743529
NC_001608.4	NC_024781.1	100.000000	79.336000
NC_001609.1	NC_005857.1	1.574329	77.174230
NC_001611.1	NC_066642.1	99.192792	94.997417
NC_001612.1	NC_030454.1	98.934305	77.821000
NC_001615.3	NC_076430.1	29.169096	65.682046
NC_001616.1	NC_034208.1	88.458368	70.366000
NC_001617.1	NC_038311.1	99.566555	71.975000
NC_001618.1	NC_001408.1	54.611497	88.850021
NC_001619.1	NC_013237.1	64.098989	68.445773
NC_001623.1	NC_004323.1	99.048501	94.643607
NC_001625.2	NC_002568.2	66.491772	67.586513
NC_001628.1	NC_055056.1	19.230769	67.909081
NC_001629.1	NC_031071.1	98.035594	90.554117
NC_001632.1	NC_040586.1	23.793555	67.552407
NC_001633.1	NC_055577.1	1.222250	81.633000
NC_001634.1	NC_030205.1	21.005628	66.996645
NC_001639.1	NC_032987.1	17.519853	66.743064
NC_001641.1	NC_033468.1	1.646804	76.316000
NC_001642.1	NC_001483.1	40.716305	66.724300
NC_001647.1	NC_010797.1	89.685767	71.714426
NC_001648.1	NC_015328.1	69.886015	72.347844
NC_001650.2	NC_026421.1	61.175240	76.396223
NC_001651.1	NC_004359.1	36.190476	71.053000
NC_001652.1	NC_005093.1	89.830204	73.633976
NC_001653.2	NC_059681.1	97.621879	89.260000
NC_001654.1	NC_001413.1	69.451630	68.871323
NC_001655.1	NC_038426.1	97.244388	99.541000
NC_001658.1	NC_003849.1	45.012547	66.523920
NC_001659.2	NC_044942.1	99.637862	99.564951
NC_001661.1	NC_008366.1	8.069030	69.073866
NC_001662.1	NC_025825.1	98.812747	85.321284
NC_001663.2	NC_055558.1	94.638868	77.805298
NC_001664.4	NC_000898.1	99.203152	91.515298
NC_001669.1	NC_025892.1	86.515354	75.132745
NC_001671.1	NC_025821.1	39.087062	67.103714
NC_001672.1	NC_003690.1	97.809891	74.862753
NC_001676.1	NC_040709.1	77.355329	70.572302
NC_001678.1	NC_017716.1	94.033383	75.143589
NC_001690.1	NC_014954.1	91.985915	68.777000
NC_001691.1	NC_001690.1	84.674276	68.490577
NC_001693.1	NC_033781.1	76.343498	67.293536
NC_001694.1	NC_004104.1	78.107398	68.678731
NC_001696.2	NC_004346.1	36.807665	71.830417
NC_001697.1	NC_003315.1	87.494978	93.934638
NC_001699.1	NC_007611.1	96.491228	75.730000
NC_001701.1	NC_006147.2	100.000000	81.979752
NC_001702.1	NC_007815.2	99.987707	93.335000
NC_001706.1	NC_054993.1	97.343496	89.129545
NC_001710.1	NC_024377.1	64.799830	68.131592
NC_001716.2	NC_030200.1	74.336948	71.629736
NC_001718.1	NC_001539.1	70.325123	70.663097
NC_001720.1	AC_000014.1	100.000000	100.000000
NC_001721.1	NC_006939.1	76.047580	84.550192
NC_001722.1	NC_001549.1	46.838498	68.938956
NC_001724.1	NC_043195.1	0.626871	77.941000
NC_001725.1	NC_077108.1	33.836973	66.948746
NC_001726.1	NC_011515.1	48.345632	68.319754
NC_001728.1	NC_010944.1	78.906014	65.791356
NC_001729.1	NC_006260.1	100.000000	82.638000
NC_001730.1	NC_001330.1	100.000000	89.417000
NC_001731.1	NC_022563.1	37.260167	72.819765
NC_001734.1	AC_000003.1	100.000000	100.000000
NC_001739.2	NC_003138.2	14.600147	69.971283
NC_001741.1	NC_007461.1	20.791470	68.731817
NC_001746.1	NC_009532.1	83.448601	69.106185
NC_001747.1	NC_034265.1	100.000000	86.879000
NC_001748.1	NC_030746.1	82.211538	68.861057
NC_001749.2	NC_030657.1	55.257891	70.233090
NC_001753.1	NC_016003.1	43.692088	66.055084
NC_001768.1	NC_018667.1	63.546174	65.724369
NC_001777.1	NC_029900.1	85.477742	78.627548
NC_001780.1	NC_005286.1	39.468935	64.615726
NC_001781.1	NC_038235.1	100.000000	81.172000
NC_001782.1	NC_028095.1	8.661855	76.282000
NC_001785.1	NC_023175.1	82.568274	72.108819
NC_001786.1	NC_006558.1	58.739554	68.728706
NC_001789.1	NC_011051.1	58.433192	69.085453
NC_001792.2	NC_013774.1	99.544937	86.376000
NC_001793.1	NC_031692.1	75.848825	73.981317
NC_001796.2	NC_038270.1	100.000000	96.643000
NC_001798.2	NC_023677.1	98.084370	90.871751
NC_001800.1	NC_025789.1	88.280286	74.688368
NC_001801.1	NC_002633.1	70.812578	68.719728
NC_001802.1	NC_004455.1	42.980068	70.064795
NC_001803.1	NC_038235.1	100.000000	96.394000
NC_001806.2	NC_023677.1	88.336771	80.244707
NC_001809.1	NC_027709.1	100.000000	90.334000
NC_001812.1	NC_010832.1	40.741930	66.173508
NC_001813.1	AC_000004.1	100.000000	100.000000
NC_001814.1	NC_005903.1	35.102255	66.731167
NC_001815.1	NC_001488.1	97.786561	74.938000
NC_001818.1	NC_001777.1	32.395477	66.755979
NC_001822.1	NC_003487.1	49.098853	69.682000
NC_001824.1	NC_005902.1	71.215649	71.567030
NC_001825.1	NC_042114.1	90.735667	90.045560
NC_001826.2	NC_055233.1	99.497702	86.189864
NC_001828.1	NC_003867.1	99.383905	82.702816
NC_001829.1	NC_002077.1	89.930774	79.448114
NC_001830.1	NC_010308.1	25.396825	74.074000
NC_001831.1	NC_002201.1	44.800867	68.268599
NC_001834.1	NC_003924.1	54.371762	69.230157
NC_001835.1	NC_008371.1	96.854241	97.213816
NC_001836.1	NC_055599.1	19.062242	65.187938
NC_001837.1	NC_074787.1	99.623037	68.952000
NC_001839.2	NC_023153.1	16.444629	66.281000
NC_001841.1	NC_014742.1	94.195933	73.954900
NC_001844.1	NC_001491.2	94.835058	78.625276
NC_001846.1	AC_000192.1	99.974487	93.695348
NC_001859.1	NC_033695.1	100.000000	68.723000
NC_001866.1	NC_001408.1	53.508255	93.032777
NC_001867.1	NC_043195.1	25.354108	67.996923
NC_001868.1	NC_004755.1	92.054693	72.631334
NC_001873.1	NC_002792.2	100.000000	86.771000
NC_001874.1	NC_033722.1	92.827889	70.696015
NC_001875.2	NC_023177.1	82.391757	79.246776
NC_001876.1	AC_000002.1	100.000000	100.000000
NC_001884.1	NC_024792.1	3.351536	68.295569
NC_001885.3	NC_039228.1	98.664688	78.046043
NC_001886.1	NC_005136.1	96.557971	74.252860
NC_001890.1	NC_028902.1	39.715302	68.653698
NC_001895.1	NC_070904.1	78.537195	96.106825
NC_001896.1	NC_028129.1	100.000000	99.371000
NC_001897.1	NC_038319.1	99.741426	78.634000
NC_001899.1	NC_019492.1	95.404814	81.885812
NC_001900.2	NC_021318.1	96.572150	98.031347
NC_001901.1	NC_005857.1	45.886792	76.264480
NC_001902.1	NC_002628.3	68.097737	80.038076
NC_001906.3	NC_002728.1	80.892838	75.785856
NC_001909.1	NC_049365.1	89.768218	88.080145
NC_001914.1	NC_077070.1	30.717321	66.331179
NC_001915.1	NC_004168.1	96.125283	84.636000
NC_001916.1	NC_004176.1	98.132184	85.547000
NC_001917.1	NC_055515.1	99.258392	75.248000
NC_001918.1	NC_074775.1	100.000000	99.721000
NC_001920.1	NC_003612.1	100.000000	80.800000
NC_001921.1	NC_028249.1	94.244742	77.334167
NC_001925.1	NC_043587.1	100.000000	81.491000
NC_001926.1	NC_043579.1	95.289367	73.762000
NC_001927.1	NC_043431.1	100.000000	86.993000
NC_001928.2	NC_015962.1	100.000000	81.179312
NC_001929.2	NC_001939.1	98.878143	76.265000
NC_001930.1	NC_060098.1	100.000000	81.303904
NC_001931.1	NC_022005.1	100.000000	87.513511
NC_001932.1	NC_038449.1	98.650089	86.065026
NC_001933.1	NC_003862.1	88.960302	95.514230
NC_001934.1	NC_002048.1	99.421519	87.373577
NC_001935.1	NC_002049.1	96.505693	84.167612
NC_001936.1	NC_003865.1	100.000000	85.198480
NC_001937.1	NC_028138.1	97.008055	73.771610
NC_001938.1	NC_002046.1	99.846213	88.027000
NC_001939.1	NC_001929.2	99.528302	76.265000
NC_001940.1	NC_001501.1	83.084754	69.824580
NC_001942.1	NC_005964.2	6.999489	65.755251
NC_001943.1	NC_030922.1	91.119918	90.314619
NC_001944.1	NC_055123.1	46.914200	66.714150
NC_001946.1	NC_024449.1	84.185380	72.854123
NC_001948.1	NC_077040.1	53.259378	65.492190
NC_001954.1	NC_025824.1	18.653892	69.640407
NC_001956.1	NC_021562.1	91.723500	97.536560
NC_001958.1	AC_000016.1	100.000000	100.000000
NC_001959.2	NC_044854.1	97.295532	73.440175
NC_001961.1	NC_038291.1	99.831475	98.513000
NC_001962.1	NC_001623.1	97.451971	93.342697
NC_001963.1	NC_038928.1	40.693395	63.275994
NC_001964.1	NC_005965.1	51.172626	64.354439
NC_001973.1	NC_013953.1	90.539349	85.719653
NC_001977.1	NC_009532.1	44.159072	66.831683
NC_001978.3	NC_004664.2	81.834615	80.727503
NC_001981.1	NC_005898.1	86.521084	66.346000
NC_001982.1	NC_038335.1	70.944310	71.547329
NC_001983.1	NC_004608.1	98.934998	81.021000
NC_001984.1	NC_004609.1	82.579439	73.891838
NC_001987.1	NC_001350.1	89.878147	80.109465
NC_001989.1	NC_038272.1	100.000000	99.974000
NC_001990.1	NC_005898.1	0.860377	77.193000
NC_001993.1	NC_021246.1	38.877689	68.302292
NC_001998.1	NC_007461.1	100.000000	94.734281
NC_002014.1	NC_073751.1	95.888421	91.131414
NC_002015.1	NC_000885.1	97.191011	70.968000
NC_002016.1	NC_007377.1	100.000000	94.547000
NC_002017.1	NC_026433.1	95.444319	79.164000
NC_002018.1	NC_007361.1	100.000000	79.369000
NC_002019.1	NC_007369.1	100.000000	87.867000
NC_002020.1	NC_007370.1	100.000000	89.101000
NC_002021.1	NC_007375.1	100.000000	83.340000
NC_002022.1	NC_007376.1	100.000000	93.910000
NC_002023.1	NC_007378.1	100.000000	92.653000
NC_002024.2	NC_008037.1	29.193984	64.675000
NC_002025.1	NC_001495.1	7.461954	84.868000
NC_002026.1	NC_003543.1	90.940012	66.879000
NC_002027.1	NC_040389.1	57.242583	68.978907
NC_002028.2	NC_040391.1	48.365703	68.140069
NC_002030.1	NC_000885.1	100.000000	88.251000
NC_002031.1	NC_012735.1	81.237341	65.960119
NC_002034.1	NC_003837.1	97.408400	69.824000
NC_002035.1	NC_003838.1	61.344262	68.526496
NC_002036.1	NC_003669.1	73.632122	69.641269
NC_002037.1	NC_004144.1	100.000000	79.900000
NC_002038.1	NC_012134.1	87.786714	69.210965
NC_002039.1	NC_003838.1	56.803529	69.024858
NC_002040.1	NC_003836.1	66.224863	73.820079
NC_002041.1	NC_002359.1	89.519651	76.870108
NC_002042.1	NC_038851.1	99.693849	68.841000
NC_002046.1	NC_031764.1	100.000000	83.200944
NC_002047.1	NC_001930.1	97.524178	77.448000
NC_002048.1	NC_004638.1	100.000000	87.954000
NC_002049.1	NC_004644.1	100.000000	86.027000
NC_002050.1	NC_027720.1	100.000000	77.586000
NC_002051.1	NC_027719.1	100.000000	74.261000
NC_002052.1	NC_031762.1	97.549736	77.247539
NC_002058.3	NC_010415.1	69.610215	67.562709
NC_002063.1	NC_003601.1	99.791824	77.683000
NC_002064.1	NC_024115.1	88.780767	70.554963
NC_002066.1	NC_032800.1	10.212862	67.552217
NC_002072.2	NC_070695.1	92.554933	91.989687
NC_002076.2	NC_014081.1	72.585670	73.109877
NC_002077.1	NC_006260.1	100.000000	90.796000
NC_002160.2	NC_004750.1	97.313433	80.769000
NC_002161.1	NC_075446.1	98.000776	78.987643
NC_002164.1	NC_077048.1	47.630759	65.280078
NC_002166.1	NC_019705.1	70.138156	97.357639
NC_002167.1	NC_019768.1	76.749220	97.075748
NC_002169.1	NC_055502.1	90.935101	78.953218
NC_002180.1	NC_007461.1	100.000000	94.583990
NC_002185.1	NC_070683.1	85.498788	83.432322
NC_002187.1	NC_003821.3	23.492775	65.158000
NC_002188.1	NC_024446.1	92.306759	86.939129
NC_002190.2	NC_039043.1	100.000000	99.548284
NC_002194.1	NC_001998.1	94.937541	95.714431
NC_002195.1	NC_014068.1	79.691252	69.214033
NC_002198.2	NC_012931.1	98.781349	76.428000
NC_002199.1	NC_075983.1	22.475424	66.959778
NC_002200.1	NC_038271.1	97.035881	78.257156
NC_002201.1	NC_001831.1	44.503531	68.269539
NC_002204.1	NC_002021.1	82.094595	65.290210
NC_002205.1	NC_007378.1	9.641159	67.811000
NC_002206.1	NC_007376.1	5.762250	69.291000
NC_002206.1	NC_026424.1	5.762250	69.291000
NC_002207.1	NC_007374.1	4.463337	79.762000
NC_002208.1	NC_076597.1	2.607279	79.167000
NC_002209.1	NC_002207.1	1.477200	100.000000
NC_002210.1	NC_074468.1	4.701931	80.357000
NC_002211.1	NC_039203.1	2.463504	92.593000
NC_002214.1	NC_004303.1	92.230010	91.384714
NC_002229.3	NC_075702.1	55.588788	70.330838
NC_002232.1	NC_001541.1	58.982155	67.443253
NC_002251.1	NC_038379.1	100.000000	93.934000
NC_002306.3	NC_038861.1	93.905638	86.657420
NC_002321.1	NC_009761.3	95.227168	98.098083
NC_002323.1	NC_003755.1	13.903689	66.428443
NC_002324.1	NC_028094.1	1.282051	80.769000
NC_002325.1	NC_024364.1	1.601025	82.000000
NC_002326.1	NC_077221.1	3.430532	86.999800
NC_002327.1	NC_075367.1	2.773669	86.837120
NC_002328.1	NC_002327.1	2.321981	78.689000
NC_002330.1	NC_038851.1	94.814010	78.304723
NC_002331.1	NC_010240.1	91.280290	94.455530
NC_002349.1	NC_040507.1	55.151681	68.757482
NC_002350.1	NC_002990.1	97.145102	70.435000
NC_002351.1	NC_002359.1	87.943060	72.986002
NC_002356.1	NC_002042.1	77.780891	67.698298
NC_002357.1	NC_002042.1	79.424505	67.156720
NC_002358.1	NC_038850.1	84.826325	72.310689
NC_002359.1	NC_002041.1	88.876452	76.870111
NC_002361.1	NC_038391.1	78.546883	67.983000
NC_002362.1	NC_073759.1	79.622040	94.582667
NC_002363.1	NC_002362.1	100.000000	99.985818
NC_002371.2	NC_031019.1	94.017831	98.889816
NC_002468.1	NC_024449.1	92.220114	74.267990
NC_002469.1	NC_024498.1	66.739130	68.791448
NC_002470.1	NC_034567.1	32.400400	67.357495
NC_002484.2	NC_016765.1	77.692908	97.056663
NC_002486.1	NC_008689.1	68.088790	94.217180
NC_002500.1	NC_011552.1	92.816164	75.731593
NC_002501.1	NC_016437.1	40.576387	67.004290
NC_002509.2	NC_003399.1	70.665989	68.438138
NC_002510.1	NC_038444.1	100.000000	95.297000
NC_002512.2	NC_004065.1	34.064779	71.964217
NC_002513.1	AC_000001.1	100.000000	100.000000
NC_002515.1	NC_075039.1	3.070326	76.213025
NC_002519.1	NC_048672.1	88.793925	85.221710
NC_002520.1	NC_021249.1	77.524183	77.278724
NC_002526.1	NC_025358.1	98.281879	73.439196
NC_002531.1	NC_024382.1	80.582353	77.583797
NC_002532.2	NC_029053.1	2.983312	70.005865
NC_002543.1	NC_014631.1	71.850649	76.788490
NC_002548.1	NC_004807.1	89.484775	71.732754
NC_002549.1	NC_014373.1	69.138668	74.114504
NC_002551.1	NC_011050.1	100.000000	82.867000
NC_002552.1	NC_010538.1	58.673943	68.936906
NC_002555.1	NC_031448.1	99.733028	78.798841
NC_002556.1	NC_009612.1	100.000000	98.212981
NC_002557.1	NC_032258.1	10.662692	68.891452
NC_002558.1	NC_034383.1	1.122522	85.106000
NC_002559.1	NC_010669.1	44.842702	68.201772
NC_002560.1	NC_075367.1	3.274336	72.973000
NC_002561.1	NC_014649.1	2.797203	76.923000
NC_002561.1	NC_023639.1	2.797203	76.923000
NC_002562.1	NC_019919.2	2.646396	82.979000
NC_002563.1	NA	NA	NA
NC_002564.1	NC_075367.1	6.482282	77.922000
NC_002565.1	NC_077221.1	2.341137	100.000000
NC_002566.1	NA	NA	NA
NC_002567.1	NC_010667.1	1.208094	85.000000
NC_002568.2	NC_004060.2	87.222758	77.870196
NC_002577.1	NC_075702.1	99.704146	99.530124
NC_002588.1	NC_003634.1	68.698931	65.995581
NC_002593.1	NC_076652.1	27.881464	67.207044
NC_002598.1	NC_021705.2	78.733241	77.944656
NC_002600.1	NC_077005.1	66.958492	65.916168
NC_002602.2	NA	NA	NA
NC_002604.1	NC_015220.1	1.245056	74.118000
NC_002615.1	NC_011704.1	98.602526	71.743000
NC_002618.2	NC_011536.1	20.602646	71.485683
NC_002628.3	NC_001902.1	58.215887	80.269552
NC_002633.1	NC_003610.1	98.933252	74.470913
NC_002634.1	NC_006262.1	95.671673	79.232872
NC_002640.1	NC_001477.1	93.163677	69.210152
NC_002641.1	NC_002229.3	49.888163	69.282022
NC_002642.1	NC_005179.1	91.013661	81.388854
NC_002643.1	NC_048874.1	14.018285	65.065230
