fragment	sample	count	start	alignment
k141_80	21JS942028-1RL-UDB-175-S250000286-L1-NA	37	264	23S27M
k141_80	SRR24415953	443	261	72S29M
k141_267	ZZMAX74318-AD-DH-2D-1L-UDB-173-S250007197-L1-NA	3	2135	42M8S
k141_80	21JS83291401-1RL-UDB-166-S200028683-L1-NA	133	264	23S27M
k141_80	MAX84190-1RL-UDB-189-S250000334-L1-NA	144	264	6S27M17S
k141_80	MBX62487-1RL-UDB-100-S200028023-L1-NA	178	264	6S27M17S
k141_80	MAX75185-1RL-UDB-159-S200033165-L1-NA	60	264	12S27M11S
k141_80	MAX70000-1RL-UDB-109-S200032949-L1-NA	83	264	1S27M22S
k141_80	SRR24415953	1335	261	48S33M20S
k141_80	MAX70000-1RL-UDB-109-S200032949-L1-NA	75	264	1S27M22S
k141_80	MAX75151-1RL-UDB-111-S200032745-L1-NA	21	264	22S27M1S
k141_80	SRR24415953	23	261	24S33M44S
k141_80	MAX62450-1RL-UDB-170-S200028672-L1-NA	79	264	14S27M9S
k141_80	ZZMAX56354-1R-1L-UDB-128-S250011308-L1-NA	2	264	24S26M
k141_102	SRR24414150	16	143	1S32M1D4M1I62M1S
k141_102	SRR24414150	1	143	1S32M1D4M1I62M1S
k141_80	MAX70400-1RL-UDB-182-S200032742-L1-NA	157	264	12S27M11S
k141_80	ZZMAX120264-1R-1L-UDB-176-S250026347-L1-NA	30	261	18S26M6S
k141_80	MBX64879-1RL-UDB-110-S200032745-L1-NA	3	264	22S27M1S
k141_446	21JS83273301-1DL-DH-UDB-178-S200042648-L1-NA	4	4122	19S30M1S
k141_80	21JS942028-1RL-UDB-175-S250000286-L1-NA	144	264	23S27M
k141_80	MAX75585-1RL-UDB-181-S200036546-L1-NA	3	264	15S27M8S
k141_80	21JS83291401-1RL-UDB-166-S200028683-L1-NA	116	264	22S27M1S
k141_80	MAX73668-1RL-UDB-98-S200030036-L1-NA	15	264	13S27M10S
k141_80	SRR24415953	1298	261	46S33M22S
k141_80	MAX75585-1RL-UDB-181-S200036546-L1-NA	11	264	1S27M22S
k141_80	MAX62450-1RL-UDB-170-S200028672-L1-NA	3	264	13S27M10S
k141_80	MAX62450-1RL-UDB-170-S200028672-L1-NA	43	264	13S27M10S
k141_80	21JS83291401-1RL-UDB-166-S200028683-L1-NA	10	261	23S26M1S
k141_80	SRR24415953	1314	261	8S33M60S
k141_80	MAX74515-1RL-UDB-111-S200033138-L1-NA	76	264	27M23S
k141_80	SRR24415953	53	261	43S33M25S
k141_80	21JS83291401-1RL-UDB-166-S200028683-L1-NA	135	264	22S27M1S
k141_80	MAX85618-1RL-UDB-174-S200039023-L1-NA	14	264	22S27M1S
k141_80	MAX60165-1RL-UDB-101-S200028666-L1-NA	294	264	12S27M11S
k141_80	21JS942048-1RL-UDB-173-S200039023-L1-NA	24	264	22S27M1S
k141_80	21JS942028-1RL-UDB-175-S250000286-L1-NA	100	264	24S26M
k141_99	SRR22831173	45	1126	29S43M28S
k141_80	SRR24415953	1235	261	34S33M34S
k141_80	MAX73668-1RL-UDB-98-S200030036-L1-NA	220	264	12S27M11S
k141_80	SRR24415953	1708	266	28M73S
k141_80	SRR24415953	490	261	53S33M15S
k141_80	ZZMAX56354-1R-1L-UDB-128-S250011308-L1-NA	24	264	15S27M8S
k141_80	MAX73613-1RL-UDB-176-S200028663-L1-NA	31	264	13S27M10S
k141_80	ZZMAX94724-1R-1L-UDB-129-S200045952-L1-NA	22	261	23S26M1S
k141_80	SRR24415953	246	261	51S33M17S
k141_80	SRR24415953	682	261	6S33M62S
k141_80	MAX60165-1RL-UDB-101-S200028666-L1-NA	41	264	24S26M
k141_80	MAX60165-1RL-UDB-101-S200028666-L1-NA	5	264	24S26M
k141_80	MAX75311-1RL-UDB-142-S200033153-L1-NA	5	264	3S27M20S
k141_80	MBX64879-1RL-UDB-110-S200032745-L1-NA	46	264	5S27M18S
k141_80	MAX70560-1RL-UDB-159-S200028684-L1-NA	76	264	15S27M8S
k141_80	MAX60165-1RL-UDB-101-S200028666-L1-NA	88	264	24S26M
k141_80	MAX60165-1RL-UDB-101-S200028666-L1-NA	16	264	24S26M
k141_80	SRR24415953	462	261	72S29M
k141_80	MAX70560-1RL-UDB-159-S200028684-L1-NA	27	264	19S27M4S
k141_80	SRR24415953	735	261	6S33M62S
k141_80	MAX62265-1RL-UDB-141-S200028062-L1-NA	3	264	21S27M2S
k141_80	SRR24415953	1286	261	47S33M21S
k141_447	MBX6806101-1DL-DH-UDB-111-S200028657-L1-NA	2	167	16S29M5S
k141_80	MBX62487-1RL-UDB-100-S200028023-L1-NA	196	264	6S27M17S
k141_80	SRR24415953	201	261	30S33M38S
k141_80	MBX62487-1RL-UDB-100-S200028023-L1-NA	24	264	22S27M1S
k141_80	21JS83291401-1RL-UDB-166-S200028683-L1-NA	183	264	22S27M1S
k141_80	MAX85618-1RL-UDB-174-S200039023-L1-NA	114	264	27M23S
k141_80	SRR24415953	652	261	8S33M60S
k141_99	SRR22831173	19	1126	29S43M28S
k141_80	MAX60165-1RL-UDB-101-S200028666-L1-NA	258	264	5S27M18S
k141_80	21JS83291401-1RL-UDB-166-S200028683-L1-NA	64	264	22S27M1S
k141_80	MAX74826-1RL-UDB-127-S200033143-L1-NA	3	264	5S27M18S
k141_80	MAX60165-1RL-UDB-101-S200028666-L1-NA	202	264	24S26M
k141_80	SRR24415953	591	261	38S33M30S
k141_80	MAX85618-1RL-UDB-174-S200039023-L1-NA	115	264	3S27M20S
k141_80	MAX73665-1RL-UDB-178-S200028686-L1-NA	54	264	20S27M3S
k141_80	21JS942033-1RL-UDB-148-S250000406-L1-NA	40	264	24S26M
k141_80	MAX70400-1RL-UDB-182-S200032742-L1-NA	83	264	7S27M16S
k141_80	MAX86023-1RL-UDB-110-S200043840-L1-NA	31	261	24S26M
k141_80	MAX70400-1RL-UDB-182-S200032742-L1-NA	84	264	7S27M16S
k141_80	MAX86023-1RL-UDB-110-S200043840-L1-NA	25	261	15S26M9S
k141_80	MAX60165-1RL-UDB-101-S200028666-L1-NA	222	264	12S27M11S
k141_80	SRR24415953	655	261	28S33M40S
k141_80	MBX62487-1RL-UDB-100-S200028023-L1-NA	48	264	22S27M1S
k141_80	MAX75151-1RL-UDB-111-S200032745-L1-NA	47	264	12S27M11S
k141_80	21JS942028-1RL-UDB-175-S250000286-L1-NA	66	264	24S26M
k141_80	SRR24415953	658	261	6S33M62S
k141_80	MAX75185-1RL-UDB-159-S200033165-L1-NA	63	264	27M23S
k141_80	MAX73665-1RL-UDB-178-S200028686-L1-NA	67	264	12S27M11S
k141_80	SRR24415953	844	261	47S33M21S
k141_80	MAX60165-1RL-UDB-101-S200028666-L1-NA	315	264	3S27M20S
k141_80	ZZ22JS021485-1R-1L-UDB-164-S250026333-L1-NA	3	261	15S26M9S
k141_80	MAX60165-1RL-UDB-101-S200028666-L1-NA	45	264	24S26M
k141_80	21JS942048-1RL-UDB-173-S200039023-L1-NA	43	264	14S27M9S
k141_80	MAX75585-1RL-UDB-181-S200036546-L1-NA	7	264	15S27M8S
k141_80	MAX75185-1RL-UDB-159-S200033165-L1-NA	20	264	22S27M1S
k141_80	MAX63380-1RL-UDB-121-S200032962-L1-NA	58	264	11S27M12S
k141_80	21JS942028-1RL-UDB-175-S250000286-L1-NA	35	264	13S27M10S
k141_80	MAX86023-1RL-UDB-110-S200043840-L1-NA	17	261	16S26M8S
k141_80	SRR24415953	1253	261	18S33M50S
k141_80	SRR24415953	760	261	47S33M21S
k141_80	SRR24415953	502	261	24S33M44S
k141_80	MAX85618-1RL-UDB-174-S200039023-L1-NA	111	264	27M23S
k141_80	ZZMAX120264-1R-1L-UDB-176-S250026347-L1-NA	2	261	18S26M6S
k141_80	21JS83291401-1RL-UDB-166-S200028683-L1-NA	49	264	22S27M1S
k141_80	MAX75555-1RL-UDB-154-S200032956-L1-NA	14	264	20S27M3S
k141_102	SRR24414150	42	217	4S97M
k141_80	MAX73668-1RL-UDB-98-S200030036-L1-NA	215	264	5S27M18S
k141_99	SRR22831173	17	1126	29S43M28S
k141_99	SRR22831173	5	1126	29S43M28S
k141_80	MAX73665-1RL-UDB-178-S200028686-L1-NA	17	264	22S27M1S
k141_80	SRR24415953	1354	261	30S33M38S
k141_80	MAX70409-1RL-UDB-159-S200029022-L1-NA	7	261	23S26M1S
k141_376	ZZMAX19690-1R-1L-UDB-122-S250018768-L1-NA	2	2331	49M1S
k141_80	SRR24415953	7	261	16S33M52S
k141_80	SRR24415953	593	261	30S33M38S
k141_80	MAX73613-1RL-UDB-176-S200028663-L1-NA	59	264	7S27M16S
k141_80	21JS832553-1RL-UDB-109-S200028714-L1-NA	44	264	22S27M1S
k141_80	MAX75555-1RL-UDB-154-S200032956-L1-NA	1	264	22S27M1S
k141_80	MBX62487-1RL-UDB-100-S200028023-L1-NA	9	264	22S27M1S
k141_80	MAX73668-1RL-UDB-98-S200030036-L1-NA	119	264	23S27M
k141_80	MAX60165-1RL-UDB-101-S200028666-L1-NA	50	264	13S27M10S
k141_80	SRR24415953	625	261	6S33M62S
k141_80	21JS83291401-1RL-UDB-166-S200028683-L1-NA	263	264	22S27M1S
k141_80	MAX60165-1RL-UDB-101-S200028666-L1-NA	319	264	3S27M20S
k141_80	MBX62487-1RL-UDB-100-S200028023-L1-NA	102	264	22S27M1S
k141_80	MAX74515-1RL-UDB-111-S200033138-L1-NA	21	264	15S27M8S
k141_80	MBX64879-1RL-UDB-110-S200032745-L1-NA	54	264	5S27M18S
k141_80	MAX70211-1RL-UDB-167-S200028717-L1-NA	2	264	20S27M3S
k141_80	SRR24415953	777	261	17S33M51S
k141_80	20JS832943-2DL-DH-UDB-116-S200028685-L1-NA	1	259	22S28M
k141_80	SRR24415953	79	261	43S33M25S
k141_80	MAX75185-1RL-UDB-159-S200033165-L1-NA	30	264	13S27M10S
k141_80	MAX85618-1RL-UDB-174-S200039023-L1-NA	130	264	16S27M7S
k141_80	MBX62487-1RL-UDB-100-S200028023-L1-NA	195	264	22S27M1S
k141_80	MAX70400-1RL-UDB-182-S200032742-L1-NA	168	264	10S27M13S
k141_80	MAX73665-1RL-UDB-178-S200028686-L1-NA	63	264	5S27M18S
k141_80	21JS942028-1RL-UDB-175-S250000286-L1-NA	234	264	2S27M21S
k141_80	MAX85618-1RL-UDB-174-S200039023-L1-NA	121	264	3S27M20S
k141_80	MAX70000-1RL-UDB-109-S200032949-L1-NA	10	264	19S27M4S
k141_80	MAX70000-1RL-UDB-109-S200032949-L1-NA	80	264	12S27M11S
k141_80	MAX86023-1RL-UDB-110-S200043840-L1-NA	14	261	16S26M8S
k141_80	MAX70560-1RL-UDB-159-S200028684-L1-NA	46	264	23S27M
k141_80	MAX73665-1RL-UDB-178-S200028686-L1-NA	12	264	22S27M1S
k141_80	MAX7607201-1RL-UDB-128-S200033143-L1-NA	28	264	12S27M11S
k141_80	MAX72520-1RL-UDB-172-S200027793-L1-NA	5	264	10S27M13S
k141_80	MAX73665-1RL-UDB-178-S200028686-L1-NA	51	264	3S27M20S
k141_80	MAX73668-1RL-UDB-98-S200030036-L1-NA	31	264	23S27M
k141_99	SRR22831173	29	1126	29S43M28S
k141_80	MAX70400-1RL-UDB-182-S200032742-L1-NA	39	264	20S27M3S
k141_80	MAX62450-1RL-UDB-170-S200028672-L1-NA	80	264	14S27M9S
k141_80	MAX75185-1RL-UDB-159-S200033165-L1-NA	42	264	22S27M1S
k141_80	MAX75185-1RL-UDB-159-S200033165-L1-NA	56	264	11S27M12S
k141_80	SRR24415953	1114	261	30S33M38S
k141_80	ZZMAX94724-1R-1L-UDB-129-S200045952-L1-NA	10	261	24S26M
k141_80	MAX75585-1RL-UDB-181-S200036546-L1-NA	4	264	15S27M8S
k141_80	MAX60165-1RL-UDB-101-S200028666-L1-NA	348	264	3S27M20S
k141_80	MAX73613-1RL-UDB-176-S200028663-L1-NA	87	264	27M23S
k141_80	MAX70409-1RL-UDB-159-S200029022-L1-NA	2	261	23S26M1S
k141_80	21JS83291401-1RL-UDB-166-S200028683-L1-NA	77	264	22S27M1S
k141_80	21JS942033-1RL-UDB-148-S250000406-L1-NA	104	264	20S27M3S
k141_80	SRR24415953	468	261	50S33M18S
k141_80	MAX70400-1RL-UDB-182-S200032742-L1-NA	200	264	7S27M16S
k141_80	MAX75185-1RL-UDB-159-S200033165-L1-NA	43	264	22S27M1S
k141_80	SRR24415953	684	261	53S33M15S
k141_80	MAX73613-1RL-UDB-176-S200028663-L1-NA	4	264	19S27M4S
k141_80	MAX73665-1RL-UDB-178-S200028686-L1-NA	75	264	12S27M11S
k141_80	SRR24415953	282	261	4S33M64S
k141_267	PMBX62454-1DL-DH-UDB-191-S200028723-L1-NA	1	1531	50M
k141_80	SRR24415953	549	261	25S33M43S
k141_80	MBX62487-1RL-UDB-100-S200028023-L1-NA	255	264	22S27M1S
k141_80	MAX70560-1RL-UDB-159-S200028684-L1-NA	130	264	5S27M18S
k141_80	MAX60165-1RL-UDB-101-S200028666-L1-NA	434	264	3S27M20S
k141_80	SRR24415953	597	261	8S33M60S
k141_80	SRR24415953	721	261	18S33M50S
k141_80	MAX73668-1RL-UDB-98-S200030036-L1-NA	165	264	3S27M20S
k141_80	ZZMAX56354-1R-1L-UDB-128-S250011308-L1-NA	11	264	15S27M8S
k141_267	ZZFY22JS022498-DH-1D-1L-UDB-140-S250017818-L1-NA	1	2137	10S40M
k141_80	MAX73668-1RL-UDB-98-S200030036-L1-NA	166	264	12S27M11S
k141_80	SRR24415953	666	261	6S33M62S
k141_80	MAX70560-1RL-UDB-159-S200028684-L1-NA	15	264	19S27M4S
k141_80	MAX75185-1RL-UDB-159-S200033165-L1-NA	12	264	22S27M1S
k141_80	MBX62487-1RL-UDB-100-S200028023-L1-NA	106	264	22S27M1S
k141_80	SRR24415953	358	261	24S33M44S
k141_80	MAX84190-1RL-UDB-189-S250000334-L1-NA	154	264	22S27M1S
k141_80	MAX84190-1RL-UDB-189-S250000334-L1-NA	196	264	24S26M
k141_80	MAX63380-1RL-UDB-121-S200032962-L1-NA	46	264	8S27M15S
k141_80	MAX85618-1RL-UDB-174-S200039023-L1-NA	93	264	5S27M18S
k141_80	SRR24415953	671	261	13S33M55S
k141_80	MAX73668-1RL-UDB-98-S200030036-L1-NA	91	264	24S26M
k141_80	21JS83291401-1RL-UDB-166-S200028683-L1-NA	221	264	22S27M1S
k141_80	MBX62487-1RL-UDB-100-S200028023-L1-NA	107	264	22S27M1S
k141_80	SRR24415953	91	261	53S33M15S
k141_80	SRR24415953	1075	261	55S33M13S
k141_79	SRR24415951	33	278	26S75M
k141_80	ZZMAX120264-1R-1L-UDB-176-S250026347-L1-NA	20	261	17S26M7S
k141_80	SRR24415953	495	261	43S33M25S
k141_80	SRR24415953	1517	261	10S33M58S
k141_80	MAX73665-1RL-UDB-178-S200028686-L1-NA	25	264	13S27M10S
k141_80	MAX73668-1RL-UDB-98-S200030036-L1-NA	139	264	7S27M16S
k141_80	SRR24415953	1186	261	8S33M60S
k141_80	MAX84190-1RL-UDB-189-S250000334-L1-NA	182	264	7S27M16S
k141_80	MAX63380-1RL-UDB-121-S200032962-L1-NA	20	264	13S27M10S
k141_80	21JS832553-1RL-UDB-109-S200028714-L1-NA	111	264	2S27M21S
k141_80	MAX73668-1RL-UDB-98-S200030036-L1-NA	178	264	2S27M21S
k141_80	MAX60165-1RL-UDB-101-S200028666-L1-NA	26	264	24S26M
k141_79	SRR24415951	50	278	26S75M
k141_80	SRR24415953	438	261	24S33M44S
k141_102	SRR24414150	5	143	1S32M1D4M1I62M1S
k141_80	MAX60165-1RL-UDB-101-S200028666-L1-NA	210	264	12S27M11S
k141_80	MAX85618-1RL-UDB-174-S200039023-L1-NA	116	264	15S27M8S
k141_80	21JS942048-1RL-UDB-173-S200039023-L1-NA	14	264	14S27M9S
k141_80	21JS942028-1RL-UDB-175-S250000286-L1-NA	229	264	27M23S
k141_80	MAX73668-1RL-UDB-98-S200030036-L1-NA	86	264	22S27M1S
k141_80	MAX70560-1RL-UDB-159-S200028684-L1-NA	149	264	27M23S
k141_79	SRR24415951	48	278	26S75M
k141_80	SRR24415953	813	261	55S33M13S
k141_102	SRR24414150	34	143	1S32M1D4M1I62M1S
k141_80	SRR24415953	744	261	48S33M20S
k141_80	MAX85618-1RL-UDB-174-S200039023-L1-NA	19	264	21S27M2S
k141_80	MAX73668-1RL-UDB-98-S200030036-L1-NA	191	264	5S27M18S
k141_80	SRR24415953	888	261	34S33M34S
k141_80	MAX73613-1RL-UDB-176-S200028663-L1-NA	53	264	27M23S
k141_80	SRR24415953	1280	261	30S33M38S
k141_80	MAX73668-1RL-UDB-98-S200030036-L1-NA	222	264	7S27M16S
k141_80	MAX62450-1RL-UDB-170-S200028672-L1-NA	6	264	24S26M
k141_80	MAX73613-1RL-UDB-176-S200028663-L1-NA	1	264	13S27M10S
k141_80	MAX74858-1RL-UDB-109-S200032951-L1-NA	40	265	26M24S
k141_80	21JS832553-1RL-UDB-109-S200028714-L1-NA	48	264	27M23S
k141_80	21JS832553-1RL-UDB-109-S200028714-L1-NA	8	264	22S27M1S
k141_102	21JS933134-2DL-AD-DH-UDB-112-S200035451-L1-NA	8	453	8S29M13S
k141_80	SRR24415953	1333	261	34S33M34S
k141_80	MAX62265-1RL-UDB-141-S200028062-L1-NA	61	264	10S27M13S
k141_80	MAX74515-1RL-UDB-111-S200033138-L1-NA	66	264	22S27M1S
k141_80	MAX60165-1RL-UDB-101-S200028666-L1-NA	39	264	24S26M
k141_80	SRR24415953	515	261	11S33M57S
k141_80	MAX70400-1RL-UDB-182-S200032742-L1-NA	118	264	27M23S
k141_80	MAX63380-1RL-UDB-121-S200032962-L1-NA	4	264	22S27M1S
k141_80	MAX60165-1RL-UDB-101-S200028666-L1-NA	83	264	24S26M
k141_80	SRR24415953	1062	261	68S33M
k141_80	SRR24415953	1140	261	32S33M36S
k141_80	SRR24415953	1322	261	36S33M32S
k141_80	SRR24415953	701	261	52S33M16S
k141_80	SRR24415953	840	261	18S33M50S
k141_80	20JS80412-1RL-UDB-191-S200028715-L1-NA	18	264	5S27M18S
k141_80	MAX85618-1RL-UDB-174-S200039023-L1-NA	9	264	22S27M1S
k141_80	21JS832553-1RL-UDB-109-S200028714-L1-NA	96	264	21S27M2S
k141_80	MAX73668-1RL-UDB-98-S200030036-L1-NA	228	264	27M23S
k141_80	MBX62487-1RL-UDB-100-S200028023-L1-NA	219	264	6S27M17S
k141_80	SRR24415953	836	261	47S33M21S
k141_79	SRR24415951	21	278	21S79M1S
k141_80	MAX73665-1RL-UDB-178-S200028686-L1-NA	4	264	13S27M10S
k141_80	MAX72520-1RL-UDB-172-S200027793-L1-NA	11	264	20S27M3S
k141_80	21JS832553-1RL-UDB-109-S200028714-L1-NA	30	264	22S27M1S
k141_80	SRR24415953	950	261	34S33M34S
k141_80	21JS942033-1RL-UDB-148-S250000406-L1-NA	71	264	10S27M13S
k141_80	MAX73668-1RL-UDB-98-S200030036-L1-NA	54	264	24S26M
k141_80	SRR24415953	1520	261	7S33M61S
k141_80	MAX75382-1RL-UDB-158-S200033165-L1-NA	15	264	3S27M20S
k141_80	21JS942033-1RL-UDB-148-S250000406-L1-NA	120	264	22S27M1S
k141_80	MAX60165-1RL-UDB-101-S200028666-L1-NA	403	264	3S27M20S
k141_80	MAX70000-1RL-UDB-109-S200032949-L1-NA	47	264	22S27M1S
k141_80	MAX73668-1RL-UDB-98-S200030036-L1-NA	213	264	27M23S
k141_80	SRR24415953	1668	265	29M72S
k141_80	SRR24415953	160	261	11S33M57S
k141_80	20JS80412-1RL-UDB-191-S200028715-L1-NA	28	264	1S27M22S
k141_414	ZZMAX120264-1R-1L-UDB-176-S250026347-L1-NA	9	4079	12S26M12S
k141_80	21JS83291401-1RL-UDB-166-S200028683-L1-NA	137	264	22S27M1S
k141_80	MAX84770-1RL-UDB-121-S200038095-L1-NA	18	261	17S26M7S
k141_80	MBX62487-1RL-UDB-100-S200028023-L1-NA	76	264	22S27M1S
k141_80	SRR24415953	56	261	43S33M25S
k141_80	MAX75555-1RL-UDB-154-S200032956-L1-NA	17	264	20S27M3S
k141_80	SRR24415953	978	261	30S33M38S
k141_80	MAX84190-1RL-UDB-189-S250000334-L1-NA	80	264	13S27M10S
k141_80	ZZMAX94724-1R-1L-UDB-129-S200045952-L1-NA	6	261	16S26M8S
k141_80	SRR24415953	511	261	29S33M39S
k141_80	MBX62487-1RL-UDB-100-S200028023-L1-NA	180	264	6S27M17S
k141_80	21JS83291401-1RL-UDB-166-S200028683-L1-NA	233	264	22S27M1S
k141_80	MAX84190-1RL-UDB-189-S250000334-L1-NA	205	264	6S27M17S
k141_80	SRR24415953	861	261	34S33M34S
k141_80	MAX74515-1RL-UDB-111-S200033138-L1-NA	34	264	22S27M1S
k141_80	MAX60165-1RL-UDB-101-S200028666-L1-NA	29	264	24S26M
k141_80	MAX70560-1RL-UDB-159-S200028684-L1-NA	100	264	24S26M
k141_80	SRR24415953	149	261	72S29M
k141_80	ZZMAX56354-1R-1L-UDB-128-S250011308-L1-NA	7	264	15S27M8S
k141_80	MBX64879-1RL-UDB-110-S200032745-L1-NA	34	264	5S27M18S
k141_80	MAX73665-1RL-UDB-178-S200028686-L1-NA	84	264	3S27M20S
k141_80	MAX74858-1RL-UDB-109-S200032951-L1-NA	43	265	26M24S
k141_80	SRR24415953	1389	261	30S33M38S
k141_80	MBX62487-1RL-UDB-100-S200028023-L1-NA	189	264	22S27M1S
k141_80	SRR24415953	839	261	18S33M50S
k141_80	MAX74515-1RL-UDB-111-S200033138-L1-NA	7	264	22S27M1S
k141_80	SRR24415953	1317	261	68S33M
k141_80	MAX85916-1RL-UDB-119-S200042499-L1-NA	2	261	22S26M2S
k141_80	SRR24415953	1013	261	46S33M22S
k141_80	MAX74858-1RL-UDB-109-S200032951-L1-NA	22	264	22S27M1S
k141_80	SRR24415953	556	261	46S33M22S
k141_80	21JS942028-1RL-UDB-175-S250000286-L1-NA	245	264	24S26M
k141_80	MAX84190-1RL-UDB-189-S250000334-L1-NA	59	264	22S27M1S
k141_80	SRR24415953	1046	261	55S33M13S
k141_80	SRR24415953	853	261	6S33M62S
k141_80	MAX70400-1RL-UDB-182-S200032742-L1-NA	100	264	27M23S
k141_80	SRR24415953	1498	261	52S33M16S
k141_80	SRR24415953	1244	261	55S33M13S
k141_80	MAX74776-1RL-UDB-110-S200032951-L1-NA	6	261	20S26M4S
k141_80	21JS942028-1RL-UDB-175-S250000286-L1-NA	154	264	1S27M22S
k141_80	MAX73668-1RL-UDB-98-S200030036-L1-NA	80	264	22S27M1S
k141_80	MAX70560-1RL-UDB-159-S200028684-L1-NA	140	264	24S26M
k141_80	MAX70400-1RL-UDB-182-S200032742-L1-NA	32	264	20S27M3S
k141_80	SRR24415953	95	261	24S33M44S
k141_80	MAX73668-1RL-UDB-98-S200030036-L1-NA	4	264	23S27M
k141_80	SRR24415953	570	261	47S33M21S
k141_80	ZZMAX120264-1R-1L-UDB-176-S250026347-L1-NA	11	261	18S26M6S
k141_80	MAX84190-1RL-UDB-189-S250000334-L1-NA	185	264	20S27M3S
k141_99	SRR22831173	12	1126	29S43M28S
k141_80	SRR24415953	345	261	17S33M51S
k141_80	MAX60165-1RL-UDB-101-S200028666-L1-NA	329	264	12S27M11S
k141_80	MAX63380-1RL-UDB-121-S200032962-L1-NA	35	264	22S27M1S
k141_80	MAX70400-1RL-UDB-182-S200032742-L1-NA	61	264	4S27M19S
k141_80	SRR24415953	1454	261	55S33M13S
k141_80	MBX62487-1RL-UDB-100-S200028023-L1-NA	125	264	22S27M1S
k141_80	21JS83291401-1RL-UDB-166-S200028683-L1-NA	175	264	22S27M1S
k141_80	SRR24415953	362	261	24S33M44S
k141_80	MAX60165-1RL-UDB-101-S200028666-L1-NA	460	264	12S27M11S
k141_102	SRR24414150	53	429	53S48M
k141_80	MAX62450-1RL-UDB-170-S200028672-L1-NA	16	264	13S27M10S
k141_80	MAX74844-1RL-UDB-112-S200032745-L1-NA	22	264	1S27M22S
k141_80	MAX70400-1RL-UDB-182-S200032742-L1-NA	7	264	20S27M3S
k141_267	ZZMAX74318-AD-DH-2D-1L-UDB-173-S250007197-L1-NA	13	2148	3S29M18S
k141_102	SRR24414150	75	429	53S48M
k141_80	SRR24415953	1067	261	17S33M51S
k141_80	21JS942028-1RL-UDB-175-S250000286-L1-NA	59	264	24S26M
k141_80	MAX85618-1RL-UDB-174-S200039023-L1-NA	136	264	7S27M16S
k141_80	21JS942028-1RL-UDB-175-S250000286-L1-NA	48	264	24S26M
k141_80	MBX62487-1RL-UDB-100-S200028023-L1-NA	89	264	22S27M1S
k141_80	SRR24415953	1148	261	6S33M62S
k141_80	21JS832553-1RL-UDB-109-S200028714-L1-NA	95	264	21S27M2S
k141_80	SRR24415953	1386	261	15S33M53S
k141_80	MAX84190-1RL-UDB-189-S250000334-L1-NA	20	264	13S27M10S
k141_80	MAX7607201-1RL-UDB-128-S200033143-L1-NA	8	261	14S31M5S
k141_80	MAX74858-1RL-UDB-109-S200032951-L1-NA	23	264	22S27M1S
k141_80	MAX85618-1RL-UDB-174-S200039023-L1-NA	17	264	13S27M10S
k141_80	21JS942048-1RL-UDB-173-S200039023-L1-NA	75	264	10S27M13S
k141_80	SRR24415953	981	261	46S33M22S
k141_80	SRR24415953	751	261	7S33M61S
k141_80	MAX60165-1RL-UDB-101-S200028666-L1-NA	284	264	3S27M20S
k141_80	MAX75151-1RL-UDB-111-S200032745-L1-NA	102	264	12S27M11S
k141_80	MAX70560-1RL-UDB-159-S200028684-L1-NA	51	264	23S27M
k141_80	MAX75382-1RL-UDB-158-S200033165-L1-NA	2	258	20S29M1S
